년월,데이터 건수,평당 거래가
201512,70,1467.417262346182
201601,87,1416.1782212957073
201602,98,1442.6598644261323
201603,169,1462.586081846557
201604,151,1465.0231427448016
201605,180,1508.7723553243773
201606,227,1575.5186507943072
201607,232,1592.7297359228503
201608,195,1587.5607161813373
201609,217,1621.46652870348
201610,221,1608.2650123058904
201611,91,1649.7101539162156
201612,80,1548.3981772091167
201701,59,1501.1651762667504
201702,127,1583.5243497280153
201703,129,1534.1217935030986
201704,116,1595.8147575497908
201705,209,1570.7164302215876
201706,229,1693.3939766952594
201707,279,1679.6817520175784
201708,131,1637.578112490012
201709,151,1703.9753323761997
201710,133,1738.0032171514442
201711,153,1673.714734874288
201712,153,1688.043703124507
201801,172,1722.418946814192
201802,205,1754.6302925684574
201803,289,1767.0461330983978
201804,121,1761.4820348017654
201805,137,1746.9337878158567
201806,155,1827.8423749526844
201807,202,1812.4858763562027
201808,321,1821.169306597962
201809,206,1860.9575424907962
201810,88,1851.4759533248402
201811,46,1927.7173137760026
201812,41,1843.6941521406877
201901,29,1771.2475236569333
201902,34,2011.5538762970812
201903,60,1844.7011047248463
201904,53,1926.727497822
201905,78,1952.6657494653668
201906,87,1922.1849641904012
201907,145,1986.8212666175373
201908,128,2039.7220355768447
201909,136,2136.5551349552
201910,205,2221.24075306291
201911,191,2294.0005254307052
201912,247,2180.825243143185
202001,313,2211.6197792410644
202002,267,2158.760899834991
202003,164,2214.9332445439545
202004,104,2107.9607084777645
202005,136,2289.278223501823
202006,392,2536.1157493680357
202007,218,2555.8006382076787
202008,97,2653.784497317804
202009,82,2750.704979136284
202010,128,2844.920116820355
202011,108,2836.7702934491185
202012,168,3012.6841887592027
202101,115,3006.3296889345875
202102,123,2866.67673457092
202103,85,3040.9212657747353
202104,65,2875.171230124243
202105,88,3115.5380341281343
202106,99,3065.6867677794053
202107,136,3135.601007577998
202108,111,3126.614701130904
202109,48,2981.958766107575
202110,31,3415.2150964155057
202111,21,2840.6042391260103
202112,13,2530.4308457196994
202201,22,2964.0261760539515
202202,12,2764.7750123911815
202203,18,2917.2066461645004
202204,36,3283.071702686648
202205,25,2946.805256737421
202206,20,2922.9664462815863
202207,13,3196.711630811809
202208,16,2624.5167123936308
202209,12,3066.6276468845736
202210,11,2374.727371680889
202211,8,2502.5429399955383
202212,82,3314.9861019488985
202301,26,3112.8155086128304
202302,38,2653.5338923342456
202303,79,2488.66316222124
202304,53,2601.995503755043
202305,57,2802.151351952394
202306,129,2893.1992692318936
202307,65,2694.420100163172
202308,191,2818.867889783191
202309,52,2863.116189397173
202310,87,2860.579817024122
202311,38,2658.635739381288
202312,39,2737.9484526012334
202401,35,2762.0117631528765
202402,43,2647.9178847839066
