년월,데이터 건수,평당 거래가
201512,162,2235.54383252583
201601,162,2146.579937301741
201602,180,2234.280367328921
201603,308,2343.2397686202266
201604,351,2196.8021286955495
201605,372,2331.863581322767
201606,512,2329.1579000405623
201607,511,2301.238435064661
201608,424,2388.878654727919
201609,379,2413.2699156052176
201610,474,2505.091489317987
201611,212,2443.010175716626
201612,141,2386.246934383215
201701,134,2625.04093808075
201702,223,2452.2163257076622
201703,324,2489.768729845296
201704,442,2616.1883718059325
201705,667,2656.0885627036027
201706,624,2565.463166502724
201707,624,2626.661428573345
201708,168,2676.674574580897
201709,230,2798.9931039983867
201710,227,2794.2530838882117
201711,387,2928.6868393389695
201712,404,3003.272870444058
201801,617,3119.209873802501
201802,368,3213.8499751806257
201803,297,3127.26356266666
201804,102,3206.260289302615
201805,106,3296.2101360124125
201806,106,3326.125370883298
201807,180,3541.8835558954115
201808,607,3608.6540748871093
201809,294,3834.5343446524453
201810,111,3835.772368213996
201811,49,3562.1682191069103
201812,38,4036.6286802080926
201901,42,4020.53685488522
201902,27,3835.4948900566847
201903,52,3374.525492458922
201904,97,3880.089659340508
201905,154,3707.3348740156353
201906,268,3985.085500719664
201907,484,4072.7714614318425
201908,339,4017.668304496929
201909,298,3891.8592270096724
201910,549,4125.715702828958
201911,529,4123.382698349986
201912,425,4114.918621893562
202001,206,4121.907589946206
202002,290,4173.594140564447
202003,156,4378.088248330153
202004,77,4181.079140579174
202005,187,4187.606525972234
202006,684,4589.105965982416
202007,410,4952.949404667742
202008,211,4991.614505286755
202009,149,5131.644112381869
202010,150,5167.267177511001
202011,231,5261.660082410593
202012,290,5486.029835240176
202101,206,5490.307794930649
202102,127,5563.024483009204
202103,128,6035.506830554961
202104,125,5938.784024646394
202105,160,6257.169991208717
202106,158,5785.466880563345
202107,177,5640.388764367275
202108,167,5977.258501432992
202109,103,6292.520317937927
202110,89,6099.78659657066
202111,50,5993.632532037323
202112,30,6538.666991230028
202201,40,6595.487025151644
202202,20,5647.3992642431795
202203,27,6215.284180499682
202204,65,6729.214743544557
202205,75,6038.05676196511
202206,36,7167.772724807672
202207,13,5774.638227830738
202208,24,6063.161337775164
202209,16,7954.010976629669
202210,19,4300.077198278237
202211,10,4321.97102405045
202212,28,4812.531088702122
202301,44,5031.834325284206
202302,93,4700.106814255745
202303,116,5145.446872532836
202304,135,5293.879905738761
202305,160,5263.100823293818
202306,178,5487.788954005047
202307,207,5632.490988324591
202308,186,6239.683656375693
202309,175,5730.243373355698
202310,101,5342.896915381626
202311,84,6061.884836060157
202312,83,5319.47185767237
202401,122,6103.633593792546
202402,116,5740.7776510428575
