년월,데이터 건수,평당 거래가
201512,268,2057.3579608758982
201601,249,1914.458616105787
201602,225,1926.5729085842254
201603,460,1880.4207307784097
201604,490,2172.708556162939
201605,665,2227.937580615702
201606,818,2333.4393989764867
201607,594,2164.857043840906
201608,557,2311.916001850925
201609,560,2226.5693407124418
201610,546,2264.100862277079
201611,263,2038.377846919026
201612,200,2053.9899542001003
201701,153,2005.7911116682067
201702,232,2055.6796434251064
201703,368,2177.684765709865
201704,365,2440.6124687338956
201705,643,2634.9511931685065
201706,545,2501.28734398932
201707,684,2638.2189010041807
201708,190,2249.8029473043457
201709,286,2409.597320654322
201710,354,2685.6920207181897
201711,602,2998.427702145057
201712,434,2772.657794196469
201801,549,2589.6214094918687
201802,356,2379.557284472605
201803,349,2198.4349962468136
201804,227,2244.2896870554355
201805,262,2353.671630144449
201806,303,2541.834469585469
201807,420,3012.0770663970425
201808,821,3107.410737470823
201809,324,2773.707599708459
201810,129,2602.5164826674873
201811,82,2561.052486583281
201812,59,2564.801000296292
201901,84,2865.6526594515335
201902,76,2796.2911343811643
201903,133,2880.1920030249407
201904,161,2927.642925607186
201905,263,3466.410579535072
201906,405,3775.627745062523
201907,403,3386.694610576307
201908,291,3131.528101929041
201909,392,3436.4795634396955
201910,592,3520.8947870756238
201911,700,3533.6853163847727
201912,372,3332.42235006965
202001,242,3004.1099047005873
202002,318,2925.976468404081
202003,180,2981.8145393636837
202004,120,3230.7496884072975
202005,263,3396.398337010658
202006,722,3722.0428944160326
202007,505,3976.1913672948435
202008,205,3941.520260411253
202009,163,3607.0725108737047
202010,187,3875.3598206427646
202011,249,4498.650835852632
202012,335,4644.212403947475
202101,317,4520.168832285149
202102,173,4691.385641687812
202103,165,4440.176608137744
202104,203,5200.156820195708
202105,193,3748.668652283143
202106,165,4341.760368500012
202107,187,4108.1961412986875
202108,153,4452.494848084444
202109,123,4373.157129151024
202110,102,4336.03812539363
202111,55,4223.0634363746485
202112,51,4660.026452858854
202201,36,4862.570340997268
202202,29,3746.562556894665
202203,49,4395.838322556611
202204,81,4333.4729941712685
202205,54,4350.022758645864
202206,41,4762.896078618066
202207,23,4134.647201673555
202208,23,3349.8814463544754
202209,31,4763.184917677193
202210,16,4083.737031433737
202211,20,3737.593868043722
202212,30,4010.7179549689167
202301,60,4201.936609866341
202302,116,4291.701142132234
202303,118,4376.3649269301795
202304,151,4277.912863810568
202305,140,4832.128632321536
202306,178,4709.214944884946
202307,163,4707.128843210573
202308,192,4895.448044714801
202309,178,5312.727809365443
202310,108,5010.840489032203
202311,115,5211.079674255808
202312,87,5166.681088422345
202401,116,4261.829766188938
202402,142,4558.0172821667375
