년월,데이터 건수,평당 거래가
201512,226,1572.307127257744
201601,206,1545.4919871267318
201602,222,1524.9338466048112
201603,357,1554.255827206035
201604,354,1610.2542216267557
201605,343,1651.2998434338087
201606,420,1647.3177118941
201607,415,1678.6486167049911
201608,326,1699.8510849004588
201609,363,1695.6572748736442
201610,403,1693.6002845866308
201611,213,1735.4079796063327
201612,149,1612.7361261494873
201701,119,1711.298147996676
201702,195,1700.9198415996213
201703,233,1667.851793126259
201704,259,1722.0831952599208
201705,348,1769.2157412937515
201706,333,1802.4690150012025
201707,364,1851.2444970452243
201708,199,1762.0800357426208
201709,188,1860.62142436334
201710,172,1881.5446515746266
201711,188,1945.50585708438
201712,209,1938.2449151674255
201801,323,2028.172011901942
201802,363,1971.837768424791
201803,503,1974.2814476637834
201804,229,1940.3010938785992
201805,249,2018.0357521423214
201806,302,1999.8427098532304
201807,323,2016.8236414162
201808,514,2043.5733033917893
201809,282,2040.865266205661
201810,134,1906.3687498112813
201811,63,2009.9585602419113
201812,81,1960.0247159250716
201901,99,1966.695858685825
201902,99,2063.142272718317
201903,96,2040.161466188542
201904,117,2048.049158390412
201905,98,2188.7246938904823
201906,144,2086.850632545126
201907,199,2172.2319059520883
201908,236,2354.645717471101
201909,215,2385.165321180778
201910,346,2448.811232844358
201911,383,2449.637886472213
201912,339,2493.16489545598
202001,313,2447.314692069476
202002,367,2373.1431785767136
202003,213,2349.206494253676
202004,184,2275.6929612261642
202005,253,2359.5578167739855
202006,580,2669.3858683336357
202007,514,2676.1463959229554
202008,197,2783.332249955605
202009,154,2689.3623730694267
202010,186,2826.7791768641005
202011,231,3108.341188622585
202012,259,3133.4344397951263
202101,204,3300.338688331661
202102,139,3095.2564870836522
202103,151,3071.104404004178
202104,143,2875.3218409279825
202105,176,3244.4225223699086
202106,157,3288.1580105935354
202107,187,3500.455349618574
202108,183,3616.1858920743543
202109,114,3610.1418002124005
202110,110,3511.4752434206625
202111,77,3473.8274400683495
202112,60,3649.9338854057437
202201,61,3846.394315326708
202202,50,3718.831524356403
202203,60,3791.537897721733
202204,78,3468.9930381026425
202205,79,3238.819730206159
202206,45,3144.5307392695036
202207,41,3399.1855914723233
202208,39,2926.984760819085
202209,39,3315.4928990168746
202210,28,3139.145324530995
202211,33,2799.703897821136
202212,31,2915.78721160152
202301,59,3161.173342526195
202302,97,3220.1912599156058
202303,383,3710.682497567319
202304,155,3295.679472707414
202305,130,3325.6572983061988
202306,128,3301.1006685619345
202307,154,3361.50533294346
202308,166,3380.407628326766
202309,127,3522.8585174155446
202310,102,3135.5867030680693
202311,75,3232.6342513120944
202312,61,3199.842170906686
202401,93,3480.022688031624
202402,106,3217.539088831851
