년월,데이터 건수,평당 거래가
201512,280,3749.489471113354
201601,275,3705.1131484256134
201602,268,3881.2200506870427
201603,606,4026.982254432375
201604,863,3991.9146455520063
201605,782,4099.924209242424
201606,810,4060.278818616655
201607,596,4033.062543689946
201608,653,4224.065411963723
201609,700,4199.204666683499
201610,718,4177.04399594406
201611,242,3875.5852365904675
201612,258,4243.864044102003
201701,214,4415.438282091796
201702,366,4429.431921618326
201703,549,4382.410227372843
201704,607,4448.247791604382
201705,1191,4591.362204805459
201706,718,4428.978849166976
201707,1016,4612.274584059886
201708,236,4552.8970272856905
201709,475,4641.296579766168
201710,447,4785.274556773485
201711,754,4922.933952185943
201712,692,4967.32578993989
201801,803,4994.432721440142
201802,359,4901.847971917955
201803,336,5127.072362741176
201804,137,5187.809430095852
201805,139,5088.089958287645
201806,140,5283.302554498768
201807,297,5694.885821840694
201808,737,5852.787410525782
201809,312,5740.894239216447
201810,136,5521.9130636825475
201811,70,5397.916779852591
201812,80,4959.8999071783
201901,74,5355.045653691433
201902,49,5709.690204380357
201903,149,5874.5901354198395
201904,232,6194.54235842654
201905,389,6307.639591106673
201906,595,6338.420666988516
201907,671,6375.275667192219
201908,364,6586.425998851901
201909,500,6759.159604874802
201910,699,6523.597857713625
201911,536,6630.104658533076
201912,377,6569.929422455022
202001,133,5863.4935486472805
202002,243,6725.795497611975
202003,149,6491.11495580992
202004,159,6561.947954007789
202005,346,6464.882358542911
202006,828,6850.088669672405
202007,387,6563.481080861394
202008,243,7056.11994699233
202009,184,6893.547750301159
202010,205,6867.159403779194
202011,393,7311.590134291889
202012,480,7298.6518758146885
202101,320,7355.630447990595
202102,220,7615.830127035781
202103,175,7287.186773851625
202104,238,7737.763726140091
202105,259,7514.416425444685
202106,172,7818.806612790122
202107,211,8187.477775044431
202108,202,7908.31175433474
202109,148,8205.26209740426
202110,132,8733.42178116765
202111,114,7861.154923805275
202112,73,8651.51341860604
202201,62,7913.193252438056
202202,68,7965.143279806656
202203,93,8054.44689309033
202204,114,8862.306252204526
202205,114,8059.176207335768
202206,73,8389.657954395487
202207,56,7949.031196107256
202208,151,7291.175412322833
202209,33,8376.56999091793
202210,31,7668.532959394544
202211,38,7786.351354309936
202212,43,6864.690629065428
202301,106,7725.830132006533
202302,195,7902.616561578126
202303,190,8022.812802477815
202304,202,8330.542337591954
202305,271,8333.94260088095
202306,274,8740.711805073184
202307,248,8856.023258483227
202308,282,8821.025867996308
202309,207,8441.488723873092
202310,145,9096.182566512116
202311,114,8158.417636746377
202312,100,8546.381229196648
202401,191,8507.550678431742
202402,158,9000.249747730148
