년월,데이터 건수,평당 거래가
201512,250,1672.2784339759028
201601,275,1711.529207297984
201602,310,1759.1853493375706
201603,605,1742.860649238165
201604,816,1824.716087821508
201605,865,1823.5288613744542
201606,962,1918.9373098941999
201607,832,1913.7781322561461
201608,713,1915.947489332899
201609,598,1968.0508056668402
201610,674,1969.9919669835797
201611,274,1897.3796793323952
201612,199,1931.2476217160017
201701,199,1917.3540236295582
201702,276,1955.1994549636618
201703,528,1951.9522700593534
201704,449,1992.8080290929386
201705,805,2084.2911401109673
201706,898,2074.1404988964714
201707,974,2134.7128339310816
201708,292,2040.7448147256607
201709,297,2160.8769609684387
201710,363,2244.839946774278
201711,398,2274.752065984081
201712,452,2266.3787123949696
201801,661,2275.228189967892
201802,720,2311.6397401977074
201803,704,2199.693752186738
201804,281,2212.670336516675
201805,328,2275.30776857562
201806,300,2282.4579117516555
201807,479,2409.6157144472677
201808,1070,2472.661557701774
201809,316,2537.3285660941965
201810,168,2459.47914861287
201811,77,2363.3609923387758
201812,84,2245.802203003527
201901,81,2382.241021076398
201902,73,2394.3484130306974
201903,117,2348.399818794611
201904,141,2407.5774676629903
201905,199,2528.5613535231146
201906,300,2606.1807160820044
201907,375,2838.9137129327887
201908,299,2655.993406881805
201909,326,2638.764847835008
201910,589,2851.9251506764645
201911,579,2918.005576452132
201912,663,2869.3047373840095
202001,425,2735.7130446773585
202002,473,2885.3791288317493
202003,264,2764.2673931147337
202004,193,2548.8630649688234
202005,335,2899.577841716534
202006,1166,3047.162363821142
202007,988,3154.022117665312
202008,419,3224.5236828948523
202009,318,3305.265132100775
202010,338,3283.8990150950613
202011,464,3301.268526879376
202012,432,3450.986643025466
202101,328,3736.223861176324
202102,267,3436.256303402225
202103,216,3413.2494129955053
202104,246,3644.0832058168508
202105,374,3721.1250725524983
202106,306,3949.307726401648
202107,384,3989.9277608454754
202108,326,4039.8587145047595
202109,153,3993.0352307803023
202110,122,4105.608126127347
202111,77,3578.0484971149785
202112,63,3685.1601634609265
202201,99,3472.679863534962
202202,54,3234.921357077863
202203,81,3751.5580598887973
202204,71,3731.352303061175
202205,87,3609.1327459364516
202206,53,3433.0239402854354
202207,37,3090.720018287886
202208,39,3288.5736153494036
202209,31,3314.0708046965383
202210,28,3370.1283912429208
202211,42,3191.7215935509535
202212,53,3421.1090972154725
202301,53,3480.7385535833146
202302,154,3566.699925168371
202303,151,3414.467435327649
202304,167,3797.949998952006
202305,184,3516.6853292136984
202306,210,3624.3847361716403
202307,157,3638.945194837131
202308,198,3571.439590771869
202309,196,3480.7574522276414
202310,128,3330.611181915762
202311,105,3302.5747554825853
202312,108,3519.8326235066584
202401,138,3548.464701508268
202402,132,3634.8215125372894
