년월,데이터 건수,평당 거래가
201512,144,1667.1548955763876
201601,196,1627.7072844033894
201602,180,1685.5789240984263
201603,289,1654.127205402568
201604,308,1688.5848363052082
201605,300,1653.085640596431
201606,362,1702.4746380972358
201607,390,1786.0744648588322
201608,314,1714.6561723079617
201609,281,1739.0268794625933
201610,353,1727.670243317307
201611,221,1759.713567277468
201612,169,1731.520730410871
201701,166,1797.7790555909169
201702,198,1731.0402642204358
201703,310,1713.4204145020128
201704,288,1713.3362501894662
201705,406,1770.1420761063387
201706,436,1756.879423762772
201707,442,1817.8626734819854
201708,198,1788.82227102028
201709,249,1895.8527569006903
201710,204,1877.6788852582797
201711,216,1855.7730141972236
201712,232,1909.9891665929256
201801,365,1956.6167321105565
201802,356,1949.1577860503714
201803,390,1988.916178895732
201804,179,1966.3311518820296
201805,206,1999.454990806423
201806,325,2071.407623942551
201807,249,2030.6186705634557
201808,356,2041.7945768152238
201809,181,2169.412251319899
201810,134,2280.722872578214
201811,59,2228.731202767255
201812,55,2161.944786501644
201901,82,2137.59837253284
201902,41,2188.005844382282
201903,84,2180.4280954522324
201904,90,2213.7106155503247
201905,169,2167.1209494883033
201906,183,2397.475722925868
201907,235,2442.2473298071727
201908,206,2464.4167188508422
201909,193,2398.455208784704
201910,335,2514.2308400878965
201911,401,2504.6955028553557
201912,283,2508.6357251954787
202001,235,2543.1807015902864
202002,303,2547.3625286378888
202003,189,2542.3302508011616
202004,146,2434.083954450685
202005,179,2555.830084166873
202006,538,2780.4689664145517
202007,325,2747.6494023459845
202008,119,2967.769066624383
202009,119,2982.1491186714743
202010,131,2931.97895427256
202011,184,3190.374389124012
202012,233,3286.266479500731
202101,176,3285.9709005848645
202102,141,3403.2953705075506
202103,140,3431.635591941775
202104,105,3193.074634128083
202105,171,3578.3457848514586
202106,105,3520.719357553259
202107,191,3693.0971718878513
202108,147,3735.0312640425263
202109,108,3790.7054862599366
202110,108,3573.6813508907
202111,48,3607.842692542498
202112,51,3556.6339354226507
202201,44,3324.536674083631
202202,42,3420.0363385799847
202203,45,3477.8800820486777
202204,71,3495.3360218270586
202205,76,3511.3108221048983
202206,41,3688.6395089839175
202207,21,3489.5247884394003
202208,18,3238.3722010591846
202209,17,2944.6302123156465
202210,15,3125.394955283029
202211,14,2976.8046685328836
202212,14,3399.963722111373
202301,33,2879.326556216361
202302,59,3040.7926750262736
202303,63,3102.6232222193735
202304,82,3205.5383650873873
202305,197,2437.8749990715264
202306,100,3229.0263519946907
202307,105,3352.6682390012456
202308,119,3339.279721746465
202309,112,3344.9482273560343
202310,69,3140.4530926588236
202311,46,3198.031439019391
202312,47,3055.160597248397
202401,71,3111.346197269502
202402,83,3023.6492958607614
