년월,데이터 건수,평당 거래가
201512,86,1407.7333123392307
201601,81,1361.4965564955455
201602,98,1374.4928677612415
201603,160,1365.4663480072966
201604,153,1388.9017046952513
201605,138,1362.758928781935
201606,176,1433.8906297102794
201607,183,1401.0090560848187
201608,151,1418.232859791314
201609,184,1416.535770667894
201610,213,1453.4494681242368
201611,106,1435.2299982465
201612,86,1413.2626725746588
201701,82,1492.6655056359134
201702,89,1433.8270896260792
201703,146,1484.811797212787
201704,160,1502.5030000805164
201705,193,1470.9076726679825
201706,198,1436.5578659777407
201707,196,1480.5045621901402
201708,95,1453.3075091482035
201709,98,1619.0661583537965
201710,101,1472.1522377085962
201711,84,1570.0350482979343
201712,80,1660.6874500157178
201801,121,1607.0933421235884
201802,110,1603.169602967758
201803,173,1624.655956743482
201804,87,1684.6542676305403
201805,94,1561.748482643378
201806,103,1700.1444244528986
201807,138,1667.2421740890088
201808,321,1675.09615256918
201809,194,1583.1921642607542
201810,109,1667.5100867803674
201811,63,1721.2074941009002
201812,44,1825.639436126971
201901,46,1722.9698821710074
201902,46,1627.08029954656
201903,82,1764.1751511907426
201904,82,1682.0658278321857
201905,100,2019.636871717368
201906,96,1884.926170091468
201907,158,1924.4488631623278
201908,141,2119.1997614486536
201909,175,2047.0542331071413
201910,245,2034.326166117045
201911,195,2038.0729604607236
201912,133,2032.4584216538492
202001,125,2134.0686319984034
202002,188,2072.6755410673836
202003,180,2145.326169690386
202004,54,1941.8417059012324
202005,104,2001.690525616641
202006,242,2135.4100208259274
202007,186,2365.835083818487
202008,93,2613.538008103871
202009,69,2584.809279531126
202010,72,2305.544487364695
202011,123,2769.634127538844
202012,262,2893.4322371884855
202101,116,2868.735586612835
202102,78,2870.253856032322
202103,131,2749.3588009995374
202104,83,2858.062566817245
202105,110,2788.72367494766
202106,72,3045.211434790066
202107,103,3030.512328822011
202108,105,2932.34797102007
202109,72,3139.3891978572588
202110,68,3314.4561413479078
202111,27,2805.459901257105
202112,24,2824.3210309356277
202201,26,2905.9280144365957
202202,17,2854.9570684402147
202203,33,2938.266397066559
202204,44,3016.827544130395
202205,47,3008.618873461606
202206,22,2758.284486845277
202207,22,3495.692650359392
202208,22,3129.581189780965
202209,14,3001.449125208852
202210,10,2625.043053658331
202211,147,3670.0680322797457
202212,14,2979.370784718756
202301,15,2775.5116601530776
202302,35,2735.228888528593
202303,54,2907.0294556020176
202304,55,2884.2970201631456
202305,40,2737.781207614237
202306,60,2692.5007057614885
202307,66,2764.3920822640334
202308,57,2672.1137078866514
202309,56,2641.753689772577
202310,47,2866.526248594025
202311,33,2684.0301480991216
202312,31,2431.9206504695035
202401,44,2676.51120702699
202402,39,2765.5559342026722
