년월,데이터 건수,평당 거래가
201512,220,1679.6570308731802
201601,217,1676.5826455930508
201602,266,1634.3570008113325
201603,356,1647.5107093674512
201604,489,1710.2987807739737
201605,438,1699.2451370898243
201606,562,1715.6255979171447
201607,540,1750.2980268217648
201608,524,1732.591142527585
201609,626,1778.2169270674979
201610,612,1794.0415605656933
201611,323,1758.0322562266174
201612,245,1765.770321915611
201701,158,1686.5111872978061
201702,245,1776.1283645394426
201703,368,1797.3916730737203
201704,316,1807.6918540781942
201705,538,1778.4885420736532
201706,669,1854.8415435642248
201707,710,1896.3115844477375
201708,367,1861.290140781529
201709,405,1903.2183023276568
201710,303,1907.5042443112059
201711,396,1927.4025551767422
201712,436,1908.8490596157294
201801,612,1937.2950507185985
201802,680,1953.6920601405734
201803,776,1963.6857610331901
201804,343,1968.9815706536729
201805,312,1980.8614135027185
201806,364,1977.1606648190639
201807,361,2052.471090253456
201808,745,2097.1078915667495
201809,405,2150.0492661710105
201810,166,2268.4206488891978
201811,96,2166.792845136942
201812,80,2198.9681333886588
201901,95,2178.619686282394
201902,79,2093.762022937194
201903,94,2237.4057485994667
201904,117,2163.33519507251
201905,150,2343.5778479926603
201906,265,2376.3571615916626
201907,443,2483.7852482697404
201908,404,2481.5827244825896
201909,300,2499.3579314831754
201910,608,2500.007138783172
201911,618,2592.0585603103555
201912,634,2558.516611831799
202001,449,2477.0947745350254
202002,531,2633.83997340466
202003,249,2572.8954691697404
202004,182,2543.241151135437
202005,270,2585.7143984555064
202006,906,2897.996905956487
202007,604,3145.5727533760373
202008,255,3240.9920630717575
202009,149,3229.4698202604354
202010,170,3227.953251288002
202011,271,3356.9557072163743
202012,328,3520.282139637259
202101,329,3535.418248848254
202102,226,3465.9065967252127
202103,221,3619.587807047877
202104,181,3557.822900867458
202105,242,3581.464742375873
202106,237,3677.6089618997753
202107,256,3708.20585480581
202108,283,3964.0407542972744
202109,156,4037.159054283277
202110,114,3936.21377371235
202111,74,3799.704492260556
202112,49,3753.349298954381
202201,35,4089.0281282329042
202202,42,3893.938822003941
202203,53,3833.7151525167283
202204,76,3739.1578879085496
202205,61,3616.3919316773286
202206,38,3615.0724376011326
202207,25,3555.6970970519237
202208,29,3366.587608870792
202209,37,3306.1987343526644
202210,43,3533.527933794484
202211,37,3022.3433901658113
202212,51,2977.276538954804
202301,103,3283.7701586208223
202302,153,3290.9978458615346
202303,156,3227.965820279774
202304,178,3293.3898187966197
202305,188,3279.315204082201
202306,189,3401.91033978814
202307,186,3353.3386482842607
202308,208,3420.2537130650194
202309,186,3425.079752111498
202310,132,3388.4128291974093
202311,138,3281.674740123266
202312,104,3153.1741982456424
202401,135,3387.637847743457
202402,151,3334.9664756687184
