년월,데이터 건수,평당 거래가
201512,289,2731.255737538067
201601,265,2696.303989722642
201602,289,2608.0427797121947
201603,502,2870.85005709741
201604,760,3038.9138687101718
201605,882,3112.372306599967
201606,1065,2984.4141861473668
201607,779,2935.5293962618907
201608,754,2957.805523855065
201609,802,3025.4718975209644
201610,882,3005.5012777457328
201611,301,2734.2074687728887
201612,278,2978.3402500488787
201701,273,2944.2082946876158
201702,430,3055.950240794196
201703,636,3005.263852541555
201704,780,3193.414982213439
201705,1336,3300.8085921241454
201706,701,3056.0654275867773
201707,1084,3363.297123833791
201708,238,3087.668671295994
201709,597,3613.7971987296364
201710,516,3519.796142555122
201711,713,3664.493597114984
201712,821,3548.536897025319
201801,994,3633.0409870205626
201802,429,3564.343170719797
201803,390,3598.014332800506
201804,194,3499.9803456269847
201805,160,3516.351265273623
201806,182,3716.5401828483364
201807,401,4405.571889489342
201808,947,4071.999096325424
201809,544,4149.95541357967
201810,200,3435.76700585605
201811,108,3617.8876793408535
201812,95,3961.2732008118683
201901,80,4112.340117702097
201902,87,4213.375661929095
201903,179,4712.575560240568
201904,284,4404.218146933111
201905,429,4624.321196270575
201906,733,4563.549738230931
201907,746,4550.153818953581
201908,387,4607.610306649287
201909,629,4644.048485420089
201910,948,4605.4910377423585
201911,811,4843.2149316367795
201912,472,4593.000153070206
202001,221,4436.035032769817
202002,363,4759.753941958072
202003,154,4476.105921255705
202004,144,4988.71650146762
202005,357,5065.329175269033
202006,1183,5248.146896034658
202007,583,4620.560016204286
202008,291,4870.516331658761
202009,231,5042.229691632787
202010,237,4917.540889140019
202011,380,5381.629670474118
202012,486,5824.049107211385
202101,270,5944.647404358499
202102,204,6201.27634245837
202103,157,6000.52499851262
202104,215,6250.55563148236
202105,252,5942.80420134686
202106,163,6346.305380597114
202107,257,6644.265099636515
202108,212,6570.570667362079
202109,171,6983.14015453143
202110,105,6605.03023460903
202111,60,7366.146617460644
202112,67,6081.454287444474
202201,56,6821.631389133649
202202,42,6289.867684109858
202203,105,5682.083036866908
202204,86,6560.31174965416
202205,80,6762.42491672006
202206,55,6303.606663208543
202207,38,6343.035413369891
202208,40,6408.097746824478
202209,33,6243.817567640128
202210,44,6128.097375531536
202211,52,6471.232674990568
202212,90,6367.349153225253
202301,154,6405.019016495006
202302,259,6120.553542989302
202303,235,6394.9022195045645
202304,286,6155.307017213708
202305,302,6178.865896062485
202306,300,6364.533026208423
202307,274,6243.225005936637
202308,272,6625.977139005118
202309,265,6290.570775832422
202310,151,6392.503873132324
202311,108,6459.706052828389
202312,140,6252.533493032335
202401,205,6289.734496636458
202402,173,6596.365467041572
