년월,데이터 건수,평당 거래가
201512,242,2032.0241700584313
201601,243,2123.0027837629164
201602,239,2074.924517560148
201603,430,2158.7436266304007
201604,525,2275.906453023266
201605,531,2212.588362829525
201606,637,2210.282024977478
201607,611,2217.690473481803
201608,707,2218.5410043466723
201609,732,2140.645621791836
201610,750,2178.8645332395113
201611,304,2122.7756493417714
201612,197,2226.397096948234
201701,174,2349.078021141639
201702,305,2214.6220706175623
201703,493,2239.2669558925627
201704,711,2446.301499594387
201705,1195,2318.991219491106
201706,675,2299.980280548924
201707,893,2492.578879379763
201708,230,2414.764426694353
201709,296,2493.611769860574
201710,340,2458.33437778454
201711,411,2625.5985290122817
201712,446,2631.679202512081
201801,734,2690.3711191772595
201802,473,2611.8231188665036
201803,349,2610.493932280855
201804,158,2766.1289114467663
201805,188,2593.3429300962634
201806,207,2611.1885093619007
201807,277,2795.34350946105
201808,783,2959.5048090399764
201809,361,2937.006444038445
201810,138,2808.079021410668
201811,75,2861.1823749430973
201812,66,2652.713535076216
201901,102,3130.139513694733
201902,75,2866.6978321335414
201903,82,2740.4244663127065
201904,161,2998.2050566542525
201905,220,3174.4135231812356
201906,316,3238.9989613704543
201907,486,3177.655972426177
201908,383,3341.4978864534537
201909,416,3292.906010617222
201910,733,3271.668602434393
201911,656,3360.935782462006
201912,498,3263.2822629723687
202001,337,3146.3665368398156
202002,394,3153.1682938157214
202003,172,3135.612302311496
202004,129,3114.482760756738
202005,321,3464.8097487841455
202006,899,3750.232589680199
202007,570,3807.0236435710813
202008,318,3951.170331442411
202009,211,4033.4472704824493
202010,200,3999.232583839888
202011,337,4374.799314673972
202012,347,4603.433750757648
202101,309,4699.613929133269
202102,166,4556.8559141269125
202103,208,4242.488709705003
202104,160,4161.120722800785
202105,269,4666.452539055329
202106,169,4767.754102911564
202107,177,4928.021366392659
202108,194,5104.789091943819
202109,125,5117.427628059366
202110,124,5016.739883364851
202111,77,4712.054591258467
202112,68,4914.178552746635
202201,52,4916.939669971387
202202,33,4429.560449656947
202203,60,4815.655837867836
202204,70,4754.610337234966
202205,86,4313.442929048146
202206,35,4830.587010945374
202207,32,4393.276523153021
202208,36,4402.498311377133
202209,19,4478.297356000777
202210,33,4326.218383419757
202211,40,4588.8722393721955
202212,50,4354.261867576122
202301,127,4380.800938032859
202302,210,4502.047128478946
202303,182,4341.056168002592
202304,255,4139.1693731021505
202305,222,4563.386505820917
202306,245,4926.500026281314
202307,213,4660.934792488382
202308,231,4756.5480921983735
202309,187,4633.715118987577
202310,121,4473.6784164404735
202311,86,4291.3901068803925
202312,110,4646.30642494367
202401,138,4696.223737348583
202402,164,4544.345737613286
