년월,데이터 건수,평당 거래가
201512,117,2323.2706915966933
201601,98,2291.7602511930168
201602,104,2212.427014977263
201603,226,2277.456657540784
201604,209,2327.529664845762
201605,199,2367.6303916260604
201606,263,2288.991918473875
201607,212,2370.4744541442583
201608,243,2314.1371692494063
201609,234,2397.108505017159
201610,283,2403.5104167377685
201611,116,2403.0880449112583
201612,105,2391.1214762121454
201701,72,2244.860031030183
201702,102,2274.3122955279327
201703,179,2363.23659314693
201704,210,2498.5670712499846
201705,361,2456.855565075633
201706,292,2489.151048372117
201707,320,2643.9329432999816
201708,105,2594.658774436341
201709,186,2600.6272061384116
201710,168,2749.1233839893894
201711,192,2803.2100871459274
201712,201,2810.2518358927273
201801,286,2812.870661224319
201802,157,2917.9337765856976
201803,150,2838.2748356431402
201804,70,2782.464855098853
201805,60,2699.3643521424087
201806,63,2835.3277452097495
201807,111,3076.174800633691
201808,269,3352.847560736843
201809,176,3457.756229286299
201810,53,3227.7104113923106
201811,35,3230.8315385335704
201812,31,3022.2994487093615
201901,29,2626.6265163477897
201902,30,3027.8455773660144
201903,57,3013.116092157006
201904,75,3324.482810853318
201905,99,3340.649771387667
201906,189,3454.794619829379
201907,220,3545.6148745278574
201908,198,3632.5055636336638
201909,149,3539.7654134325694
201910,298,3773.361652663302
201911,225,3873.060710918752
201912,132,3771.1960379129523
202001,63,3696.0331708171434
202002,115,3736.7822812536815
202003,55,3610.8916099347266
202004,41,3546.1559822278637
202005,84,3614.374394277621
202006,238,4157.996104144209
202007,201,4212.298559431608
202008,99,4613.066161964151
202009,76,4345.812453790591
202010,77,4230.638668136202
202011,109,4648.778435671494
202012,132,4721.790883235737
202101,111,5099.215121961082
202102,68,4880.297205440059
202103,70,4561.331833487837
202104,47,4666.734633302792
202105,81,4895.074335485808
202106,60,5084.5126183298835
202107,87,5156.511033326892
202108,79,5300.706225184391
202109,55,5081.937242927711
202110,40,5168.919714770596
202111,30,5324.498862056214
202112,18,5418.053250966803
202201,26,4996.235367064286
202202,14,4877.886172168711
202203,28,5167.816233906572
202204,47,4945.4148077670225
202205,44,5088.682345559647
202206,13,4785.347014841592
202207,13,4994.2171561730565
202208,12,4516.792576777796
202209,12,3812.38116817228
202210,9,3824.650479580733
202211,8,4208.807085872228
202212,59,4148.626218658962
202301,36,4276.108135312938
202302,47,4689.15614246537
202303,48,4404.415458674969
202304,63,4720.873749360648
202305,72,4953.577049483868
202306,66,4829.807424850129
202307,67,4993.756123257545
202308,83,4969.243128622518
202309,80,5066.202818908794
202310,43,4695.122875429737
202311,36,4910.37983203627
202312,52,4940.300595163782
202401,56,4721.271270654751
202402,59,4807.466274876452
