년월,데이터 건수,평당 거래가
201512,242,1537.3659172173457
201601,293,1567.3699170913178
201602,313,1559.3461457067883
201603,470,1522.1082240249352
201604,516,1562.9966995150683
201605,534,1578.1411282910403
201606,652,1627.8364520457103
201607,640,1594.6712754934235
201608,520,1597.130970203092
201609,564,1668.8762673983847
201610,644,1706.5058824646396
201611,289,1663.3925070862354
201612,224,1642.2448816718916
201701,206,1644.0889622267835
201702,304,1690.0572587677448
201703,413,1691.1040632988222
201704,462,1685.0931589268368
201705,629,1768.3169780815188
201706,693,1747.1483765956211
201707,618,1793.8908931568205
201708,304,1728.2559265148402
201709,364,1765.697958157982
201710,300,1802.9606643586314
201711,315,1811.7068961231632
201712,314,1906.995166856908
201801,502,1912.560710231545
201802,469,1914.8857675399092
201803,548,1865.3768730903407
201804,319,1865.169984809449
201805,312,1872.2782287615114
201806,374,1932.779752205073
201807,432,2036.0681972755303
201808,796,1961.0575164519494
201809,400,1925.0169793420769
201810,215,1935.243108446183
201811,115,2020.4728507734578
201812,87,1892.6034494924756
201901,99,1903.4626800975443
201902,84,1839.2240172433
201903,124,1926.9904239941122
201904,167,2028.0027530956643
201905,161,2200.156114529212
201906,295,2157.8504351319907
201907,373,2344.8779558739147
201908,286,2417.6693057103776
201909,316,2345.651167617593
201910,540,2433.415133236324
201911,574,2479.3847400495742
201912,509,2392.3167653282135
202001,443,2343.4951521066164
202002,579,2297.306904363047
202003,330,2243.4411143583507
202004,241,2238.6379976993
202005,380,2303.9435971862695
202006,915,2574.3566553584433
202007,577,2692.7213630578394
202008,270,2710.7599604223324
202009,228,2734.0101131990136
202010,246,2639.278779043723
202011,483,2638.0734338030115
202012,386,2990.426327227236
202101,338,3005.653956564555
202102,211,2972.9149600382048
202103,268,3110.2396329502108
202104,205,3035.2663368035337
202105,284,3186.0375990270113
202106,358,2855.143237714081
202107,277,3358.0288378763876
202108,253,3416.4568523071557
202109,158,3458.228362403212
202110,124,3363.7853586961664
202111,97,3501.4118112858982
202112,73,3278.0501508974367
202201,151,2938.821481525735
202202,53,3024.6183576975764
202203,91,3259.6288419942925
202204,98,3120.0671745517943
202205,100,3129.2696221068195
202206,70,3243.4321347808727
202207,39,2947.0589747245053
202208,38,2952.8095074898833
202209,43,2400.682015062083
202210,40,2946.044116660373
202211,26,2836.577479127193
202212,27,2821.008056552767
202301,48,2868.473747245527
202302,97,2868.5671699616864
202303,140,3077.4609958674123
202304,159,2916.296858698787
202305,138,2904.1958649332155
202306,140,3052.5355927656506
202307,149,3075.009306321633
202308,162,3169.6192154870555
202309,151,3023.332239615822
202310,122,3070.5498921095445
202311,91,3060.2230092794707
202312,84,2936.7118480761833
202401,132,2881.4562811079873
202402,115,3012.553769339601
