년월,데이터 건수,평당 거래가
201512,198,1386.427493630393
201601,246,1345.9843208529069
201602,264,1338.487953127812
201603,398,1375.4944289105033
201604,373,1385.798153111715
201605,445,1390.394562492662
201606,568,1379.6654304863143
201607,545,1424.7954593125094
201608,471,1432.1241781698773
201609,462,1442.042140325097
201610,555,1456.816965259933
201611,269,1472.2787986303174
201612,180,1445.0525305234007
201701,159,1434.7233500484865
201702,254,1445.362169834209
201703,373,1461.5002698630544
201704,371,1492.5608262733476
201705,539,1527.9706059365371
201706,606,1543.9068588496013
201707,674,1554.5567967936174
201708,230,1479.7598569292445
201709,226,1543.1250081884803
201710,218,1548.1320942546033
201711,250,1568.6862741586403
201712,232,1599.1621518448567
201801,373,1578.5047781478297
201802,362,1638.0725756505212
201803,504,1582.7137095457704
201804,216,1554.6701811139421
201805,221,1618.3468761072675
201806,260,1672.6723699109543
201807,327,1676.9604630955905
201808,854,1621.2585568029633
201809,408,1668.188887535581
201810,185,1699.3584453522337
201811,107,1677.708703852911
201812,100,1752.7156688368832
201901,105,1677.4199572493035
201902,74,1677.494687126655
201903,128,1677.062149461825
201904,124,1747.1251357506842
201905,154,1790.449554335509
201906,290,1881.796246990396
201907,308,1909.1758420953572
201908,236,1856.5032996218954
201909,271,1938.7992666000514
201910,418,1948.2376584652252
201911,432,2050.7046975109674
201912,441,2071.7063304179055
202001,367,2054.74474931496
202002,570,2030.7841887137056
202003,321,1957.3430034592125
202004,205,1931.762241569231
202005,302,1927.8291857315332
202006,909,2037.4278174266237
202007,646,2210.5478140679656
202008,208,2310.9923557253073
202009,155,2386.1584635106215
202010,215,2369.737924764932
202011,308,2616.433794594204
202012,370,2662.9003166161197
202101,282,2719.6339077200605
202102,197,2643.261417153128
202103,176,2817.116187118801
202104,200,2885.4220095240707
202105,209,2919.5391537394075
202106,202,2864.861962475468
202107,218,2871.151630583601
202108,143,3163.3813515111738
202109,84,3056.1891390399846
202110,96,3045.6432750559193
202111,50,3091.86463068842
202112,38,3298.986058646825
202201,28,3039.1845685350695
202202,17,2680.820894577588
202203,61,3156.2091881389188
202204,63,3195.6546575224907
202205,55,2567.923399356286
202206,27,2864.067721990066
202207,33,2934.8611070376064
202208,34,2698.7094381287334
202209,28,2613.830361680851
202210,17,2532.227207940758
202211,30,2567.7081313984186
202212,23,2401.7256853833196
202301,72,2583.1610818103954
202302,106,2444.144839020161
202303,98,2518.620162929162
202304,89,2397.8826226136853
202305,95,2457.9706476675356
202306,115,2528.0111532740234
202307,127,2369.1808012150054
202308,117,2637.2338935285156
202309,107,2514.619649412144
202310,86,2424.7074154842903
202311,67,2435.3682166508906
202312,52,2499.188012222387
202401,96,2448.029042962557
202402,80,2295.0159390983245
