년월,데이터 건수,평당 거래가
201512,167,2256.3419385589177
201601,211,2268.3939127400636
201602,196,2074.1949510450686
201603,312,2163.065087431192
201604,423,2248.5733080456503
201605,405,2249.691220273875
201606,467,2300.3549500616236
201607,463,2415.8121590254264
201608,434,2493.324160546122
201609,468,2497.1900627389773
201610,475,2530.979284396589
201611,240,2546.422082995127
201612,172,2454.036362688872
201701,147,2523.057674726339
201702,241,2506.77602468277
201703,391,2528.8598716254915
201704,397,2606.1989006664803
201705,556,2687.9786406171925
201706,463,2679.485978854999
201707,469,2746.1986230694615
201708,187,2725.9897900203878
201709,275,2769.6839800602866
201710,234,2802.576893095453
201711,340,2822.5826928210213
201712,368,2819.8438857078454
201801,580,2970.821327714576
201802,365,3016.264963287551
201803,274,2960.4684985358513
201804,129,3019.6208993660407
201805,150,3101.0587302684326
201806,157,2985.578409398307
201807,334,3335.849682365219
201808,510,3496.8666008032988
201809,221,3462.216502683374
201810,106,3484.220023304808
201811,46,3183.3843883541126
201812,70,2890.790079163632
201901,45,3391.6518363883106
201902,50,3380.0947237029823
201903,69,3436.1860135206066
201904,87,3486.9206636724502
201905,142,3655.7777455949995
201906,263,3861.38131750014
201907,364,3918.9437457304953
201908,294,3969.2038150110043
201909,246,3864.8676737113997
201910,425,4016.726394259918
201911,539,4129.383809062727
201912,378,3965.179069827492
202001,182,3742.447142845088
202002,214,3845.1237721263524
202003,118,3865.648207611367
202004,68,3871.683356898539
202005,162,3934.3119032776895
202006,504,4339.703614082421
202007,482,4266.758987764978
202008,218,4393.684625721291
202009,173,4585.841802119255
202010,185,4496.434260731485
202011,266,4753.66356432843
202012,256,4852.132232150865
202101,241,4924.552538878733
202102,127,4838.51472320001
202103,117,4901.814997732385
202104,122,4871.615506415382
202105,174,4813.190317260607
202106,133,5015.0351218998085
202107,160,5264.781450950906
202108,174,5377.790688904435
202109,113,5945.0143244421615
202110,92,5620.6457657507835
202111,46,5510.612462354957
202112,64,5222.304082962817
202201,57,5111.133465231695
202202,32,4844.2599831851885
202203,58,5176.071769842201
202204,74,5713.213904244628
202205,73,4948.419839955279
202206,46,4826.2506323985735
202207,31,5350.165463029315
202208,16,5464.702594869903
202209,25,5378.50834135309
202210,20,4739.296131953914
202211,20,4707.927240293574
202212,33,4683.491869956764
202301,55,4830.061502202199
202302,94,5076.396190451145
202303,128,4824.175124954587
202304,140,4893.3153032120445
202305,175,5207.701878599683
202306,173,5327.853716505738
202307,186,5299.40495373058
202308,173,5369.016587228819
202309,143,5140.394361165655
202310,82,4779.403823320337
202311,68,4884.377137014587
202312,70,4994.218006135453
202401,118,5143.473636972784
202402,105,4977.475506235248
