년월,데이터 건수,평당 거래가
201512,149,1668.98537374394
201601,183,1671.9870858595648
201602,242,1819.4284051410325
201603,412,1813.6559768863642
201604,382,1730.342925691038
201605,291,1703.7480867611243
201606,327,1784.5698987619244
201607,358,1802.632827007934
201608,309,1809.4152495283226
201609,311,1880.2255803340865
201610,329,1909.5038186084512
201611,197,1890.770417493089
201612,139,1852.3645489786622
201701,116,1887.171857902611
201702,175,1891.8045462597522
201703,206,1858.379232500854
201704,212,1992.1384336695196
201705,295,2066.563850651943
201706,392,2092.9152606513726
201707,393,2091.6097843795014
201708,218,2116.8755026605113
201709,250,2278.8975480483255
201710,218,2264.346790040606
201711,249,2219.4858043512236
201712,266,2333.187178838229
201801,447,2348.4614279691477
201802,330,2242.956393000233
201803,327,2132.4747790965453
201804,198,2229.772007498654
201805,158,2155.3954433847234
201806,193,2360.01579017146
201807,205,2259.9269601932224
201808,430,2556.841721902492
201809,194,2502.7193860721636
201810,109,2381.71111580231
201811,51,2133.1936685512437
201812,47,2477.120072103256
201901,66,2303.7852024853823
201902,55,2368.61920136503
201903,94,2404.293313732197
201904,89,2429.0245810936985
201905,137,2628.3957150802526
201906,190,2898.5172813513195
201907,279,3168.2642359991596
201908,302,3003.467420320904
201909,248,3061.8895541365564
201910,415,2923.897352628254
201911,413,3165.38960659478
201912,339,3143.8299038972846
202001,227,2954.373624224544
202002,274,2906.5633840961
202003,144,2832.6744136652865
202004,88,2670.9829816500696
202005,187,2912.020796803175
202006,494,3253.0021376706027
202007,380,3442.814290560798
202008,182,3563.1359233078024
202009,158,3576.1479686828775
202010,167,3518.5546240433587
202011,202,3823.9173874343924
202012,240,4111.753600087954
202101,181,4087.6291178429706
202102,136,3798.6424612865553
202103,118,3606.6362463976398
202104,100,3605.4468119962403
202105,179,3863.2839031241338
202106,126,3975.6343588117074
202107,154,4315.680607508406
202108,163,4370.124999606026
202109,124,4424.503698453675
202110,77,4561.033574478409
202111,48,3965.099127236355
202112,38,4071.5229120954627
202201,22,3794.6159204634487
202202,29,4079.5169503949423
202203,48,4274.2053690066405
202204,54,4110.29478599467
202205,68,3985.7579635730062
202206,37,4129.109256017866
202207,23,3824.1800083584503
202208,24,4023.574751121852
202209,16,4331.642650666157
202210,22,3187.9511201272094
202211,19,3434.5267055897934
202212,26,3453.3859037506486
202301,50,3517.721854603199
202302,93,3569.2544292704
202303,111,3423.0511492508685
202304,119,3713.113001922485
202305,122,3657.696196663294
202306,130,3763.8625022134775
202307,160,3883.745344178844
202308,165,4004.897457875865
202309,145,3864.658061592861
202310,76,3609.338201800349
202311,55,3821.505566131696
202312,74,3512.6327985202956
202401,94,3667.6443798269283
202402,81,3871.762864856649
