년월,데이터 건수,평당 거래가
201512,240,1905.1732715558308
201601,214,1922.5096412436628
201602,242,1917.038611558104
201603,417,1927.3006129282037
201604,439,2037.4814107887619
201605,478,2029.7075405690734
201606,565,2061.27094669045
201607,456,2015.858161501968
201608,466,2110.3101063834606
201609,470,2131.931460884611
201610,481,2147.5621330061467
201611,285,2100.2874725974184
201612,151,2101.3098347737355
201701,161,2053.3720630928738
201702,249,2123.4792956777387
201703,416,2278.735962109708
201704,399,2266.378870472409
201705,617,2247.165268723923
201706,488,2280.9054180947505
201707,529,2337.7978913856127
201708,188,2284.833157535157
201709,339,2415.2770645537285
201710,298,2433.4753611677866
201711,350,2504.3562236701573
201712,421,2634.5603791922626
201801,611,2685.468337166383
201802,419,2582.916775236978
201803,402,2549.5545121633786
201804,238,2679.791117240842
201805,206,2671.146449717696
201806,208,2749.153107538035
201807,325,2983.6664294886077
201808,496,2947.306682367012
201809,168,3159.9467524973734
201810,125,3082.374718945454
201811,70,2950.0977058451454
201812,48,2833.1265749656554
201901,58,2976.0519242315613
201902,56,2893.889637705485
201903,79,2902.4690861705026
201904,124,3460.8134735614735
201905,198,3355.8482623073173
201906,417,3516.879154799794
201907,329,3402.7907868175052
201908,292,3273.965330394457
201909,277,3490.730154847681
201910,453,3530.714043898124
201911,458,3495.803435847126
201912,433,3447.9052943458096
202001,307,3393.4459971159417
202002,349,3503.8939717221124
202003,153,3598.448766175388
202004,128,3537.893923475703
202005,248,3696.795216954407
202006,619,3960.594447876102
202007,432,3805.1235612833902
202008,213,4023.697710828702
202009,161,3948.9735349024554
202010,214,4107.4650921171715
202011,278,4292.049619709458
202012,336,4482.92473502499
202101,273,4561.265602159497
202102,160,4783.931963653848
202103,174,4750.7304375852555
202104,167,4952.157449724609
202105,182,4555.879082668392
202106,152,4499.586129119034
202107,202,4745.608140350561
202108,180,4785.2207189580595
202109,148,5015.481934165079
202110,109,5004.987499825782
202111,94,4653.831324668525
202112,67,4893.167111443985
202201,36,5071.973921012245
202202,40,4678.235812574404
202203,72,4502.59273441603
202204,92,4994.370354347596
202205,89,4959.204560575608
202206,57,4931.85871675622
202207,30,5814.078063688975
202208,47,4674.957758686289
202209,73,3503.5600829617038
202210,31,4353.626382757964
202211,38,3966.6159324706055
202212,69,3829.20571853928
202301,58,4489.100591509495
202302,105,4277.429894888476
202303,133,4403.012194475169
202304,164,4317.700374110019
202305,192,4696.27749976367
202306,300,4762.586298292592
202307,181,4696.751841165036
202308,195,4624.810242303158
202309,184,4700.851637423803
202310,117,4683.6078386200925
202311,92,4528.026564941073
202312,79,4496.6310202665345
202401,114,4500.675327576695
202402,120,4410.313400701952
