년월,데이터 건수,평당 거래가
201512,115,2840.0899348245152
201601,104,2906.6226608848315
201602,80,3109.917768569783
201603,160,2852.4146916914437
201604,208,2809.0155872514765
201605,315,3505.7716826806436
201606,312,3215.932436533548
201607,272,3253.9224945913434
201608,242,3160.1623384175327
201609,300,2963.162083821282
201610,216,3313.5710344542495
201611,125,2908.8934416876536
201612,87,3552.849178624163
201701,66,3142.575206127486
201702,141,3117.347838218841
201703,209,3113.2162699537303
201704,218,3162.973471160334
201705,453,3424.7283682341663
201706,277,3447.5472054149304
201707,314,3442.4122923796385
201708,100,3507.4128867263175
201709,145,4166.0206988808095
201710,105,3576.698652131294
201711,169,4269.2550755298635
201712,273,3707.245409390416
201801,399,3637.560382104081
201802,157,3494.497350890748
201803,187,3863.9777781090015
201804,112,4037.8236363896403
201805,119,3719.434326470852
201806,109,3819.0969736017023
201807,187,4378.578736346286
201808,225,4473.458801195031
201809,107,4638.127774190334
201810,51,5138.589713229629
201811,40,5491.973525500707
201812,24,4646.059588671759
201901,25,5591.798980931889
201902,38,5140.212451991224
201903,49,4809.234337239253
201904,74,4804.500075287229
201905,103,5278.100377555939
201906,166,4856.719321273946
201907,187,4974.990551546374
201908,127,4951.721820402422
201909,139,4858.167636162327
201910,215,4951.794439222787
201911,219,4794.327787133183
201912,167,4558.048392173984
202001,103,4781.005723572676
202002,82,4908.8142902891705
202003,39,4816.7429705649165
202004,33,4837.369135333052
202005,135,4719.568030594353
202006,275,4991.459143945499
202007,187,5077.754549630428
202008,114,5586.369878817751
202009,107,5553.88983653988
202010,129,5445.722390099976
202011,149,5306.880635265711
202012,175,5445.173838145756
202101,112,5561.090184137497
202102,84,6106.313679314614
202103,87,6134.526228191563
202104,88,5963.547914806369
202105,131,6343.6470032105735
202106,87,6015.652297309968
202107,82,6250.841398660588
202108,89,6274.802816886944
202109,54,7252.489538769972
202110,34,7192.680575397646
202111,34,7705.835807761776
202112,25,8585.368452968518
202201,14,6998.679752385316
202202,18,6470.036831497858
202203,32,6387.938794277534
202204,43,7637.232210918398
202205,51,7267.813835298039
202206,26,7482.897856007082
202207,16,6556.723826926265
202208,10,6834.515348704687
202209,12,5316.479761937564
202210,9,5844.143183945097
202211,16,7897.930721507988
202212,10,6224.539103048771
202301,14,5894.282750834216
202302,24,5848.3681393594725
202303,44,6426.200887510267
202304,45,6391.969689717649
202305,49,6560.783744692517
202306,68,7422.2132808420665
202307,53,7123.1240236566955
202308,65,7516.381120732265
202309,65,6722.399331961663
202310,64,7238.960775422866
202311,41,5725.540810907181
202312,31,6230.033039435624
202401,44,6987.159643752519
202402,55,7618.952658104811
