년월,데이터 건수,평당 거래가
201512,49,2049.8840816019147
201601,45,2123.8531999930356
201602,55,2191.0510412170106
201603,65,2228.2690699988666
201604,68,1984.3422075213082
201605,73,2179.7649527702124
201606,82,2061.0579490357954
201607,78,1983.4139260594147
201608,89,2102.2590070129345
201609,81,2130.2272954739533
201610,78,2211.633900679813
201611,66,2262.9783382562573
201612,51,2287.8847298827172
201701,53,2271.6133393687237
201702,66,2163.9124334650683
201703,71,2209.198178674615
201704,54,2208.3365680396305
201705,85,2215.7268891717763
201706,94,2281.954538008706
201707,102,2186.031908494244
201708,49,2204.4216968166775
201709,56,2382.85571368927
201710,44,2330.089022103337
201711,72,2340.9545949008743
201712,69,2359.8916688420923
201801,89,2523.094258644555
201802,84,2384.572876046914
201803,78,2420.8597768451496
201804,43,2330.3241196489844
201805,58,2217.882553056583
201806,55,2442.8128034466677
201807,65,2519.353196258039
201808,112,2660.8525802995878
201809,70,2785.601325271942
201810,30,2419.16676929529
201811,29,2436.2335111755497
201812,11,2137.347807242208
201901,36,2760.2547894892446
201902,16,3058.8363379710627
201903,17,2647.9799513741455
201904,28,3013.8002723033715
201905,50,3079.1658131801673
201906,42,3243.9912261603818
201907,71,3842.7889862400866
201908,59,3302.774846877058
201909,53,3484.8568191971367
201910,81,3489.5885195026794
201911,87,3448.8449217607126
201912,83,3246.815605098412
202001,65,2846.951604021406
202002,58,2964.684019490233
202003,44,3005.35981576297
202004,28,2743.3571431971363
202005,55,3306.368242942607
202006,118,3398.9007934877277
202007,98,3367.508755405447
202008,49,4196.437064795098
202009,36,3479.9124583733687
202010,111,3214.420209577418
202011,64,3662.7375746156827
202012,72,4154.067466827918
202101,55,3688.863051520187
202102,41,4156.864118726685
202103,48,3690.535454713464
202104,44,4078.1330552816507
202105,34,4017.672278907699
202106,27,3796.836825977309
202107,49,4305.227052677961
202108,37,4683.498316167165
202109,35,4146.6593683987585
202110,43,4799.150812685155
202111,24,4042.3242269579305
202112,18,4487.53011394029
202201,16,3976.99721352446
202202,17,5320.972221156628
202203,21,4829.369248053812
202204,25,4891.345852964571
202205,22,4635.126178924917
202206,11,3516.4521471181124
202207,14,3022.752922163569
202208,7,2697.7127027309302
202209,17,2837.6065208958917
202210,4,2641.081950480196
202211,11,3152.2742777101453
202212,7,3551.0592904715104
202301,7,4208.731590853413
202302,22,4831.144030030904
202303,22,5541.074611513964
202304,17,5056.7604363546525
202305,33,4598.784165666288
202306,30,4739.891929744481
202307,22,4791.403656488158
202308,40,5300.150291483523
202309,45,4563.234913547742
202310,28,4255.643958814712
202311,21,4420.637516942997
202312,20,4381.8743153677215
202401,18,4420.176738532006
202402,19,3656.029288455388
