년월,데이터 건수,평당 거래가
201512,78,2072.551689852934
201601,78,2062.7071002716643
201602,73,2090.441785390576
201603,103,2149.0771672412984
201604,155,2112.766492069406
201605,148,2126.5427606917156
201606,136,2223.319466601356
201607,145,2220.4395850271726
201608,133,2244.9866836130786
201609,146,2277.58695401048
201610,171,2303.304872720778
201611,82,2266.3565319155387
201612,60,2303.6443015013106
201701,50,2279.4755895748035
201702,49,2596.2158998069503
201703,91,2395.873245956518
201704,89,2331.858642856303
201705,159,2385.7576220508295
201706,182,2410.6345278572694
201707,161,2319.4293352141453
201708,66,2320.2106298578524
201709,104,2559.467940455076
201710,65,2555.740416365431
201711,82,2650.4707263312
201712,126,2570.951392732235
201801,262,2558.036582560669
201802,200,2659.8841163719594
201803,144,2664.9545697295457
201804,80,2764.179550372153
201805,93,2675.0443571103656
201806,84,2722.1825049054423
201807,89,2876.1046048484154
201808,139,2890.543371326328
201809,95,3003.4486280504393
201810,50,2921.6098330931486
201811,24,2876.7901584385036
201812,17,2904.8744742670942
201901,23,2784.1499026228853
201902,22,2791.31735277498
201903,30,2758.1577884925305
201904,43,3211.993787461499
201905,61,3020.1945139566787
201906,79,3140.3638226819417
201907,105,3269.799570292913
201908,74,3315.9490123405826
201909,83,3296.1743467989077
201910,157,3356.678034728186
201911,163,3378.7289656972816
201912,172,3470.0507593771954
202001,84,3238.1799942859575
202002,93,3495.9677984802256
202003,64,3200.868399228033
202004,37,3433.5833080980274
202005,57,3445.381488206578
202006,171,3544.115060972581
202007,149,3605.9320315904965
202008,76,3827.3456179895015
202009,56,3816.1004801187482
202010,73,3905.399543393208
202011,79,4099.69944409931
202012,89,4170.543348772728
202101,71,4077.068403598383
202102,103,4294.723567909974
202103,52,3901.6848616270663
202104,57,4129.196482170653
202105,68,4165.1426461356805
202106,55,4200.762273558303
202107,58,4645.349909328253
202108,55,4406.086307726486
202109,37,4506.5956973607335
202110,22,4605.359490242984
202111,19,4347.833155625043
202112,19,4526.851127095097
202201,19,3878.153174273581
202202,19,5043.591149496716
202203,19,4348.0789108346935
202204,35,4044.548594486744
202205,31,3950.618077779941
202206,17,4102.409446912856
202207,5,4364.893279949304
202208,13,5107.114764201929
202209,14,3574.1908684966597
202210,16,3712.2903857689716
202211,8,3852.453237135661
202212,11,3580.9328747708573
202301,16,3931.8332179566937
202302,31,4541.9856461356085
202303,32,3635.933512800119
202304,48,3824.6587798010046
202305,53,4487.269137921442
202306,55,4290.192283172093
202307,66,4233.07360967343
202308,62,4577.6830863623
202309,55,4481.755987208272
202310,43,4331.283409005765
202311,39,4174.896503111972
202312,38,4342.59087125947
202401,39,4388.262610968951
202402,34,4383.464043005966
