DT,PRD_DE,C1_NM,LST_CHN_DE,standardized_DT,normalized_DT
118.8,2014-03-01,전국,2014-06-11,0.7005923529277766,60.61538461538461
117.8,2014-04-01,전국,2014-06-11,0.6314768106165559,59.84615384615385
115.3,2014-05-01,전국,2014-06-11,0.4586879548385045,57.92307692307692
109.2,2014-06-01,전국,2014-07-14,0.03708314674005931,53.23076923076924
115.8,2014-07-01,전국,2014-08-14,0.49324572599411476,58.30769230769231
123.4,2014-08-01,전국,2014-09-16,1.0185238475593918,64.15384615384616
126.2,2014-09-01,전국,2014-10-16,1.2120473660308093,66.3076923076923
127.7,2014-10-01,전국,2014-11-24,1.3157206794976402,67.46153846153847
121.7,2014-11-01,전국,2014-12-18,0.9010274256303166,62.846153846153854
112.4,2014-12-01,전국,2015-01-09,0.25825288213596537,55.69230769230769
126.8,2015-01-01,전국,2015-02-24,1.253516691417541,66.76923076923077
128.9,2015-02-01,전국,2015-03-17,1.398659330271105,68.38461538461539
131.5,2015-03-01,전국,2015-04-16,1.578359740280278,70.38461538461537
133.1,2015-04-01,전국,2015-05-14,1.6889446079782306,71.61538461538461
129.7,2015-05-01,전국,2015-06-15,1.4539517641200803,69.0
123.5,2015-06-01,전국,2015-07-15,1.0254354017905134,64.23076923076924
129.4,2015-07-01,전국,2015-08-17,1.4332171014267152,68.76923076923077
128.7,2015-08-01,전국,2015-09-16,1.3848362218088597,68.23076923076921
126.4,2015-09-01,전국,2015-10-15,1.2258704744930535,66.46153846153847
129.8,2015-10-01,전국,2015-11-17,1.4608633183512039,69.07692307692308
121.6,2015-11-01,전국,2015-12-15,0.8941158713991939,62.76923076923077
107.9,2015-12-01,전국,2016-01-15,-0.05276705826452725,52.23076923076923
112.3,2016-01-01,전국,2016-02-19,0.2513413279048427,55.61538461538461
114.3,2016-02-01,전국,2016-03-16,0.3895724125272839,57.153846153846146
114.7,2016-03-01,전국,2016-04-15,0.4172186294517725,57.46153846153847
116.6,2016-04-01,전국,2016-05-16,0.5485381598430911,58.92307692307692
116.6,2016-05-01,전국,2016-06-16,0.5485381598430911,58.92307692307692
116.1,2016-06-01,전국,2016-07-15,0.5139803886874807,58.538461538461526
119.1,2016-07-01,전국,2016-08-16,0.7213270156211425,60.84615384615384
121.9,2016-08-01,전국,2016-09-20,0.9148505340925609,63.0
122.1,2016-09-01,전국,2016-10-18,0.9286736425548042,63.153846153846146
123.2,2016-10-01,전국,2016-11-17,1.0047007390971474,64.0
113.2,2016-11-01,전국,2016-12-19,0.3135453159849416,56.307692307692314
104.3,2016-12-01,전국,2017-01-17,-0.30158301058492193,49.46153846153846
107.4,2017-01-01,전국,2017-02-27,-0.08732482942013754,51.846153846153854
111.2,2017-02-01,전국,2017-03-21,0.1753142313625005,54.76923076923078
111.5,2017-03-01,전국,2017-04-18,0.19604889405586645,55.00000000000001
112.1,2017-04-01,전국,2017-05-17,0.2375182194425984,55.46153846153845
115.2,2017-05-01,전국,2017-06-19,0.45177640060738283,57.84615384615385
114.2,2017-06-01,전국,2017-07-18,0.38266085829616225,57.07692307692308
118.1,2017-07-01,전국,2017-08-16,0.6522114733099219,60.07692307692307
112.1,2017-08-01,전국,2017-09-18,0.2375182194425984,55.46153846153845
110.5,2017-09-01,전국,2017-10-17,0.12693335174464587,54.23076923076924
109.9,2017-10-01,전국,2017-11-16,0.08546402635791392,53.76923076923078
106.4,2017-11-01,전국,2017-12-15,-0.15644037173135814,51.07692307692307
102.2,2017-12-01,전국,2018-01-16,-0.44672564943848475,47.84615384615385
109.0,2018-01-01,전국,2018-02-20,0.023260038277814997,53.07692307692308
110.0,2018-02-01,전국,2018-03-19,0.09237558058903558,53.84615384615385
106.0,2018-03-01,전국,2018-04-16,-0.18408658865584676,50.76923076923078
100.2,2018-04-01,전국,2018-05-16,-0.584956734060926,46.307692307692314
99.0,2018-05-01,전국,2018-06-15,-0.6678953848343908,45.38461538461539
96.3,2018-06-01,전국,2018-07-16,-0.8545073490746866,43.30769230769231
98.3,2018-07-01,전국,2018-08-16,-0.7162762644522455,44.84615384615384
106.7,2018-08-01,전국,2018-09-17,-0.13570570903799214,51.30769230769231
110.0,2018-09-01,전국,2018-10-16,0.09237558058903558,53.84615384615385
103.5,2018-10-01,전국,2018-11-15,-0.35687544443389824,48.84615384615385
96.1,2018-11-01,전국,2018-12-20,-0.8683304575369309,43.153846153846146
90.7,2018-12-01,전국,2019-01-16,-1.2415543860175215,39.0
90.0,2019-01-01,전국,2019-02-18,-1.2899352656353762,38.46153846153846
92.7,2019-02-01,전국,2019-03-19,-1.1033233013950803,40.53846153846155
90.9,2019-03-01,전국,2019-04-16,-1.2277312775552771,39.15384615384616
87.7,2019-04-01,전국,2019-05-17,-1.4489010129511832,36.69230769230769
91.3,2019-05-01,전국,2019-07-16,-1.2000850606307896,39.46153846153846
97.9,2019-06-01,전국,2019-07-16,-0.7439224813767331,44.53846153846154
101.7,2019-07-01,전국,2019-08-16,-0.48128342059409507,47.46153846153847
103.5,2019-08-01,전국,2019-09-19,-0.35687544443389824,48.84615384615385
108.4,2019-09-01,전국,2019-10-16,-0.01820928710891696,52.61538461538462
112.7,2019-10-01,전국,2019-11-19,0.27898754482933136,55.923076923076934
114.4,2019-11-01,전국,2019-12-17,0.3964839667584065,57.23076923076924
114.3,2019-12-01,전국,2020-01-20,0.3895724125272839,57.153846153846146
113.0,2020-01-01,전국,2020-02-18,0.29972220752269735,56.15384615384615
115.9,2020-02-01,전국,2020-03-16,0.5001572802252374,58.38461538461539
107.0,2020-03-01,전국,2020-04-20,-0.11497104634462617,51.53846153846153
103.1,2020-04-01,전국,2020-05-20,-0.38452166135838683,48.53846153846153
109.8,2020-05-01,전국,2020-06-22,0.07855247212679127,53.692307692307686
120.2,2020-06-01,전국,2020-07-15,0.7973541121634857,61.6923076923077
121.2,2020-07-01,전국,2020-08-14,0.8664696544747064,62.46153846153846
120.3,2020-08-01,전국,2020-09-15,0.8042656663946074,61.76923076923077
121.1,2020-09-01,전국,2020-10-19,0.8595581002435837,62.38461538461538
128.2,2020-10-01,전국,2020-11-19,1.3502784506532495,67.84615384615384
131.7,2020-11-01,전국,2020-12-18,1.5921828487425214,70.53846153846153
127.7,2020-12-01,전국,2021-01-15,1.3157206794976402,67.46153846153847
125.3,2021-01-01,전국,2021-02-16,1.1498433779507102,65.61538461538461
123.4,2021-02-01,전국,2021-03-16,1.0185238475593918,64.15384615384616
120.1,2021-03-01,전국,2021-04-16,0.7904425579323631,61.61538461538461
117.8,2021-04-01,전국,2021-05-14,0.6314768106165559,59.84615384615385
121.7,2021-05-01,전국,2021-07-01,0.9010274256303166,62.846153846153854
125.2,2021-06-01,전국,2021-07-21,1.1429318237195887,65.53846153846153
126.4,2021-07-01,전국,2021-08-13,1.2258704744930535,66.46153846153847
127.8,2021-08-01,전국,2021-09-16,1.3226322337287617,67.53846153846153
127.0,2021-09-01,전국,2021-10-18,1.2673397998797855,66.92307692307692
118.9,2021-10-01,전국,2021-11-18,0.7075039071588992,60.6923076923077
111.6,2021-11-01,전국,2021-12-24,0.20296044828698812,55.076923076923066
104.3,2021-12-01,전국,2022-01-24,-0.30158301058492193,49.46153846153846
101.9,2022-01-01,전국,2022-02-17,-0.46746031213185074,47.61538461538461
103.7,2022-02-01,전국,2022-03-25,-0.3430523359716539,49.0
106.5,2022-03-01,전국,2022-04-15,-0.14952881750023647,51.153846153846146
108.9,2022-04-01,전국,2022-06-16,0.016348484046693333,53.0
104.5,2022-05-01,전국,2022-06-16,-0.2877599021226776,49.61538461538461
100.2,2022-06-01,전국,2022-07-20,-0.584956734060926,46.307692307692314
93.6,2022-07-01,전국,2022-08-17,-1.0411193133149823,41.23076923076923
89.4,2022-08-01,전국,2022-09-19,-1.331404591022108,38.00000000000001
88.0,2022-09-01,전국,2022-10-19,-1.4281663502578172,36.92307692307692
80.7,2022-10-01,전국,2022-11-18,-1.9327098091297272,31.30769230769231
79.5,2022-11-01,전국,2022-12-15,-2.015648459903192,30.384615384615387
78.0,2022-12-01,전국,2023-01-20,-2.119321773370023,29.230769230769234
83.9,2023-01-01,전국,2023-02-16,-1.7115400737338213,33.769230769230774
93.2,2023-02-01,전국,2023-03-21,-1.06876553023947,40.92307692307692
94.9,2023-03-01,전국,2023-04-21,-0.9512691083103948,42.23076923076924
97.4,2023-04-01,전국,2023-05-19,-0.7784802525323434,44.15384615384615
100.2,2023-05-01,전국,2023-06-23,-0.584956734060926,46.307692307692314
101.6,2023-06-01,전국,2023-07-18,-0.48819497482521773,47.38461538461538
104.5,2023-07-01,전국,2023-08-17,-0.2877599021226776,49.61538461538461
107.2,2023-08-01,전국,2023-10-10,-0.10114793788238186,51.69230769230769
108.6,2023-09-01,전국,2023-10-24,-0.004386178646673629,52.76923076923077
103.2,2023-10-01,전국,2023-11-20,-0.37761010712726417,48.61538461538461
97.1,2023-11-01,전국,2023-12-26,-0.7992149152257103,43.92307692307692
95.3,2023-12-01,전국,2024-01-15,-0.9236228913859071,42.53846153846153
98.1,2024-01-01,전국,2024-02-16,-0.7300993729144898,44.69230769230769
101.7,2024-02-01,전국,2024-03-19,-0.48128342059409507,47.46153846153847
118.0,2014-03-01,수도권,2014-06-11,0.6452999190788002,60.0
115.9,2014-04-01,수도권,2014-06-11,0.5001572802252374,58.38461538461539
113.9,2014-05-01,수도권,2014-06-11,0.36192619560279626,56.846153846153854
108.3,2014-06-01,수도권,2014-07-14,-0.02512084134003961,52.53846153846153
116.1,2014-07-01,수도권,2014-08-14,0.5139803886874807,58.538461538461526
125.6,2014-08-01,수도권,2014-09-16,1.1705780406440762,65.84615384615384
127.8,2014-09-01,수도권,2014-10-16,1.3226322337287617,67.53846153846153
128.9,2014-10-01,수도권,2014-11-24,1.398659330271105,68.38461538461539
122.3,2014-11-01,수도권,2014-12-18,0.9424967510170486,63.30769230769231
112.8,2014-12-01,수도권,2015-01-09,0.285899099060453,55.99999999999999
