년월,평수 범위,전용면적,거래금액,데이터 건수,평당 거래금액
201512,20평 미만,5067.108,6370750,109,4149.008665297838
201512,20~30평,7352.0185,7921650,87,3555.6827012880876
201512,30~40평,3920.4565000000002,4395200,34,3699.6099816437186
201512,40~50평,5207.9972,5781200,35,3663.2047344418697
201512,50평 이상,2840.364,3241000,15,3765.46808789296
201601,20평 미만,4941.6396,6438711,106,4299.736124018432
201601,20~30평,6779.7716,7598350,81,3698.43653730164
201601,30~40평,4919.4072,5469900,43,3669.277469041392
201601,40~50평,4191.9012999999995,4273000,28,3363.843514159076
201601,50평 이상,3191.8478999999998,3193900,17,3302.1216330515
201602,20평 미만,5201.3874,7497300,120,4756.632816851904
201602,20~30평,5964.7625,6328610,72,3501.2983333368256
201602,30~40평,3172.099,3058900,28,3182.236746078858
201602,40~50평,4062.4236,4704500,27,3821.573407558975
201602,50평 이상,4386.4529,5211250,21,3920.508299541983
201603,20평 미만,13666.3537,19808380,297,4783.108606357817
201603,20~30평,14196.4039,16033250,171,3726.980816599618
201603,30~40평,8719.4072,9490500,75,3591.8324814558496
201603,40~50평,6061.9566,6538550,41,3559.4472913250474
201603,50평 이상,4263.4342,5370500,22,4156.895396673414
201604,20평 미만,14717.656,21012970,308,4711.538372686519
201604,20~30평,24988.5949,28710950,303,3791.575131741401
201604,30~40평,17039.7107,19815250,147,3837.525539679497
201604,40~50평,11277.5665,13202419,76,3863.2432537640098
201604,50평 이상,5950.7303999999995,6742934,29,3739.319495973133
201605,20평 미만,11781.1593,16920850,244,4739.66980482133
201605,20~30평,23675.3794,28462150,281,3967.205484360685
201605,30~40평,19580.6682,22235400,171,3747.4114392071665
201605,40~50평,8598.4434,10317400,58,3959.719034726681
201605,50평 이상,5573.7119999999995,8050000,28,4766.123545672974
201606,20평 미만,11537.981,17728640,237,5070.602213680192
201606,20~30평,27556.7502,33176510,326,3972.982380193728
201606,30~40평,13815.671699999999,15745800,121,3761.028861159172
201606,40~50평,13464.8315,15377050,92,3768.6520622259545
201606,50평 이상,6290.1645,7378600,34,3871.024358742923
201607,20평 미만,9605.8101,14372150,200,4937.438332244356
201607,20~30평,16781.2924,19083490,199,3752.7215126768187
201607,30~40평,13456.5188,15590125,118,3823.2334279501765
201607,40~50평,9334.8092,10444350,63,3692.239901379023
201607,50평 이상,3129.0845,4437000,16,4679.355894671428
201608,20평 미만,11146.1512,16998900,224,5032.801815930866
201608,20~30평,19632.1523,24815814,235,4171.330017646613
201608,30~40평,13432.7478,15781500,118,3877.01390477978
201608,40~50평,7915.4248,8995950,54,3750.4790646232905
201608,50평 이상,4426.995,5797400,22,4321.536392067305
201609,20평 미만,11159.6584,16887380,225,4993.732962292107
201609,20~30평,21791.1085,27093880,260,4103.040650731467
201609,30~40평,14558.2666,17044700,126,3863.6131309753587
201609,40~50평,9573.2721,11246600,65,3876.8124014776513
201609,50평 이상,4562.4149,6169500,24,4462.406520722173
201610,20평 미만,10561.3116,15227006,262,4757.848428598584
201610,20~30평,19972.8332,24833600,237,4103.117428527867
201610,30~40평,13157.9842,15037350,114,3771.341737893255
201610,40~50평,11130.0537,13975200,74,4143.570304606886
201610,50평 이상,6151.2173999999995,8105200,31,4348.27096177742
201611,20평 미만,3067.4412,4136100,64,4449.6794266178595
201611,20~30평,6490.0213,7383250,77,3754.182594131085
201611,30~40평,6356.9442,7181500,55,3728.0412182947903
201611,40~50평,4700.5989,5637600,32,3957.810567500239
201611,50평 이상,2781.4083,3138761,14,3723.9808696910836
201612,20평 미만,3111.1178,4643100,67,4924.991911267391
201612,20~30평,8526.7355,11578017,103,4480.90082071855
201612,30~40평,3939.5581,4472650,34,3746.5483755652695
201612,40~50평,5559.6442,6617323,38,3927.799174630635
201612,50평 이상,3058.2169,3804500,16,4105.2843570382465
201701,20평 미만,3776.3573,5956500,78,5205.135117908466
201701,20~30평,6759.4784,8581450,82,4189.492638958651
201701,30~40평,2705.1,3182800,24,3882.7547964955083
201701,40~50평,2471.27,2865500,17,3826.4333723146397
201701,50평 이상,2589.2425,3901300,13,4972.222570887045
201702,20평 미만,6338.4916,11000420,135,5727.133250440846
201702,20~30평,9869.9923,12649350,119,4229.269256876725
201702,30~40평,7252.1907,8484350,63,3860.675505954359
201702,40~50평,3894.326,4805500,26,4072.1167154470377
201702,50평 이상,4712.7608,6103400,23,4273.76241968402
201703,20평 미만,9681.6606,15383315,205,5243.412426583101
201703,20~30평,12160.812600000001,15905100,147,4316.062727584503
201703,30~40평,11973.7822,14711550,103,4054.5346649114763
201703,40~50평,9133.2939,11563700,61,4178.1432216913545
201703,50평 이상,6387.508,7956100,33,4110.387024172807
201704,20평 미만,10304.372,17438357,210,5584.675912321488
201704,20~30평,16578.8564,22099000,201,4398.777469355485
201704,30~40평,10957.7577,13557400,96,4082.8991865735443
201704,40~50평,11177.3163,13886300,74,4099.80256172942
201704,50평 이상,4946.3831,5760850,26,3843.3749702888963
201705,20평 미만,21027.2138,35529100,431,5575.918479508682
201705,20~30평,34725.2515,46972800,414,4463.905466602596
201705,30~40평,24906.335,32032400,216,4244.178037435054
201705,40~50평,14041.9403,17895829,95,4205.703374198222
201705,50평 이상,6646.425,8576400,35,4258.247102765773
201706,20평 미만,9789.3353,15509350,205,5228.225761150504
201706,20~30평,22952.8729,32048050,273,4607.639551735591
201706,30~40평,16655.9532,20635550,144,4088.4669992948825
201706,40~50평,10265.2481,11806700,69,3795.53515126439
201706,50평 이상,4986.9094,6768500,27,4478.936392949108
201707,20평 미만,13570.3419,24404711,279,5934.6733408389655
201707,20~30평,30838.5962,43047200,368,4606.427577919387
201707,30~40평,26098.876,34656700,226,4382.070323641523
201707,40~50평,15404.8524,19105791,104,4092.8084646886973
201707,50평 이상,7447.1797,9270824,39,4108.094665689348
201708,20평 미만,2965.6609,4734150,63,5267.8628901908505
201708,20~30평,6528.5379,8845000,78,4470.909175544497
201708,30~40평,6016.1543,7264800,52,3984.911091791645
201708,40~50평,3755.4473,5188800,25,4559.520779322346
201708,50평 이상,3553.567,5450350,18,5061.4368604841275
201709,20평 미만,6476.1483,10664600,134,5434.27642013695
201709,20~30평,15480.8114,22856650,186,4872.286280808252
201709,30~40평,10497.874099999999,13538900,90,4255.9445440482095
201709,40~50평,7826.1123,10208500,53,4304.570227033414
201709,50평 이상,2310.6857,2634500,12,3762.4545822047544
201710,20평 미만,6196.9588,10204198,123,5433.932108762769
201710,20~30평,14443.5383,20994350,172,4796.702411901382
201710,30~40평,9730.3497,13246400,83,4492.451078094346
201710,40~50평,7453.4159,10587000,50,4687.394406637096
201710,50평 이상,3498.158,4889000,19,4612.055830525665
201711,20평 미만,9442.9245,16738840,193,5849.689044956359
201711,20~30평,21555.9199,33733900,256,5164.329359008241
201711,30~40평,19261.0488,27717438,166,4748.8351413138
201711,40~50평,16609.9738,22895000,111,4548.6826716126425
201711,50평 이상,5328.692,6620500,28,4100.002402090419
201712,20평 미만,8847.2523,16549466,176,6172.90385174163
201712,20~30평,19735.1683,30876211,237,5162.940328205866
201712,30~40평,17650.5482,25257150,154,4722.153332325394
201712,40~50평,13683.6806,18248200,91,4400.794037826343
201712,50평 이상,6647.8489,9265200,34,4599.256159387136
201801,20평 미만,9564.2839,18671300,203,6442.2272115950045
201801,20~30평,22628.3416,36170190,270,5274.872949593443
201801,30~40평,18692.775,26645300,163,4703.929191893659
201801,40~50평,17323.8898,24262800,116,4621.781881803473
201801,50평 이상,9417.2368,11735400,51,4112.333673079134
201802,20평 미만,5092.8499,9146450,108,5926.600153678198
201802,20~30평,8676.1389,13626100,104,5182.735145007879
201802,30~40평,7107.1847,10123700,62,4700.624988682227
