년월,평수 범위,전용면적,거래금액,데이터 건수,평당 거래금액
201512,20평 미만,3578.67,2024000,70,1866.391704180603
201512,20~30평,4145.1501,2063010,50,1642.3851575362735
201512,30~40평,2250.578,1013050,20,1485.4250774689879
201512,40~50평,555.84,219800,4,1304.9438687392053
201601,20평 미만,4425.25,2401070,87,1790.5273148409694
201601,20~30평,6896.5676,3362300,83,1608.8568464115394
201601,30~40평,2599.8343,1137500,23,1443.8420171624014
201601,40~50평,274.75,117500,2,1411.282984531392
201601,50평 이상,166.39,66000,1,1308.9728950057095
201602,20평 미만,4091.57,2363511,79,1906.257573498681
201602,20~30평,6841.7045,3385200,83,1632.8036383331084
201602,30~40평,1906.44,823100,17,1424.7655315666898
201602,40~50평,136.11,56000,1,1357.725369186687
201603,20평 미만,6727.54,3600866,129,1766.3005794094124
201603,20~30평,9901.7689,4928150,120,1642.4232037974548
201603,30~40평,4175.61,1929000,37,1524.4958221673
201603,40~50평,274.85,121500,2,1458.7957067491357
201603,50평 이상,170.11,72000,1,1396.7432837575684
201604,20평 미만,6665.05,3868822,138,1915.5314063660437
201604,20~30평,10518.6077,5251280,126,1647.4826796706184
201604,30~40평,4747.912,2133100,42,1482.594875389434
201604,40~50평,138.64,62000,1,1475.7645701096365
201604,50평 이상,170.11,65000,1,1260.9487978366938
201605,20평 미만,6691.535,3637731,128,1793.9848330764166
201605,20~30평,10329.570099999999,5246500,125,1676.1055719056499
201605,30~40평,4685.2823,2056400,42,1448.3908472281382
201605,40~50평,568.81,233000,4,1351.7694836588669
201605,50평 이상,170.09,70000,1,1358.10453289435
201606,20평 미만,9093.44,5263699,166,1910.1909398423475
201606,20~30평,12380.7179,6280310,148,1673.9758685560553
201606,30~40평,4717.097,2007200,42,1404.2026271666662
201606,40~50평,832.24,390250,6,1547.420215322503
201607,20평 미만,9666.195,6240240,202,2130.3927760613146
201607,20~30평,10161.139799999999,5263050,121,1709.263462746571
201607,30~40평,7175.8222,3192150,63,1467.9983291670744
201607,40~50평,553.1700000000001,219000,4,1306.4699821031506
201608,20평 미만,6692.865,3990050,132,1967.343581560363
201608,20~30평,10831.365099999999,5486800,130,1671.6674059856039
201608,30~40평,5900.749,2694600,52,1506.9578455209669
201609,20평 미만,5891.97,3506300,109,1963.8236447232416
201609,20~30평,10650.2032,5599270,128,1734.951967864801
201609,30~40평,4916.0289999999995,2208340,43,1482.400124165256
201609,40~50평,138.74,67200,1,1598.385469223007
201610,20평 미만,7601.3326,4393027,145,1907.164159610645
201610,20~30평,12359.4581,6487050,148,1732.0553075057555
201610,30~40평,6199.39,2879400,55,1532.7346722822729
201610,40~50평,416.02,189750,3,1505.156002115283
201610,50평 이상,340.22,142500,2,1382.1938745517605
201611,20평 미만,4701.745,2812565,94,1974.0467634888746
201611,20~30평,8016.3781,4255300,96,1751.725009078601
201611,30~40평,3426.4463,1555100,30,1497.712075627743
201611,40~50평,138.64,60000,1,1428.1592613964224
201612,20평 미만,4746.73,2753275,93,1914.119298970028
201612,20~30평,4071.2566,2089270,50,1693.4798460013549
201612,30~40평,2727.6723,1245550,24,1506.8947248538614
201612,40~50평,138.64,62000,1,1475.7645701096365
201612,50평 이상,166.39,68000,1,1348.6387403089127
201701,20평 미만,3441.21,2321450,84,2226.189334565458
201701,20~30평,4456.5109,2272528,53,1682.7833631013893
201701,30~40평,2965.44,1375500,26,1530.6834736160567
201701,40~50평,138.74,67000,1,1593.628369612224
201701,50평 이상,340.22,142500,2,1382.1938745517605
201702,20평 미만,4259.775,2585300,88,2002.8029649453315
201702,20~30평,6415.6332999999995,3303400,78,1699.1650691756338
201702,30~40평,3528.703,1574900,31,1472.8272682625882
201702,40~50평,138.64,60000,1,1428.1592613964224
201703,20평 미만,6350.145,3593390,120,1867.3883824700063
201703,20~30평,11747.5958,6150130,141,1727.6240471263066
201703,30~40평,5332.8846,2425060,47,1500.632134436211
201703,40~50평,281.52,143200,2,1678.6018755328219
201704,20평 미만,6711.39,3717414,125,1827.8577463088866
201704,20~30평,11017.9141,5796450,132,1736.107653988698
201704,30~40평,2827.2363,1272400,25,1485.1676883180933
201704,40~50평,297.81,110150,2,1220.560088647124
201704,50평 이상,669.28,278500,4,1373.1920870188858
201705,20평 미만,8779.695,5215700,164,1960.410925436476
201705,20~30평,14807.0204,7937200,177,1768.9419810619022
201705,30~40평,6748.77,3179550,60,1554.7299730173052
201705,40~50평,409.74,191500,3,1542.3195196954166
201705,50평 이상,332.78,146500,2,1452.7615842298214
201706,20평 미만,9167.365,5413940,170,1948.869931545215
201706,20~30평,16003.49,8530640,191,1759.0608048619392
201706,30~40평,7852.5716,3681900,70,1547.298212473478
201706,40~50평,542.9300000000001,261400,4,1588.823605252979
201706,50평 이상,170.11,73000,1,1416.1424960319791
201707,20평 미만,9453.77,6030390,194,2105.010699435252
201707,20~30평,13184.3531,7193400,158,1800.4842421885683
201707,30~40평,9834.2029,4695440,87,1575.6184977635553
201707,40~50평,419.85,200000,3,1571.9899964272954
201708,20평 미만,4185.995,2674150,87,2108.1475252598243
201708,20~30평,6011.8048,3234065,72,1775.2430185357982
201708,30~40평,3746.55,1721750,33,1516.5352123954037
201708,40~50평,671.83,302700,5,1486.849351770537
201708,50평 이상,170.11,82500,1,1600.4350126388806
201709,20평 미만,5872.185,3776939,112,2122.53168113743
201709,20~30평,8802.1205,4958800,105,1859.102019791708
201709,30~40평,3520.087,1735150,31,1626.662920547134
201709,40~50평,136.11,60000,1,1454.705752700022
201710,20평 미만,5029.355,3167900,94,2078.610477884341
201710,20~30평,6285.8164,3588330,76,1883.8426461199215
201710,30~40평,3650.273,1795700,32,1623.3881685013694
201710,40~50평,274.85,119700,2,1437.1839185010003
201711,20평 미만,4102.36,2632370,83,2117.5179652687725
201711,20~30평,7827.5652,4440950,94,1872.2469408494994
201711,30~40평,3846.25,1856490,34,1592.8285992850178
201711,40~50평,688.34,329100,5,1577.7522735857278
201712,20평 미만,5688.44,3707405,112,2150.7542489680827
201712,20~30평,6606.488,3871250,79,1933.7240906212196
201712,30~40평,4355.7876,2094100,39,1586.5167530207395
201712,40~50평,268.8,120000,2,1473.2142857142856
201801,20평 미만,8257.615,5643500,160,2255.3182728911434
201801,20~30평,11706.9938,6969450,140,1964.5679662015366
201801,30~40평,6803.273,3332350,60,1616.3918455131816
201801,40~50평,684.49,331600,5,1598.6793086823766
201802,20평 미만,8523.845,5810220,157,2249.422179779196
201802,20~30평,11055.557999999999,6496600,131,1939.1857018885885
201802,30~40평,7372.631,3661050,65,1638.691126681913
201802,40~50평,288.27,140000,2,1602.6641690082213
201802,50평 이상,166.39,80000,1,1586.6338121281326
201803,20평 미만,9069.63,6421030,171,2336.302473199017
201803,20~30평,12612.8929,7509700,152,1964.8157006074314
201803,30~40평,6661.725,3295250,59,1632.3587359129951
201803,40~50평,819.28,403000,6,1623.2545649838883
201803,50평 이상,332.78,148500,2,1472.5945068814233
201804,20평 미만,4206.225,2843520,78,2230.8877913093093
201804,20~30평,6243.6161,3666300,75,1937.785700821676
201804,30~40평,2611.575,1320250,23,1668.2748915884094
201804,40~50평,413.39,199000,3,1588.572534410605
201805,20평 미만,4673.4800000000005,3226075,85,2277.970056574544
201805,20~30평,6939.841,4211500,83,2002.632336965645
201805,30~40평,3817.61,1970150,34,1703.0275486495477
201805,40~50평,416.12,213500,3,1693.1414015187927
201805,50평 이상,170.11,83500,1,1619.834224913291
201806,20평 미만,7174.76,5317750,130,2445.8762383689486
201806,20~30평,10425.0308,6502100,125,2058.2126241775704
201806,30~40평,7385.347,3943400,66,1762.032305320251
201806,40~50평,277.38,146500,2,1742.9158555050833
201806,50평 이상,332.78,156400,2,1550.9345513552498
201807,20평 미만,4833.49,3496470,88,2387.1676573242107
201807,20~30평,8703.5837,5406100,104,2049.745325020543
201807,30~40평,5927.2033,3163150,52,1761.0995391367796
201807,40~50평,561.0,279000,4,1641.1764705882351
201807,50평 이상,166.39,80000,1,1586.6338121281326
201808,20평 미만,6772.57,4928420,125,2401.4201403603065
201808,20~30평,12527.4651,7719841,151,2033.569848061281
201808,30~40평,8541.9823,4655700,75,1798.6234881334276
201808,40~50평,552.13,294700,4,1761.3786608226324
201808,50평 이상,183.4,83000,1,1493.4569247546347
201809,20평 미만,3329.5,2529170,67,2506.7610752365217
201809,20~30평,6788.3158,4442250,83,2159.50840118546
201809,30~40평,3295.0343,1896400,29,1899.2579227475721
201809,40~50평,142.47,69800,1,1616.76142345757
201809,50평 이상,166.39,83000,1,1646.1325800829377
201810,20평 미만,3094.9,2383550,62,2541.5086109405797
201810,20~30평,4771.4918,3217800,58,2225.4549405282432
