년월,평수 범위,전용면적,거래금액,데이터 건수,평당 거래금액
201512,20평 미만,1627.02,1277000,31,2590.0726481542943
201512,20~30평,5156.86,3467245,62,2218.7743122752995
201512,30~40평,1092.66,831000,9,2509.746856295645
201512,40~50평,1387.2916,1023300,9,2434.160201070921
201512,50평 이상,1157.08,738000,6,2104.781000449407
201601,20평 미만,1484.6,1124710,30,2500.0289640307155
201601,20~30평,4942.37,3465590,59,2313.9601041605542
201601,30~40평,242.1,177000,2,2412.6394052044607
201601,40~50평,875.0363,530000,6,1998.7742222808356
201601,50평 이상,186.65,71500,1,1264.1307259576747
201602,20평 미만,2265.44,1527520,41,2225.0935800550888
201602,20~30평,3920.6169999999997,2601400,47,2189.60944157514
201602,30~40평,1003.4300000000001,697950,8,2295.3619086533186
201602,40~50평,726.0740000000001,533000,5,2422.480353242231
201602,50평 이상,566.83,327000,3,1903.7453910343486
201603,20평 미만,3988.33,2689580,124,2225.3960931016236
201603,20~30평,6610.807,4692300,79,2342.314637229615
201603,30~40평,1559.1399999999999,977300,13,2068.505714688867
201603,40~50평,1520.4,1081000,10,2346.29044988161
201604,20평 미만,3040.18,2130770,53,2312.869961647008
201604,20~30평,10140.039999999999,7416500,122,2413.644324874458
201604,30~40평,1789.55,1077000,15,1986.030007543796
201604,40~50평,1939.9279,1366600,13,2324.715263902334
201604,50평 이상,1111.22,719500,6,2136.7056028509205
201605,20평 미만,3785.9,2798680,68,2439.4844026519454
201605,20~30평,8741.27,6247000,105,2358.364402426649
201605,30~40평,2088.92,1455600,18,2299.5040499396814
201605,40~50평,1175.76,828800,8,2326.189018166973
201606,20평 미만,4957.89,3645050,88,2426.166171496342
201606,20~30평,10526.49,7405550,127,2321.6015024951334
201606,30~40평,2222.02,1549500,19,2301.2169107388772
201606,40~50평,2506.046,1640300,17,2159.9723229342158
201606,50평 이상,2312.26,1383500,12,1974.4968126421768
201607,20평 미만,3362.27,2546000,58,2498.847504810738
201607,20~30평,9834.48,7060772,118,2369.2709324743146
201607,30~40평,2269.7799999999997,1716800,19,2496.0304522905303
201607,40~50평,2094.87,1382600,14,2177.9776310701855
201607,50평 이상,577.55,323500,3,1848.411392952991
201608,20평 미만,3354.5,2501550,62,2460.9077358771797
201608,20~30평,11819.78,7991400,141,2231.1430500398483
201608,30~40평,2311.1,1617050,20,2308.9719181342216
201608,40~50평,2492.9363,1832900,17,2426.2834152641603
201608,50평 이상,517.69,430000,3,2741.0226197145003
201609,20평 미만,2944.48,2180030,53,2443.2494022713686
