url,http://datalab.naver.com/keyword/trendResult.naver?hashKey=N_5a84cb395e770a1d49ce9dcbb6ad2420
주제,통검
범위,합계
기간,일간 : 2016-05-18 ~ 2024-05-18
성별,"전체(여성,남성)"
연령대,전체
날짜,부동산
2016-05-18,21.05604
2016-05-19,20.38244
2016-05-20,19.08452
2016-05-21,17.87739
2016-05-22,18.5013
2016-05-23,21.9902
2016-05-24,21.62283
2016-05-25,21.01957
2016-05-26,21.7515
2016-05-27,20.2207
2016-05-28,18.21751
2016-05-29,19.23884
2016-05-30,23.63083
2016-05-31,22.22509
2016-06-01,21.33743
2016-06-02,21.44345
2016-06-03,18.74441
2016-06-04,17.85334
2016-06-05,18.00065
2016-06-06,22.78606
2016-06-07,24.63754
2016-06-08,23.17167
2016-06-09,28.52447
2016-06-10,25.05862
2016-06-11,23.50777
2016-06-12,25.03677
2016-06-13,29.29147
2016-06-14,27.42878
2016-06-15,24.69185
2016-06-16,24.63072
2016-06-17,22.8506
2016-06-18,22.06115
2016-06-19,23.31697
2016-06-20,28.00959
2016-06-21,26.04789
2016-06-22,25.27106
2016-06-23,24.54615
2016-06-24,22.63835
2016-06-25,21.73206
2016-06-26,22.56179
2016-06-27,26.41165
2016-06-28,25.69755
2016-06-29,23.87474
2016-06-30,23.52301
2016-07-01,22.32991
2016-07-02,22.38943
2016-07-03,23.84929
2016-07-04,26.8668
2016-07-05,23.57371
2016-07-06,22.17058
2016-07-07,21.91183
2016-07-08,19.89041
2016-07-09,18.76806
2016-07-10,19.23283
2016-07-11,23.11776
2016-07-12,24.37318
2016-07-13,23.03779
2016-07-14,21.83788
2016-07-15,20.13772
2016-07-16,19.13763
2016-07-17,20.14073
2016-07-18,24.35414
2016-07-19,22.59767
2016-07-20,21.3683
2016-07-21,21.52182
2016-07-22,18.82979
2016-07-23,18.62676
2016-07-24,18.42674
2016-07-25,23.24923
2016-07-26,22.29724
2016-07-27,22.3748
2016-07-28,20.89771
2016-07-29,19.1226
2016-07-30,17.80364
2016-07-31,19.03421
2016-08-01,22.16196
2016-08-02,23.11896
2016-08-03,22.10103
2016-08-04,21.82626
2016-08-05,20.47463
2016-08-06,19.60781
2016-08-07,19.32883
2016-08-08,23.86793
2016-08-09,23.84287
2016-08-10,22.90211
2016-08-11,22.04151
2016-08-12,20.34636
2016-08-13,18.69651
2016-08-14,18.38125
2016-08-15,22.87084
2016-08-16,25.03577
2016-08-17,24.79186
2016-08-18,24.0
2016-08-19,22.11346
2016-08-20,21.02017
2016-08-21,21.04783
2016-08-22,26.40103
2016-08-23,26.72951
2016-08-24,25.75868
2016-08-25,26.45233
2016-08-26,23.9521
2016-08-27,21.98799
2016-08-28,23.14
2016-08-29,29.97711
2016-08-30,28.50262
2016-08-31,25.41136
2016-09-01,24.87844
2016-09-02,23.4258
2016-09-03,22.36719
2016-09-04,23.03037
2016-09-05,29.25159
2016-09-06,26.64333
2016-09-07,25.13277
2016-09-08,25.06042
2016-09-09,23.7601
2016-09-10,22.3251
2016-09-11,22.40567
2016-09-12,23.88095
2016-09-13,19.38575
2016-09-14,15.71607
2016-09-15,17.03764
2016-09-16,19.52604
2016-09-17,23.6663
2016-09-18,24.82032
2016-09-19,30.56353
2016-09-20,28.33166
2016-09-21,26.77681
2016-09-22,26.79505
2016-09-23,25.0967
2016-09-24,24.28901
2016-09-25,24.81531
2016-09-26,28.90486
2016-09-27,27.26904
2016-09-28,26.37317
2016-09-29,26.74054
2016-09-30,25.66048
2016-10-01,23.04982
2016-10-02,23.24342
2016-10-03,29.97871
2016-10-04,31.18624
2016-10-05,29.64421
2016-10-06,28.64031
2016-10-07,26.89025
2016-10-08,26.06111
2016-10-09,24.79627
2016-10-10,29.43898
2016-10-11,28.60023
2016-10-12,27.4901
2016-10-13,26.77581
2016-10-14,25.048
2016-10-15,25.71679
2016-10-16,27.71838
2016-10-17,33.55619
2016-10-18,31.90714
2016-10-19,28.78942
2016-10-20,27.7749
2016-10-21,25.34081
2016-10-22,24.30344
2016-10-23,26.56537
2016-10-24,29.17543
2016-10-25,25.28309
2016-10-26,23.84267
2016-10-27,23.1378
2016-10-28,22.07117
2016-10-29,19.81926
2016-10-30,19.71364
2016-10-31,23.31477
2016-11-01,23.21556
2016-11-02,23.15664
2016-11-03,27.71157
2016-11-04,22.89649
2016-11-05,21.26949
2016-11-06,21.42622
2016-11-07,26.69384
2016-11-08,24.16254
2016-11-09,23.91342
2016-11-10,23.60999
2016-11-11,21.54467
2016-11-12,19.29015
2016-11-13,21.82245
