년월,평수 범위,전용면적,거래금액,데이터 건수,평당 거래금액
201512,20평 미만,3117.4118,2055332,57,2175.713712253222
201512,20~30평,7664.2494,5191150,91,2235.1562567888254
201512,30~40평,3837.556,2075600,33,1784.8547356703068
201512,40~50평,1276.185,641200,9,1658.0354729134099
201601,20평 미만,3902.5216,2761370,71,2335.034096928509
201601,20~30평,7534.5396,4973050,90,2178.1111881076317
201601,30~40평,3783.2694,2153100,32,1878.0660980685118
201601,40~50평,1044.154,509500,7,1610.2509783039666
201602,20평 미만,4422.1469,3076580,79,2295.878954179473
201602,20~30평,13767.8866,9762210,164,2339.8865734411265
201602,30~40평,2899.454,1606650,25,1828.601178014895
201602,40~50평,307.26,134800,2,1447.7641085725445
201602,50평 이상,392.02,148300,2,1248.380184684455
201603,20평 미만,5912.43,4085931,109,2280.546628036188
201603,20~30평,14668.7507,9451416,174,2126.2664720315956
201603,30~40평,5817.1466,3144850,50,1784.0370397404115
201603,40~50평,1048.084,492500,7,1550.686777014056
201604,20평 미만,6403.4457,4413430,113,2274.4503010308963
201604,20~30평,14912.593,9976900,178,2207.7830461811704
201604,30~40평,7297.8248,4069400,62,1840.1400921545826
201604,40~50평,1763.405,900000,12,1684.2415667416162
201605,20평 미만,6939.7648,4991290,123,2373.4604089176046
201605,20~30평,19398.9515,12990680,231,2209.8742810919443
201605,30~40평,6653.8532000000005,3558900,57,1765.0479574752262
201605,40~50평,688.01,360800,5,1730.5562419150885
201605,50평 이상,1028.47,526500,5,1689.3540890837844
201606,20평 미만,8063.0494,6081000,142,2488.797848615438
201606,20~30평,28097.674899999998,19717600,335,2315.781652096772
201606,30~40평,10881.9867,6125300,93,1857.5183518649217
201606,40~50평,2913.264,1505600,20,1705.4685054289619
201606,50평 이상,391.12,146000,2,1231.8470034771935
201607,20평 미만,7358.1643,5556730,129,2492.090180699009
201607,20~30평,26757.0004,18731475,319,2310.1942136981843
201607,30~40평,10718.6151,6309750,92,1942.6180346750205
201607,40~50평,3439.364,1864950,24,1789.3816996398168
201608,20평 미만,5295.6413,4079180,91,2541.9572885346292
201608,20~30평,22359.3434,15850200,265,2339.320035667952
201608,30~40평,7825.0333,4643450,67,1958.2517303792174
201608,40~50평,2350.177,1199850,16,1684.7688493249657
201608,50평 이상,219.51,79500,1,1195.161951619516
201609,20평 미만,6839.9865,5301090,120,2557.5484688456622
201609,20~30평,22534.4944,15878150,268,2325.2305585342974
201609,30~40평,11190.7171,6289550,96,1854.7082206197492
201609,40~50평,3628.684,1916900,24,1743.2683584462025
201610,20평 미만,7317.4407,5584850,131,2518.6408411891875
201610,20~30평,23853.286799999998,17054657,283,2359.438704271145
201610,30~40평,10982.8617,6566850,94,1973.1291890892153
201610,40~50평,2647.4900000000002,1391100,18,1733.9555579057899
201610,50평 이상,438.12,155500,2,1171.2544508353876
201611,20평 미만,3641.9735,2839430,65,2572.813613278625
201611,20~30평,9733.4854,7065350,116,2395.4065827231834
201611,30~40평,5405.8069,3177731,46,1939.860689437501
201611,40~50평,1352.662,728600,9,1777.5172215971172
201612,20평 미만,1920.5739,1438350,36,2471.425338020057
201612,20~30평,6362.6068,4457650,76,2311.983981156906
201612,30~40평,3961.4028,2369350,34,1973.7591441092534
201612,40~50평,608.442,303100,4,1643.9200449673099
201701,20평 미만,1841.7968,1464890,34,2624.6853073042585
201701,20~30평,6591.9241999999995,4624300,78,2314.9826267723165
201701,30~40평,2066.7846,1211900,18,1935.0202241684983
201701,40~50평,1229.223,608000,8,1632.2506168530854
201701,50평 이상,172.51,62300,1,1191.7569995942265
201702,20평 미만,3658.3156,2747640,69,2478.520989277142
201702,20~30평,8192.9199,5812350,98,2341.137864657995
201702,30~40평,5863.4104,3563200,50,2005.4130954231007
201702,40~50평,1836.2614,954950,12,1716.1690595903174
201703,20평 미만,5253.0144,4286530,96,2692.844131552352
201703,20~30평,13750.4273,9750300,164,2339.9992813314248
201703,30~40평,6329.0681,3961750,54,2065.6714058741127
201703,40~50평,2540.0174,1400650,18,1819.729660119651
201703,50평 이상,219.51,78000,1,1172.6117261172612
201704,20평 미만,6602.9475,5248150,122,2622.903635081151
201704,20~30평,15907.6777,11537700,189,2393.461240417261
201704,30~40평,6901.8635,4119150,59,1969.496354136821
201704,40~50평,2286.986,1357000,16,1958.0793236163229
201704,50평 이상,219.51,68000,1,1022.2768894355611
201705,20평 미만,7257.7076,5860650,134,2664.7732405201887
201705,20~30평,24877.6431,18134211,298,2405.488978978077
201705,30~40평,12086.9124,7280300,104,1987.686284546912
201705,40~50평,2278.656,1223200,16,1771.4652847994607
201706,20평 미만,4591.8396,3793770,85,2726.4543386924925
201706,20~30평,25166.4565,18521920,299,2428.7223749597006
201706,30~40평,11601.1632,7546250,100,2146.562768809252
201706,40~50평,2618.9704,1395800,18,1758.759854636005
201706,50평 이상,392.02,148800,2,1252.5891536146116
201707,20평 미만,6875.9908,5783400,120,2775.631986011383
201707,20~30평,25159.2865,19497820,299,2557.41775507028
201707,30~40평,15104.9589,9828990,130,2147.3522182175548
201707,40~50평,3304.552,1871650,23,1869.071813667934
201707,50평 이상,439.02,151000,2,1135.0280169468363
201708,20평 미만,2960.3139,2553050,54,2846.0039322181337
201708,20~30평,7510.0312,5690050,89,2500.277894983978
201708,30~40평,4447.6949,2885190,38,2140.687977495938
201708,40~50평,745.6600000000001,409800,5,1813.614784218008
201708,50평 이상,439.02,157000,2,1180.128467951346
201709,20평 미만,3292.1258,2826700,58,2833.4609813513202
201709,20~30평,12165.621799999999,9629370,145,2612.0260453929286
201709,30~40평,6441.3032,4093190,55,2097.017727716963
201709,40~50평,1026.5810000000001,594200,7,1910.0879521440586
201709,50평 이상,391.12,157500,2,1328.8760482716302
201710,20평 미만,4119.8261,3531500,73,2828.748038661146
201710,20~30평,12334.9045,9716450,147,2599.4757397594763
201710,30~40평,4776.8383,3106050,41,2145.7634435731266
201710,40~50평,1121.281,708250,8,2084.4239757919736
201711,20평 미만,3889.4091,3468500,75,2942.876335636691
201711,20~30평,12947.6417,10352400,155,2638.543820686666
201711,30~40평,7749.0502,5154700,66,2195.1735452688126
201711,40~50평,2347.66,1279600,16,1798.6761285705768
201712,20평 미만,6048.6372,5304800,114,2894.1792045322204
201712,20~30평,13870.2646,11451340,166,2724.4917879937198
201712,30~40평,9587.2227,6537470,82,2250.250325362735
201712,40~50평,1607.959,973800,11,1998.521106570503
201801,20평 미만,7595.1314,6981250,142,3033.275369008099
201801,20~30평,21953.1862,18389650,262,2764.3297172052407
201801,30~40평,13886.805,9299700,119,2209.940299442528
201801,40~50평,2659.98,1673750,18,2076.472379491575
201802,20평 미만,5532.2325,5244650,107,3128.4558268294036
201802,20~30평,11889.451,9945585,143,2760.4664420585946
201802,30~40평,8378.424,6065390,72,2388.9680207160677
201802,40~50평,1500.894,867700,10,1907.8029494421323
201802,50평 이상,219.51,87000,1,1307.9130791307914
201803,20평 미만,4266.7719,4050980,83,3133.1025687124265
201803,20~30평,11104.607899999999,9386400,132,2789.3934012744385
201803,30~40평,7239.4089,5266350,62,2400.6041432471093
201803,40~50평,2286.1800000000003,1392900,16,2010.5897173450908
201803,50평 이상,831.04,317300,4,1259.975452445129
201804,20평 미만,2444.2245,2336820,46,3154.9908774746345
201804,20~30평,6118.4472,4995350,73,2694.254679520647
201804,30~40평,2380.1779,1592600,20,2208.0618427723402
201804,40~50평,1218.044,682400,8,1848.8002075458685
201804,50평 이상,172.51,72700,1,1390.701988290534
201805,20평 미만,3735.7045000000003,3398300,67,3001.9478253700204
201805,20~30평,5572.4030999999995,4748280,67,2811.9509157548205
201805,30~40평,3640.8509,2559900,31,2320.246072147585
201805,40~50평,888.432,525300,6,1951.1791560862282
201805,50평 이상,219.51,80800,1,1214.7054803881372
201806,20평 미만,3086.0957,3175500,58,3395.60111502699
201806,20~30평,7998.7918,7016000,97,2894.537147472697
201806,30~40평,3738.349,2829300,32,2497.543701778512
201806,40~50평,1527.252,888700,10,1920.2528462886282
201807,20평 미만,4422.1376,4556950,81,3400.603138174624
201807,20~30평,10529.3591,9667820,125,3029.985557240611
201807,30~40평,5150.5265,3746000,44,2400.10414469278
201807,40~50평,2024.535,1428600,14,2328.6236098659692
201807,50평 이상,219.51,86000,1,1292.8795954626212
201808,20평 미만,8263.327299999999,8482850,172,3387.6674593296093
201808,20~30평,19351.428799999998,19413000,232,3310.4997394300935
201808,30~40평,10836.911,8956650,92,2727.43266046939
201808,40~50평,2890.476,1987900,20,2269.546607548376
201809,20평 미만,1691.6368,1947800,32,3799.7163457309507
201809,20~30평,6429.0607,6577900,77,3376.3983594057527
201809,30~40평,3377.9898,2861200,29,2795.14165495704
201809,40~50평,1076.51,638500,7,1957.2971918514456
201809,50평 이상,611.53,248800,3,1342.5997089267903
201810,20평 미만,1346.6384,1426700,26,3496.1946726010488
201810,20~30평,2662.5369,2485200,32,3080.2051982828852
201810,30~40평,1381.385,1238800,12,2959.3777259779135
201810,40~50평,630.7,369000,4,1930.711907404471
201811,20평 미만,561.049,557700,14,3280.3017205270844
201811,20~30평,1887.3695,1894450,23,3312.3800082601733
201811,30~40평,454.5548,354500,4,2573.6170864327028
201811,40~50평,306.56,176800,2,1903.1837160751566
201811,50평 이상,218.61,65000,1,981.1993961849868
201812,20평 미만,624.8725,681600,14,3599.582314792218
201812,20~30평,745.648,666320,9,2948.9195974508075
201812,30~40평,838.51,719300,7,2830.8428044984557
201812,40~50평,294.78,169700,2,1899.7557500508856
201812,50평 이상,218.61,86700,1,1308.7690407575133
201901,20평 미만,781.6196,785850,16,3317.8607598888257
201901,20~30평,1176.097,1095100,14,3072.731245807106
201901,30~40평,1401.834,1077300,12,2536.0278035773135
201901,40~50평,603.07,359600,4,1967.7317724310608
201902,20평 미만,289.4741,300650,6,3427.40507699998
201902,20~30평,1598.7078,1420300,19,2931.736493685713
201902,30~40평,705.349,489800,6,2291.5464543084345
201902,40~50평,149.74,77200,1,1701.349004941899
201903,20평 미만,867.972,858450,15,3263.7976801094965
