년월,평수 범위,전용면적,거래금액,데이터 건수,평당 거래금액
201512,20평 미만,2896.052,1634590,52,1862.5863762114766
201512,20~30평,5951.4912,2967900,71,1645.6497490914544
201512,30~40평,2420.983,1063600,21,1449.7747402604643
201512,40~50평,456.438,260310,3,1882.014643828954
201512,50평 이상,350.156,180630,2,1702.324106969465
201601,20평 미만,4229.2416,2315410,79,1806.6721466089805
201601,20~30평,5149.8512,2416900,62,1548.737951884901
201601,30~40평,3120.821,1510008,27,1596.7036879077652
201601,40~50평,1790.3639999999998,984650,12,1814.9074713298526
201601,50평 이상,525.234,279500,3,1756.0744353945095
201602,20평 미만,5207.8224,2954300,98,1872.028124461387
201602,20~30평,8891.2129,4918635,106,1825.5659472511336
201602,30~40평,2919.267,1501504,25,1697.3312821334944
201602,40~50평,1065.022,618890,7,1917.6477105637255
201602,50평 이상,1071.792,567690,6,1747.8923149267769
201603,20평 미만,7928.8516,4592768,142,1911.5169717642339
201603,20~30평,16227.4514,8993085,194,1828.8257205934383
201603,30~40평,5020.5461000000005,2565453,43,1686.2697267135939
201603,40~50평,3148.9399999999996,1675220,21,1755.5831486150898
201603,50평 이상,2157.648,1125320,12,1721.1129896998953
201604,20평 미만,6745.201,4104316,116,2007.982089785019
201604,20~30평,16899.8889,8734735,202,1705.6103546337513
201604,30~40평,6423.464,3071350,55,1577.879941414788
201604,40~50평,730.12,295900,5,1337.4102887196625
201604,50평 이상,752.106,337235,4,1479.679061196161
201605,20평 미만,6492.35,3584640,112,1822.038553066301
201605,20~30평,10218.3335,5400970,122,1744.2375510644663
201605,30~40평,5759.7210000000005,2741450,50,1570.6984765407906
201605,40~50평,1019.54,400500,7,1296.319908978559
201606,20평 미만,6310.505,3774000,110,1973.5662993690678
201606,20~30평,13452.578,7299755,160,1790.674731638798
201606,30~40평,5985.969,2897250,52,1597.2226050619372
201606,40~50평,439.21,177500,3,1333.6444980760912
201606,50평 이상,433.54,248000,2,1887.715089726438
201607,20평 미만,5864.9836,3425250,102,1927.256028473805
201607,20~30평,16408.3517,9187624,196,1847.7882333543596
201607,30~40평,5380.01,2711060,48,1662.9147529465558
201607,40~50평,1772.31,749900,12,1396.2963589891158
201608,20평 미만,5304.046,3145450,92,1956.9937741867243
201608,20~30평,11415.1893,6469050,137,1870.1279881534683
201608,30~40평,8060.6216,4087684,71,1673.4884565230054
201608,40~50평,889.3,417800,6,1550.3654559766107
201608,50평 이상,577.028,271000,3,1549.8381361043137
201609,20평 미만,5272.7922,3407550,94,2132.630032338464
201609,20~30평,13081.1363,7556380,155,1906.260544047691
201609,30~40평,6260.4198,3266727,55,1721.9610576274772
201609,40~50평,873.52,290200,6,1096.3229233446286
201609,50평 이상,175.078,101000,1,1903.7229120734758
201610,20평 미만,5740.0255,3921500,101,2254.510890239076
201610,20~30평,13799.9236,7953150,165,1901.8507464780457
201610,30~40평,6082.478,3157350,52,1712.995098379312
201610,40~50평,1339.64,615500,9,1516.1909169627659
201610,50평 이상,468.75,225000,2,1584.0
201611,20평 미만,4053.6279,2552604,72,2078.038095208492
201611,20~30평,7480.8806,4321261,90,1906.2142630641638
201611,30~40평,3308.5516000000002,1699150,29,1694.7582138359273
201611,40~50평,884.9200000000001,438500,6,1635.2325633955609
201612,20평 미만,2987.567,1739200,52,1921.0816025213828
201612,20~30평,5820.5432,3302500,69,1872.3767912245714
201612,30~40평,1517.113,813500,13,1769.5122248639357
201612,40~50평,425.28,197000,3,1528.6399548532731
201612,50평 이상,393.178,203000,2,1703.8084531687937
201701,20평 미만,2792.3947,1751650,52,2070.0673153404855
201701,20~30평,3935.294,2265140,47,1899.4672316731608
201701,30~40평,1255.132,672750,11,1768.7980228374383
201701,40~50평,768.6600000000001,362700,5,1557.1383966903438
201701,50평 이상,200.27,67000,1,1104.0095870574723
201702,20평 미만,4295.1422,2667020,77,2049.0976992566157
201702,20~30평,5986.5604,3447443,72,1900.350307999899
201702,30~40평,2761.701,1413500,24,1689.0134015231918
201702,40~50평,283.49,112000,2,1303.7496913471373
201703,20평 미만,4684.621,3033550,83,2136.931674942327
201703,20~30평,7206.4136,3973350,86,1819.4979816312514
201703,30~40평,3191.161,1530500,28,1582.6998387107387
201703,40~50평,737.076,368500,5,1649.8298682903796
201703,50평 이상,771.298,437000,4,1869.7053538321115
201704,20평 미만,4127.9954,2863412,77,2289.0673763832197
201704,20~30평,8355.187,5011800,100,1979.4817279373879
201704,30~40평,3320.51,1748500,29,1737.6999316370072
201704,40~50평,921.626,473000,6,1693.6371152723555
201705,20평 미만,6944.7836,4710980,125,2238.548368879341
201705,20~30평,12295.4719,7760990,147,2082.983655145436
201705,30~40평,2053.515,1036600,18,1665.8169041862368
201705,40~50평,584.5,253500,4,1431.2232677502136
201705,50평 이상,174.39,48000,1,908.3089626698778
201706,20평 미만,7841.6335,5401200,144,2272.990697665225
201706,20~30평,15091.4639,9960680,180,2178.068623283126
201706,30~40평,6648.3097,3698550,58,1835.8373106475472
201706,40~50평,1488.46,644600,10,1429.1146554156644
201707,20평 미만,7455.9718,5501785,135,2435.0803606848403
201707,20~30평,14919.8533,9818250,177,2171.6182021709283
201707,30~40평,7937.549,4190100,69,1742.0150729148252
201707,40~50평,1338.466,610800,9,1505.932911258112
201707,50평 이상,605.5799999999999,324500,3,1768.3047656791837
201708,20평 미만,4889.7008,3443890,91,2324.239757164692
201708,20~30평,8287.5543,5397700,99,2149.2963249724953
201708,30~40평,2854.6937,1522050,25,1759.4759816088151
201708,40~50평,142.98,51000,1,1177.0877045740665
201708,50평 이상,360.08799999999997,192200,2,1761.4027682122148
201709,20평 미만,5870.5083,4388710,103,2467.033902328355
201709,20~30평,9483.8724,6530900,113,2272.486289461254
201709,30~40평,3681.665,2234900,32,2003.2159362679654
201709,40~50평,148.12,99500,1,2216.7836889008913
201709,50평 이상,175.078,115000,1,2167.6052959252447
201710,20평 미만,5112.6699,3905900,90,2521.0839448093448
201710,20~30평,8161.5301,5499250,97,2223.5444552241497
201710,30~40평,3077.597,1939300,27,2079.443799821744
201710,40~50평,439.82,205300,3,1540.3801555181665
201710,50평 이상,244.72,140000,1,1887.8718535469106
201711,20평 미만,5749.0354,4370200,105,2508.535605816586
201711,20~30평,8709.2284,5908150,104,2238.6478003034113
201711,30~40평,3873.082,2258150,34,1924.0220062472213
201711,40~50평,723.216,334400,5,1525.8511979823454
201711,50평 이상,236.92,104000,1,1448.5902414317068
201712,20평 미만,6143.423,4784900,107,2570.256028276093
201712,20~30평,11453.7258,8030850,136,2313.8152128628744
201712,30~40평,2199.91,1374700,19,2062.134360042002
201712,40~50평,584.5699999999999,219900,4,1241.3740014027405
201801,20평 미만,9464.1425,7263024,167,2532.5040488348523
