년월,평수 범위,전용면적,거래금액,데이터 건수,평당 거래금액
201512,20평 미만,1854.3647,2017324,36,3589.9999606334177
201512,20~30평,8612.5836,8793700,103,3369.3966117205528
201512,30~40평,6526.4083,5926300,58,2996.562443082208
201512,40~50평,5105.7081,4773100,35,3085.023603288249
201512,50평 이상,5082.398,4953250,24,3216.1442295546312
201601,20평 미만,2619.3742,2684200,51,3381.6703241560517
201601,20~30평,7020.825,7033850,85,3306.1221437651557
201601,30~40평,2988.39,2596871,26,2867.6559284430746
201601,40~50평,3894.9471,3843300,27,3256.24191404294
201601,50평 이상,6012.557,5181500,29,2843.8732472723336
201602,20평 미만,2585.6313,2936450,54,3747.744312965271
201602,20~30평,8139.5811,7903879,99,3204.440176902961
201602,30~40평,4585.8038,4170918,40,3001.4431493994575
201602,40~50평,2297.849,2349250,16,3373.8182970247385
201602,50평 이상,3498.515,3150700,18,2971.920943600356
201603,20평 미만,4127.0439,4613050,79,3688.612326125244
201603,20~30평,11298.3916,11951950,138,3490.8893580923495
201603,30~40평,6669.0586,6959300,59,3443.6179643105847
201603,40~50평,7283.318,7737100,50,3505.604176557991
201603,50평 이상,5773.302,5734500,28,3277.8209073421067
201604,20평 미만,5710.0778,6704780,108,3874.863841610004
201604,20~30평,18556.4298,20285100,224,3607.4196772484756
201604,30~40평,13500.6002,14367750,120,3511.960527503066
201604,40~50평,7983.442,8296200,55,3429.2802528032394
201604,50평 이상,7425.249,6751200,38,3000.432712761552
201605,20평 미만,5641.3358,6784403,107,3968.6575473844337
201605,20~30평,18577.3185,20912600,225,3714.829995513076
201605,30~40평,13559.9269,14414000,120,3507.8507687235387
201605,40~50평,8986.0342,9769450,62,3587.698898363863
201605,50평 이상,11148.014,10828800,55,3205.5072769015183
201606,20평 미만,5821.8128,7559120,107,4284.764360681608
201606,20~30평,21557.8927,25089945,261,3840.673096030392
201606,30~40평,13464.0752,14566850,117,3570.286431555284
201606,40~50평,10858.5011,10632700,74,3231.376934704183
201606,50평 이상,8603.979,9211250,44,3532.9148292900295
201607,20평 미만,3452.3174,4583300,66,4381.083268879043
201607,20~30평,18353.3157,21261321,219,3822.871052122751
201607,30~40평,11270.073,11308000,97,3311.1054382700095
201607,40~50평,9633.6222,9042500,65,3097.510923772784
201607,50평 이상,6608.6961,6260000,33,3125.8813671277753
201608,20평 미만,4222.1282,5299400,81,4141.991709299589
201608,20~30평,18870.2343,22048850,226,3855.871837267013
201608,30~40평,11518.2446,12557050,103,3597.6198143942865
201608,40~50평,9497.9391,10531614,66,3659.1439294446513
201608,50평 이상,5681.348,5535500,30,3215.2844712205624
201609,20평 미만,3633.996,4667150,68,4238.198115793192
201609,20~30평,17372.498,21516900,208,4087.2515858110905
201609,30~40평,12821.4244,12984150,113,3341.8825914537233
201609,40~50평,9022.4555,9120365,62,3335.81080006435
201609,50평 이상,6844.1971,6946550,34,3349.350503070696
201610,20평 미만,5256.8266,6881750,101,4320.054041729282
201610,20~30평,15828.6181,18940050,190,3948.681091749885
201610,30~40평,12203.8804,12858550,106,3477.0264546348717
201610,40~50평,8345.4386,8335000,57,3295.8723104139785
201610,50평 이상,6952.2556,7096500,35,3368.4679257189564
201611,20평 미만,2094.737,2478720,41,3904.9178966142285
201611,20~30평,6221.023,6964000,74,3694.1191183507917
201611,30~40평,4617.0885,4972900,40,3554.3113371121212
201611,40~50평,4841.9732,4380700,33,2985.623712250204
201611,50평 이상,5807.7125,5405400,30,3071.402036516098
201612,20평 미만,1305.3952,1433600,27,3624.097897709444
201612,20~30평,5770.2461,6335250,69,3623.1253637518157
201612,30~40평,4374.9206,4241400,38,3199.2854910326823
201612,40~50평,3508.2476,3462750,24,3257.2031118898217
201612,50평 이상,3931.377,3642200,19,3057.2646683337666
201701,20평 미만,1782.3968,2356700,33,4363.287680947363
201701,20~30평,5527.6667,6611850,66,3947.2540918576005
201701,30~40평,4301.8923,4804700,38,3685.7059392212113
201701,40~50평,4203.053,3810000,28,2991.396967870736
201701,50평 이상,2483.393,2206500,12,2932.057068695933
201702,20평 미만,3062.4642,3878450,57,4179.276609992698
201702,20~30평,8756.4855,10301550,106,3882.2784552089984
201702,30~40평,6233.3234,6867000,56,3635.476381668244
201702,40~50평,4576.19,4442500,31,3203.592945222991
201702,50평 이상,4196.247,3853500,21,3030.4579306222918
201703,20평 미만,4036.5893,5114694,82,4181.374161597267
201703,20~30평,14325.8948,17641222,172,4063.692593917415
201703,30~40평,9847.6447,10318900,85,3457.920247670999
201703,40~50평,6738.397,7362980,46,3605.877480949846
201703,50평 이상,7961.325,7783200,38,3226.1664986669934
201704,20평 미만,5425.8852,7349225,99,4469.766979220276
201704,20~30평,18806.9714,23349700,229,4097.098270697641
201704,30~40평,12801.6894,13496100,113,3479.004107067306
201704,40~50평,10521.8762,10686400,72,3351.5999741567
201704,50평 이상,7599.3106,7657500,37,3325.268742140899
201705,20평 미만,7001.3506,9952450,132,4690.96419767923
201705,20~30평,29363.0459,37757051,353,4243.37000746915
201705,30~40평,18560.6111,20680800,163,3676.9608302390434
201705,40~50평,12508.3307,13267550,88,3500.3004037940887
201705,50평 이상,11063.3735,11818400,56,3525.2104613479787
201706,20평 미만,5355.7392,7566400,102,4662.123951069163
201706,20~30평,17904.0362,23282140,215,4291.27047899959
201706,30~40평,14465.6072,16410800,128,3743.7515930890195
201706,40~50평,8671.926,10289400,60,3915.5108104012884
201706,50평 이상,8385.0995,8176500,41,3217.904569886141
201707,20평 미만,6329.1377,9076800,123,4732.625741418139
201707,20~30평,24395.1905,32964015,294,4459.126871749577
201707,30~40평,14046.0341,17511300,124,4114.135676204858
201707,40~50평,11066.8481,12792900,76,3814.6877610075812
201707,50평 이상,11263.2845,11915300,55,3491.032300569163
201708,20평 미만,2735.2694,3333800,51,4022.104733084061
201708,20~30평,7693.7752,9482450,92,4067.195126782493
201708,30~40평,4886.0992,5696800,43,3847.535473696482
201708,40~50평,4213.4400000000005,4698750,29,3680.0986842105253
201708,50평 이상,4739.189,4437150,24,3089.6836990463976
201709,20평 미만,3725.317,5202300,69,4608.356819030434
201709,20~30평,12476.4461,16605060,150,4392.011760464385
201709,30~40평,9299.4088,10310490,83,3658.7935568549265
201709,40~50평,5512.8801,6103000,37,3653.244698719277
201709,50평 이상,7995.295,8982400,40,3707.4204266384168
201710,20평 미만,3567.7827,4931920,68,4561.750916052146
201710,20~30평,12489.8985,17035895,149,4501.113720019422
201710,30~40평,8034.4593,9111100,69,3742.2095099790968
201710,40~50평,4845.6022,4854800,33,3306.2639768489453
201710,50평 이상,5854.882,6422500,30,3619.9277799279303
201711,20평 미만,3031.963,4726668,56,5144.5233335631065
201711,20~30평,15484.9084,22472502,186,4789.131112974488
201711,30~40평,11536.3394,13486400,100,3857.8199250968637
201711,40~50평,6325.7078,6790700,43,3542.577480420452
201711,50평 이상,6800.4595,8187000,35,3972.8344827287033
201712,20평 미만,4220.7238,6561350,81,5130.033621247616
201712,20~30평,17082.177,23775390,203,4593.020374393732
201712,30~40평,10464.7704,12474300,91,3933.6926111632606
201712,40~50평,7783.4806,8155650,53,3457.7904645898393
201712,50평 이상,9306.5421,9282000,47,3291.2976345962047
201801,20평 미만,5954.5856,9406550,116,5213.060502480642
201801,20~30평,19829.127,29484098,236,4906.798135893728
201801,30~40평,18077.1274,23683899,157,4323.522480679093
201801,40~50평,14614.9987,16770750,99,3786.758804159182
201801,50평 이상,8860.1271,9322000,45,3472.026941915991
201802,20평 미만,2058.4598,2794480,45,4479.943693823897
201802,20~30평,8050.21,12355949,98,5065.039508286119
201802,30~40평,6476.6172,7669900,56,3908.007717362082
201802,40~50평,6432.4211000000005,7838000,43,4021.0986808683897
201802,50평 이상,7189.971,7461400,34,3424.578485782488
201803,20평 미만,2792.0695,3521100,57,4161.655001782728
201803,20~30평,8092.3842,12263595,96,5000.981478363323
201803,30~40평,7205.8109,8884400,63,4068.7329166520312
201803,40~50평,6942.6391,8065300,48,3833.62718652623
201803,50평 이상,8956.0285,8566500,45,3156.471643653211
201804,20평 미만,1684.6811,2307600,34,4520.190794566402
201804,20~30평,3905.118,5278000,48,4460.146914894761
201804,30~40평,4186.0561,5647100,37,4451.786969601291
201804,40~50평,2741.4836,3569800,19,4297.067471058371
201804,50평 이상,3936.3235,3787500,19,3175.2344541804046
201805,20평 미만,1758.697,2622850,36,4921.487328402789
201805,20~30평,4528.405,7219698,55,5261.235114792074
201805,30~40평,3177.7788,4417100,28,4586.986986004186
201805,40~50평,3407.338,4173200,24,4041.7358066619745
201805,50평 이상,4335.5814,4672000,21,3556.062861603751
201806,20평 미만,1439.733,2295500,29,5261.496402457956
201806,20~30평,3641.6206,5534850,43,5015.625460818186
201806,30~40평,3688.75,6115299,33,5470.819844120637
201806,40~50평,5171.359,7108250,35,4535.988509016681
201806,50평 이상,4875.1661,4984000,24,3373.669668403708
201807,20평 미만,2628.5843,4418950,49,5547.676367084746
201807,20~30평,9425.6455,16277197,113,5698.7874305266405
201807,30~40평,8039.3471,12641200,70,5188.973617024198
201807,40~50평,5213.559,6527700,35,4131.805164188225
201807,50평 이상,4673.423,4898900,23,3459.213942328781
201808,20평 미만,6019.5622,11493601,112,6300.937184435106
201808,20~30평,19681.3651,35782450,235,5999.689777616086
201808,30~40평,15487.9454,24564500,134,5233.931803504421
201808,40~50평,9788.5242,14775500,67,4981.256520773581
201808,50평 이상,10402.3167,12324000,55,3909.629092527052
201809,20평 미만,2583.9347,4323000,51,5520.998653719848
201809,20~30평,9041.3685,15540300,108,5672.038475148977
201809,30~40평,5842.1465,9377550,51,5297.011124250308
201809,40~50평,4887.5605,6200500,33,4186.47503186917
201809,50평 이상,5318.0836,6008000,26,3728.1098777762727
201810,20평 미만,1366.8713,1514000,32,3655.2087969072145
201810,20~30평,3101.303,4795600,38,5102.8487058504115
201810,30~40평,1724.3,2642500,15,5057.269616656034
201810,40~50평,2623.76,3970700,18,4994.0962588041575
201810,50평 이상,2636.0265,2854955,13,3574.0731362146776
201811,20평 미만,735.443,1167350,17,5238.006208502902
201811,20~30평,1257.814,2105700,15,5524.513163313494
201811,30~40평,1619.5,2547750,14,5191.463414634146
201811,40~50평,1170.7641,1730000,8,4876.302578803022
201811,50평 이상,2191.4076,3081000,10,4639.620671206944
201812,20평 미만,1025.597,1479900,22,4761.782649520231
201812,20~30평,810.6741,1369500,10,5574.804967865632
201812,30~40평,1220.6732,1371000,11,3706.3974207019537
201812,40~50평,870.279,1125000,6,4265.873357854205
201812,50평 이상,1688.6125,2152505,8,4206.569890960774
201901,20평 미만,421.408,666100,9,5216.156314070923
201901,20~30평,989.65,1552500,12,5176.830192492295
201901,30~40평,1260.5,1499000,11,3924.3950813169376
201901,40~50평,1099.0046,1047500,7,3145.34625241787
201901,50평 이상,1471.275,1626500,7,3648.162308202069
201902,20평 미만,423.418,742200,9,5784.49664397829
201902,20~30평,1265.35,2333458,15,6085.597976844351
201902,30~40평,698.645,992500,6,4688.003206206299
201902,40~50평,738.11,737500,5,3297.272764222135
201902,50평 이상,1476.2806,1509250,7,3373.6980625498973
201903,20평 미만,484.233,881700,10,6008.698291937972
201903,20~30평,2203.8129,3801500,27,5692.3843217362055
201903,30~40평,1131.94,2241500,10,6534.754492287577
201903,40~50평,2065.556,2905350,14,4641.682433204425
201903,50평 이상,1306.039,1667000,7,4212.04879793023
201904,20평 미만,1259.4154,2192100,25,5743.879263347105
201904,20~30평,4521.7827,8148500,55,5946.780680106543
201904,30~40평,2193.9239,3189260,19,4797.1390438838835
201904,40~50평,1757.6200000000001,2370000,12,4449.767298961095
201904,50평 이상,3371.52,3975000,17,3890.6783883826874
201905,20평 미만,2629.4623,5215350,50,6545.313465798691
201905,20~30평,10629.1627,19493600,128,6052.111705844901
201905,30~40평,5601.3736,7597890,49,4476.230080421702
201905,40~50평,2988.2723,5616000,21,6201.844457079765
201905,50평 이상,4022.258,5510500,19,4521.00536564288
201906,20평 미만,3942.2648,8004100,74,6700.090262835718
201906,20~30평,13096.0757,25337800,157,6384.717217234778
201906,30~40평,7699.1393,11853638,67,5080.698487946568
201906,40~50평,5184.3522,7331500,36,4666.725767589632
201906,50평 이상,3700.433,5047500,19,4501.297550854183
201907,20평 미만,6013.2785,10810600,114,5932.700439535603
201907,20~30평,17840.9568,33696800,214,6232.818186073967
201907,30~40평,9454.7902,16464250,83,5746.507733191161
201907,40~50평,8306.6108,12133700,57,4820.402804956264
201907,50평 이상,7741.9095,9467000,38,4035.3222935504473
201908,20평 미만,2891.2817,5297300,57,6046.138638099497
201908,20~30평,7747.1687,15504730,93,6604.426853387095
201908,30~40평,4053.5954,7095500,35,5776.390510014887
201908,40~50평,4820.3295,6735500,33,4611.126687501342
201908,50평 이상,6015.1116,7452900,28,4088.7969559866515
201909,20평 미만,3604.2702,6997000,68,6406.317706147558
201909,20~30평,10797.690200000001,21019000,130,6423.846092565241
201909,30~40평,7468.7493,13752500,65,6076.4189795472175
201909,40~50평,5964.6773,9724500,40,5380.148562270082
201909,50평 이상,5507.917,6900500,27,4134.348792837655
