년월,평수 범위,전용면적,거래금액,데이터 건수,평당 거래금액
201512,20평 미만,2930.386,2267340,51,2553.323009323686
201512,20~30평,6698.7746,4453350,80,2193.8422887075494
201512,30~40평,3085.182,1877000,27,2007.6935493594867
201512,40~50평,450.86,304900,3,2231.6683671206138
201512,50평 이상,177.12,136000,1,2533.8753387533875
201601,20평 미만,2993.5984,2163250,50,2384.663554069243
201601,20~30평,7994.616,5178700,96,2137.6523900585094
201601,30~40평,1617.36,911500,14,1859.7900281940942
201601,40~50평,287.15999999999997,133000,2,1528.4162139573757
201602,20평 미만,3701.05,2743500,63,2446.2112103322024
201602,20~30평,7322.9301,4671500,88,2105.1614298489617
201602,30~40평,2702.069,1764939,24,2155.4959181279232
201602,40~50평,581.4159999999999,249500,4,1416.1116997124261
201602,50평 이상,217.86,405000,1,6134.6736436243455
201603,20평 미만,6955.198,5321650,118,2524.938182924483
201603,20~30평,12252.7839,8120450,147,2187.0527725539987
201603,30~40평,4364.2789999999995,2657250,38,2009.2494086652114
201603,40~50평,297.62,189000,2,2095.625293999059
201603,50평 이상,632.3299999999999,1110000,3,5792.861322410767
201604,20평 미만,6702.556,5027800,114,2475.434744595942
201604,20~30평,15331.3986,10063050,184,2166.0166737821296
201604,30~40평,5528.6682,3323050,48,1983.4912502074187
201604,40~50평,755.64,437500,5,1910.6320470065107
201605,20평 미만,7432.1019,5762215,125,2558.537242337864
201605,20~30평,14640.8783,9987950,175,2251.2471126817577
201605,30~40평,6354.729,3868600,56,2008.9574236761316
201605,40~50평,1436.09,826750,10,1899.79388478438
201605,50평 이상,1219.88,1519000,6,4109.174672918647
201606,20평 미만,11160.9179,8763770,189,2591.2242397195664
201606,20~30평,19785.1772,13659500,237,2278.2889202528854
201606,30~40평,8603.7926,5079600,75,1948.2896414774104
201606,40~50평,1302.8799999999999,846500,9,2144.0577796880757
201606,50평 이상,470.76,817000,2,5727.122100433341
201607,20평 미만,9942.3306,7846690,169,2604.427275834099
201607,20~30평,21030.9656,14258850,252,2237.377298548765
201607,30~40평,9130.788,5414550,80,1956.8973674561273
201607,40~50평,851.9159999999999,557500,6,2159.5438986942377
201607,50평 이상,717.19,983000,4,4523.069200630237
201608,20평 미만,8009.0019,6654800,136,2742.01957674651
201608,20~30평,17918.0077,12749650,214,2348.131874058744
201608,30~40평,7550.995,4543050,66,1985.442315880225
201608,40~50평,860.8399999999999,583000,6,2234.910087821198
201608,50평 이상,445.53,650000,2,4814.490606693152
201609,20평 미만,7369.024,6332750,125,2835.9352608975078
201609,20~30평,16254.7952,11482600,195,2331.16317577474
201609,30~40평,6142.898,3793300,54,2037.7824928885357
201609,40~50평,426.16999999999996,250500,3,1939.7188915221625
201609,50평 이상,372.32,493000,2,4369.628276751182
201610,20평 미만,8884.432,7708595,154,2863.2515280661723
201610,20~30평,20186.6435,15180175,240,2481.5704255142764
201610,30~40평,7781.785,4775150,68,2024.9846275629563
201610,40~50평,1405.646,1087500,10,2553.0965833502887
201610,50평 이상,410.67999999999995,603080,2,4846.021233076848
201611,20평 미만,3605.254,3007810,61,2753.1411101686595
201611,20~30평,8459.1863,6187080,101,2413.6321480471474
201611,30~40평,4742.3818,3001700,41,2088.7415686354057
201611,40~50평,1002.79,599200,7,1971.8585147438646
201611,50평 이상,419.05,699000,2,5504.593723899296
201612,20평 미만,1730.062,1470500,29,2804.8994775909764
201612,20~30평,6096.2423,4266750,73,2309.6645945322744
201612,30~40평,3408.422,2000509,30,1936.872752258963
201612,40~50평,838.96,521150,6,2049.9129875083436
201612,50평 이상,589.63,898000,3,5025.863677221308
201701,20평 미만,2785.81,2401950,48,2845.289161859567
201701,20~30평,5005.315,3565500,60,2350.731172763353
201701,30~40평,2397.586,1577350,21,2171.039954354088
201701,40~50평,442.14,418000,3,3119.826299362193
201701,50평 이상,388.84000000000003,803000,2,6814.885299866268
201702,20평 미만,4277.3444,3584850,76,2765.7359084762966
201702,20~30평,8954.5708,6351040,107,2340.5289285333474
201702,30~40평,4163.297,2772000,36,2197.200920328288
201702,40~50평,412.94,257700,3,2059.4033031433137
201702,50평 이상,218.58,430000,1,6491.902278342025
201703,20평 미만,6437.5471,5714550,110,2929.378955534166
201703,20~30평,13274.5581,9779100,159,2431.0436367746206
201703,30~40평,5590.025,3637400,48,2147.292722304462
201703,40~50평,889.47,593500,6,2201.9292387601604
201703,50평 이상,177.12,170000,1,3167.3441734417343
201704,20평 미만,7867.378,7094150,136,2975.6667342029323
201704,20~30평,19020.6215,14805550,227,2568.702342349854
201704,30~40평,8137.148,5447150,71,2209.078045526516
201704,40~50평,1003.0,877500,7,2887.088733798604
201704,50평 이상,241.93,530000,1,7229.363865580953
201705,20평 미만,12175.3265,11295300,208,3061.477653186549
201705,20~30평,29074.6266,23157264,347,2628.3732634420144
201705,30~40평,10656.961,6979750,93,2161.3267609781064
201705,40~50평,2144.64,1615700,15,2486.109556848702
201705,50평 이상,791.74,1094000,4,4559.830247303407
201706,20평 미만,11368.7362,9939750,191,2885.2085599453
201706,20~30평,26067.17,20468900,310,2591.2812936732294
201706,30~40평,11623.7821,7510150,101,2132.1369229727734
201706,40~50평,2746.23,1975300,19,2373.614009023279
201706,50평 이상,596.21,844000,3,4671.508361147918
201707,20평 미만,10855.7873,10096200,184,3069.09660987923
201707,20~30평,26458.3615,21510940,317,2682.9364320235777
201707,30~40평,12393.812,8155850,108,2171.5921622822743
201707,40~50평,2175.04,1533700,15,2326.9503089598347
201708,20평 미만,2915.97,2461700,50,2785.9031471517196
201708,20~30평,6519.9123,5210750,78,2637.3782665757635
201708,30~40평,3659.281,2717100,32,2450.3256240775167
201708,40~50평,842.336,595750,6,2333.955808608441
201708,50평 이상,395.02,640000,2,5346.564730899701
201709,20평 미만,4940.6573,4981700,83,3327.413540704392
201709,20~30평,8410.226,7046450,100,2764.882299239045
201709,30~40평,4181.5851,2914500,36,2300.0488498966574
201709,40~50평,1426.37,1088582,10,2518.5054368782294
201709,50평 이상,177.12,199500,1,3716.9715447154467
201710,20평 미만,4471.4174,4527050,76,3341.058027819098
201710,20~30평,8772.8754,7284440,105,2740.1109560954205
201710,30~40평,4419.547,2994400,38,2235.8671601410733
201710,40~50평,870.04,788500,6,2990.724564387844
201710,50평 이상,354.24,399000,2,3716.9715447154467
201711,20평 미만,7899.9277,8053150,134,3364.004837664527
201711,20~30평,15629.8011,13582050,187,2867.6478167083005
201711,30~40평,5885.008,4394600,51,2464.2583323591066
201711,40~50평,2166.0006,1997500,15,3043.2817054621314
201712,20평 미만,9623.3502,10028650,162,3438.983754327053
201712,20~30평,13834.3575,12388700,165,2955.157838013077
201712,30~40평,7555.593,5653800,65,2469.3680562200743
201712,40~50평,1292.396,1039400,9,2654.0007861367567
201712,50평 이상,572.14,811000,3,4677.701261928898
201801,20평 미만,12400.1214,13470217,211,3584.7807183565155
201801,20~30평,22594.7505,21273220,270,3106.988324566806
201801,30~40평,13350.213,10254000,115,2534.656188631597
201801,40~50평,2472.861,2498800,17,3334.615249300304
201801,50평 이상,761.04,1257000,4,5450.567644276253
201802,20평 미만,7292.6907,8139940,159,3683.3869836273184
201802,20~30평,12025.845,11686600,143,3206.908121633033
201802,30~40평,5247.4442,4149600,46,2609.590398312382
201802,40~50평,2465.376,2000050,17,2677.143364744363
201802,50평 이상,637.15,970000,3,5023.934709252138
201803,20평 미만,5819.3643,6073480,140,3444.1019614462007
201803,20~30평,9832.5903,9289850,118,3117.846270885506
201803,30~40평,3067.87,2498050,27,2687.064640939805
201803,40~50평,1585.6,1223200,11,2545.7618567103937
