년월,평수 범위,전용면적,거래금액,데이터 건수,평당 거래금액
201512,20평 미만,4825.78,4382071,95,2996.5796824554786
201512,20~30평,10476.173,8609051,125,2711.8555888681863
201512,30~40평,5526.016,4421850,48,2640.6193901718707
201512,40~50평,2330.659,1882050,16,2664.810682300585
201512,50평 이상,893.5,611800,5,2259.5858981533293
201601,20평 미만,4487.58,3944368,90,2900.542029334296
201601,20~30평,10150.5958,8327990,121,2707.463437761949
201601,30~40평,3743.8940000000002,2986050,32,2632.0096135200406
201601,40~50평,2584.684,1981600,18,2530.0114056495877
201601,50평 이상,701.384,464200,4,2184.0532433018147
201602,20평 미만,5132.198,4414446,103,2838.4859274720106
201602,20~30평,10613.941,8843250,127,2749.4711907669353
201602,30~40평,3815.48,2812000,33,2432.0924234958643
201602,40~50평,2861.43,1977900,20,2281.051781801407
201602,50평 이상,1103.991,546200,6,1632.676353339837
201603,20평 미만,8475.5567,8363940,169,3256.541484761703
201603,20~30평,19999.376800000002,18437500,241,3042.2822975163904
201603,30~40평,6332.055,4702500,54,2450.744663462335
201603,40~50평,3776.233,2727200,26,2383.2639564348915
201603,50평 이상,2237.807,1281300,12,1889.4792982594122
201604,20평 미만,12502.7951,12865164,249,3395.6440028358143
201604,20~30평,31768.196,30312827,381,3148.81994243551
201604,30~40평,8908.701000000001,7324950,78,2713.3400256670416
201604,40~50평,5919.765,4418350,41,2463.02936011818
201604,50평 이상,2018.83,1361500,11,2225.5217130714327
201605,20평 미만,14056.1841,14900752,275,3498.280987938967
201605,20~30평,36487.416,35846600,437,3242.043229369819
201605,30~40평,12836.413,10393050,112,2671.857395052652
201605,40~50평,7564.626,5960200,52,2600.0835996386336
201605,50평 이상,1126.715,873000,6,2556.9021447304776
201606,20평 미만,16390.7267,17389417,328,3501.0696688634316
201606,20~30평,42617.0305,39379440,508,3049.30095962458
201606,30~40평,19093.975,15333300,164,2650.0448439887455
201606,40~50평,8331.329,6337250,59,2510.1547424186465
201606,50평 이상,1115.495,736700,6,2179.400176603212
201607,20평 미만,13303.584,13408953,259,3326.137144697248
201607,20~30평,30568.62,27358050,365,2953.406630721308
201607,30~40평,12446.359,10288000,107,2727.7374853159868
201607,40~50평,6317.0464,4833000,43,2524.7400430682287
201607,50평 이상,857.9839999999999,593000,5,2280.811763389527
201608,20평 미만,11237.238,11380852,214,3342.174616217971
201608,20~30평,31266.397,29290050,373,3091.4072062732394
201608,30~40평,11875.778,10241700,102,2845.928073091295
