년월,평수 범위,전용면적,거래금액,데이터 건수,평당 거래금액
201512,20평 미만,1725.958,1518630,34,2903.5926714323286
201512,20~30평,3501.373,2636050,42,2484.443959555294
201512,30~40평,2254.246,2031499,19,2973.9197496635234
201512,40~50평,1298.795,1032500,9,2623.393222179019
201512,50평 이상,2058.366,2109500,11,3381.978715155614
201601,20평 미만,1442.798,1194300,27,2731.6297915577925
201601,20~30평,2361.75,1746900,28,2440.889171165449
201601,30~40평,2275.8,1930600,20,2799.4463485367783
201601,40~50평,2170.31,1643750,15,2499.354930862411
201601,50평 이상,2803.041,3220490,14,3791.459703942967
201602,20평 미만,1318.959,1266500,23,3168.748990681287
201602,20~30평,1927.44,1499150,23,2566.7180301332332
201602,30~40평,2024.96,1734950,18,2827.3817754424776
201602,40~50평,867.04,819349,6,3118.4855369994466
201602,50평 이상,2058.102,2404428,10,3855.3057137109827
201603,20평 미만,2566.881,2376100,48,3054.7306244426604
201603,20~30평,5189.69,4038850,62,2568.208313020624
201603,30~40평,2646.77,2215164,24,2761.872470974055
201603,40~50평,2570.83,2259000,18,2899.7249915396974
201603,50평 이상,1732.4270000000001,1822800,8,3472.146301113986
201604,20평 미만,3137.281,2892350,58,3042.365347573265
201604,20~30평,6474.164,5079700,77,2589.2161520777045
201604,30~40평,3492.0524,3034599,31,2867.7051638744024
201604,40~50평,3281.5,2781388,23,2797.0685357306106
201604,50평 이상,3758.092,3358100,19,2948.7649583884586
201605,20평 미만,5188.608,5515104,91,3507.654307282415
201605,20~30평,7801.74,6037600,93,2553.7995370263557
201605,30~40평,5455.71,4981750,49,3013.3154071605713
201605,40~50평,4190.633,3023847,29,2381.1904072726006
201605,50평 이상,11087.391,16268648,53,4842.125473882899
201606,20평 미만,4199.133,3987650,73,3133.80047738426
201606,20~30평,9312.4503,7452820,111,2641.0133968714977
201606,30~40평,5909.948,4857100,52,2712.110157314413
201606,40~50평,5542.657,4199713,39,2500.4348816821966
201606,50평 이상,7684.474,11319654,37,4861.081994681744
201607,20평 미만,5000.26,4701600,89,3102.8946494782267
201607,20~30평,7158.346,5779400,85,2664.3054135690004
201607,30~40평,5132.979,4573800,46,2940.5029710817053
201607,40~50평,2908.373,2262388,20,2567.0298823431517
201607,50평 이상,6379.658,8891300,32,4599.194815772255
201608,20평 미만,3766.972,3530400,65,3092.754605024937
201608,20~30평,6442.196,5576800,76,2856.702900687902
201608,30~40평,5826.18,5202500,51,2946.7421191930216
201608,40~50평,3847.605,3480099,27,2984.798777421279
201608,50평 이상,4407.662,5471500,23,4096.49151863278
201609,20평 미만,2901.24,2555950,53,2907.2517268478305
201609,20~30평,9407.269,7737572,111,2714.282710529485
201609,30~40평,8763.365,7138596,76,2688.164512148016
