년월,평수 범위,전용면적,거래금액,데이터 건수,평당 거래금액
201512,20평 미만,3890.3764,2138200,76,1813.7216748487367
201512,20~30평,8298.3929,3822850,99,1520.2226686567226
201512,30~40평,3221.5976,1492400,29,1528.7197879710363
201512,40~50평,2314.175,1036541,17,1478.1013968260827
201512,50평 이상,835.56,353094,5,1394.5260663507108
201601,20평 미만,3699.3673,1973420,73,1760.3783219903578
201601,20~30평,8510.969,3794750,103,1471.3571392399622
201601,30~40평,2679.803,1214100,24,1495.0837804122168
201601,40~50평,544.9,268151,4,1623.9645806570013
201601,50평 이상,333.73,134581,2,1330.7682857399693
201602,20평 미만,4750.6379,2386200,88,1657.5584512555672
201602,20~30평,8302.8751,3762000,100,1495.2170001931017
201602,30~40평,2591.2344,1089294,23,1387.2423891871765
201602,40~50평,1076.0900000000001,506140,8,1552.1582767240657
201602,50평 이상,501.03,214611,3,1413.5207472606432
201603,20평 미만,6018.8183,3305160,124,1812.1543891763602
201603,20~30평,15996.7677,7166738,193,1478.438384774444
201603,30~40평,2905.809,1342950,26,1525.1294906168985
201603,40~50평,1251.94,546350,9,1440.1289199162898
201603,50평 이상,894.74,387503,5,1429.1971969510694
201604,20평 미만,6739.0796,3822350,126,1871.7326027726394
201604,20~30평,13030.9432,5988355,157,1516.511214629498
201604,30~40평,4901.6968,2449640,45,1649.1864613086636
201604,40~50평,2620.4900000000002,1149747,19,1447.8838308865897
201604,50평 이상,1168.17,477316,7,1348.3849097306042
201605,20평 미만,5642.8812,3358200,118,1963.9009944068996
201605,20~30평,13410.8677,6559150,161,1614.0040662693286
201605,30~40평,4857.6262,2247700,44,1526.961872858805
201605,40~50평,1656.555,758150,12,1510.2999900395698
201605,50평 이상,1335.26,538992,8,1332.0803439030599
201606,20평 미만,5969.4864,3421950,106,1891.6928933785662
201606,20~30평,19515.7785,9670450,235,1635.2145521635223
201606,30~40평,5801.8794,2746000,53,1561.8732095672308
201606,40~50평,2574.725,1168220,19,1497.2962161007486
201606,50평 이상,1169.06,480371,7,1355.9819855268336
201607,20평 미만,7095.9947,4064700,129,1890.293125500784
201607,20~30평,17290.587,8746170,207,1669.252813684116
201607,30~40평,6288.7214,3019100,57,1584.2695782325482
201607,40~50평,2617.55,1174267,19,1480.4229527611697
201607,50평 이상,500.6,185864,3,1225.2321214542549
201608,20평 미만,4736.0699,2645900,85,1843.610880827582
201608,20~30평,13201.8806,6781556,159,1695.1474928503744
201608,30~40평,6155.304,3126352,56,1676.109189732952
201608,40~50평,2037.625,992799,15,1607.8702901662473
201608,50평 이상,1876.69,880271,11,1547.8818025353148
201609,20평 미만,5838.9311,3401800,104,1922.6018954051367
201609,20~30평,16614.2279,8426370,200,1673.6872256338795
201609,30~40평,5024.6995,2460400,46,1615.8817059607247
201609,40~50평,1534.885,630700,11,1356.003869996775
201609,50평 이상,334.66999999999996,160474,2,1582.3473869782176
201610,20평 미만,5807.1363,3400420,102,1932.3441745288462
201610,20~30평,16595.4637,8377280,200,1665.8181114879
201610,30~40평,6939.511,3606850,63,1715.19362099145
201610,40~50평,2557.58,1205723,19,1555.7229490377622
201610,50평 이상,3177.15,1411590,19,1466.171568858883
201611,20평 미만,3649.7315,2238000,68,2023.5461156526171
201611,20~30평,8519.2143,4281479,103,1658.4722724958333
201611,30~40평,3185.0445,1615330,29,1673.6309335709436
201611,40~50평,1213.47,635950,9,1729.4494301466043
201611,50평 이상,668.4,293256,4,1447.8527827648115
201612,20평 미만,1934.9662,1058900,35,1805.9075140433977
201612,20~30평,5997.1757,3094700,72,1702.8865770932807
201612,30~40평,2110.364,941950,19,1472.9378438980195
201612,40~50평,1355.329,679345,10,1654.0917371354114
201612,50평 이상,2184.73,863012,13,1303.5659326324076
201701,20평 미만,2171.8631,1287250,48,1955.8898532785054
201701,20~30평,4068.5046,2031550,49,1647.8081406126466
201701,30~40평,1888.2536,937499,17,1638.4169478082817
201701,40~50평,689.77,316700,5,1515.1572263218175
201702,20평 미만,4186.8654,2389300,76,1883.1964361691685
201702,20~30평,7640.8522,3820450,93,1650.0103221470504
201702,30~40평,2303.946,1139999,20,1632.8493376146837
201702,40~50평,700.2750000000001,286400,5,1349.64121238085
201702,50평 이상,167.47,95000,1,1871.977070520093
201703,20평 미만,4149.6714,2384400,81,1896.1790564910752
201703,20~30평,9217.2902,4522050,113,1618.99698026216
201703,30~40평,2638.8612,1243000,23,1554.420520488156
201703,40~50평,1368.209,699884,10,1688.058768799211
201703,50평 이상,1002.46,438322,6,1442.913033936516
201704,20평 미만,4729.5431,2898307,89,2022.2699947485412
201704,20~30평,10478.6549,5135250,126,1617.223313652595
201704,30~40평,2996.9892,1539450,27,1695.0961985448596
201704,40~50평,1911.7350000000001,941310,14,1624.8711249205562
201704,50평 이상,501.94,245500,3,1614.0375343666572
201705,20평 미만,6437.0562,4084650,112,2094.023196504017
201705,20~30평,16042.1626,8298220,192,1707.0096272431497
201705,30~40평,3214.8724,1565320,29,1606.7685921220386
201705,40~50평,1973.594,900100,14,1505.0359901783245
201705,50평 이상,167.14,74683,1,1474.5357185592916
201706,20평 미만,5496.6831,3357130,99,2015.493489155305
201706,20~30평,14010.3323,7419300,169,1747.5452741402858
201706,30~40평,4935.8152,2644890,45,1768.327347425811
201706,40~50평,2301.065,1151050,17,1650.7421563493426
201706,50평 이상,502.15999999999997,309500,3,2033.913493707185
201707,20평 미만,6030.4735,3825450,108,2093.365471218802
201707,20~30평,15808.8488,8631900,189,1801.856059247021
201707,30~40평,6017.9994,3270600,54,1793.4498298554167
201707,40~50평,1783.0500000000002,899800,13,1665.3150500546813
201708,20평 미만,2588.2843,1593350,52,2031.4827857202547
201708,20~30평,9874.8838,5178178,119,1730.4494661496674
201708,30~40평,2207.9657,1190400,20,1779.158072971876
201708,40~50평,856.7090000000001,357200,6,1375.916443039585
201708,50평 이상,334.9,151000,2,1487.9068378620484
201709,20평 미만,3656.1297,2278250,68,2056.3343253386224
201709,20~30평,7679.3218,4139700,93,1778.9344366321516
201709,30~40평,2297.4964,1294850,21,1859.8527510206325
201709,40~50평,545.889,271200,4,1639.4541747498117
201709,50평 이상,334.54,199000,2,1962.9939618580736
201710,20평 미만,3866.8354,2441100,69,2083.2616769775095
201710,20~30평,5847.9325,3302900,70,1863.8330726286597
201710,30~40평,2530.9990000000003,1353400,23,1764.6075719508383
201710,40~50평,1363.275,662000,10,1602.46465313308
201711,20평 미만,3911.4067,2573028,74,2170.828310950124
201711,20~30평,6903.0619,4049750,82,1935.9778593322478
