년월,평수 범위,전용면적,거래금액,데이터 건수,평당 거래금액
201512,20평 미만,851.9352,570090,22,2208.263022821454
201512,20~30평,1419.3400000000001,868100,17,2018.3536009694642
201512,30~40평,568.2,308240,5,1790.200633579725
201512,40~50평,296.28,180000,2,2004.8602673147022
201512,50평 이상,624.735,409500,3,2163.0771447093566
201601,20평 미만,998.1902,615600,22,2035.1632384289085
201601,20~30평,1372.2758000000001,897550,16,2158.3962932232716
201601,30~40평,334.31,206800,3,2041.3388770901256
201601,40~50평,438.55,345000,3,2596.055181849276
201601,50평 이상,187.9,79000,1,1387.4401277275147
201602,20평 미만,869.9526,461180,17,1749.3987603462533
201602,20~30평,1361.2595000000001,836820,16,2028.6403878173114
201602,30~40평,890.5310000000001,479890,8,1778.3064261659613
201602,40~50평,310.8,206500,2,2192.5675675675675
201602,50평 이상,2553.284,1989929,12,2571.890044350726
201603,20평 미만,900.5662,528450,22,1936.4317692580512
201603,20~30평,1505.6355,901190,18,1975.197184179039
201603,30~40평,1026.382,622750,9,2002.2515983327844
201603,40~50평,581.94,370300,4,2099.8556552221876
201603,50평 이상,2566.65,2021136,12,2598.6203027292386
201604,20평 미만,1127.201,594990,24,1741.8960770971635
201604,20~30평,1793.9456,1100650,21,2024.6684180389861
201604,30~40평,1951.0473,1137880,17,1924.6094136210845
201604,40~50평,600.11,375400,4,2064.3215410508074
201604,50평 이상,374.74,307000,2,2703.47440892352
201605,20평 미만,1322.6952,839710,28,2094.997396225525
201605,20~30평,2542.3216,1636880,30,2124.713096879639
201605,30~40평,786.9963,460690,7,1931.746057764185
201605,40~50평,746.6700000000001,549000,5,2426.3730965486757
201605,50평 이상,568.875,455500,3,2642.320369149637
201606,20평 미만,1746.6426000000001,1064070,37,2010.3889599394859
201606,20~30평,2336.7793,1452560,28,2051.3054014129616
201606,30~40평,1254.262,758280,11,1995.0568541500897
201606,40~50평,706.37,479000,5,2237.779067627447
201606,50평 이상,174.55,130000,1,2457.7484961329133
201607,20평 미만,1485.38,888800,32,1974.6058247721119
201607,20~30평,2529.82,1440790,30,1879.425018380754
201607,30~40평,1478.442,932200,13,2080.7444593700666
201607,40~50평,446.1,308200,3,2279.892400806994
201608,20평 미만,1377.6966,839420,33,2010.6647573928828
201608,20~30평,3276.943,2050970,39,2065.4008934546614
201608,30~40평,897.3620000000001,524540,8,1928.967350968728
201608,40~50평,1233.9579999999999,880250,8,2354.0712082583036
201608,50평 이상,174.55,139000,1,2627.9003150959607
201609,20평 미만,1149.5566,743213,26,2133.520785318444
201609,20~30평,3136.0958,1936216,37,2037.409954121937
201609,30~40평,1365.532,879500,12,2125.435361456194
201609,40~50평,786.6189999999999,571500,5,2397.5393424262575
201609,50평 이상,174.55,138000,1,2608.9945574333997
201610,20평 미만,947.0840000000001,590200,22,2056.4807345494164
201610,20~30평,3222.3891000000003,2129140,38,2180.4201112770643
201610,30~40평,804.9100000000001,431740,7,1770.063733833596
201610,40~50평,1201.99,915500,8,2513.4568507225513
201610,50평 이상,619.48,487947,3,2599.317330664428
201611,20평 미만,1085.086,721040,24,2192.85107355546
201611,20~30평,2121.0658,1421270,25,2211.2425743699227
201611,30~40평,1036.893,705850,9,2246.427548454855
201611,40~50평,1027.57,764500,7,2455.1612055626383
201611,50평 이상,194.43,135000,1,2291.313068970838
201612,20평 미만,889.6800000000001,584500,22,2168.0267062314538
201612,20~30평,1027.1138,678420,12,2179.6864183890816
201612,30~40평,1382.691,1000980,12,2388.989296957888
201612,40~50평,589.14,429000,4,2402.9941949282
201612,50평 이상,191.725,136000,1,2340.852783935324
201701,20평 미만,759.879,559080,18,2427.970769030332
201701,20~30평,1620.8138000000001,1087290,19,2213.737938312223
201701,30~40평,1252.7183,782690,11,2061.817888347284
201701,40~50평,297.25,227000,2,2520.1009251471824
201701,50평 이상,613.425,471942,3,2538.8737009414353
201702,20평 미만,1383.9836,930490,33,2218.6801924531474
201702,20~30평,1785.16,1118690,21,2067.981021309014
201702,30~40평,454.31,290980,4,2113.6096497985955
201702,40~50평,1056.63,743000,7,2320.4906163936284
201702,50평 이상,200.21,117000,1,1928.4751011437988
201703,20평 미만,1146.1902,756740,28,2178.7326396613753
201703,20~30평,2390.6738,1644580,28,2270.118993231113
201703,30~40평,910.9683,614990,8,2227.8129765876593
201703,40~50평,740.12,480100,5,2140.639355780144
201703,50평 이상,377.64300000000003,229500,2,2005.4654793018801
201704,20평 미만,1013.45,654540,20,2131.315802456954
201704,20~30평,1660.766,1096290,20,2178.3664887166524
201704,30~40평,883.6106,541400,8,2021.9540145851577
201704,40~50평,901.62,692000,6,2532.7743395221933
201705,20평 미만,1723.3978,1118110,33,2140.9816120224823
201705,20~30평,2399.4261,1561780,29,2147.961131205499
201705,30~40평,1917.7046,1259590,17,2167.5116177955665
201705,40~50평,611.569,491500,4,2652.1128441762094
201705,50평 이상,408.03999999999996,309425,2,2502.456866973826
