년월,평수 범위,전용면적,거래금액,데이터 건수,평당 거래금액
201512,20평 미만,3340.194,1706640,76,1686.1032622656048
201512,20~30평,5810.0756,2561200,70,1454.707405184194
201512,30~40평,1577.708,668950,14,1399.203781688373
201512,40~50평,432.37,143300,3,1093.7160302518676
201601,20평 미만,3691.5824000000002,1762500,78,1575.5438643330835
201601,20~30평,7214.4746,3128150,86,1430.8588736316294
201601,30~40평,640.09,281300,6,1450.2491837085408
201602,20평 미만,4075.271,1977300,87,1601.1425988602964
201602,20~30평,6075.614,2564950,73,1393.1653656733295
201602,30~40평,1712.53,666700,15,1284.7132604976262
201602,40~50평,540.06,189300,4,1156.7048105766028
201603,20평 미만,6372.64,3037820,134,1573.1009440357527
201603,20~30평,9639.975,4194200,116,1435.7775824107428
201603,30~40평,2654.5137,1105250,24,1374.0087308647155
201603,40~50평,403.27,149300,3,1221.737297592184
201603,50평 이상,190.26,115000,1,1994.6389151687165
201604,20평 미만,6774.5386,3279970,137,1597.7325747321004
201604,20~30평,9264.8027,4007600,112,1427.454035259704
201604,30~40평,1499.7315,708400,14,1558.7590178641974
201604,40~50평,427.73,188900,3,1457.3913450073644
201605,20평 미만,5844.509,2822750,119,1593.8165207718903
201605,20~30평,11239.472,4950750,136,1453.58029273973
201605,30~40평,2723.82,1212400,24,1468.8635812939178
201605,40~50평,701.44,277300,5,1304.5877052919707
201605,50평 이상,170.02,90000,1,1746.8533113751323
201606,20평 미만,6563.9581,3262970,133,1640.443286802821
201606,20~30평,13899.9203,6139980,167,1457.7014517126404
201606,30~40평,3995.8971,1854400,36,1531.4508474204702
201606,40~50평,1823.0966,669980,13,1212.7355182385836
201606,50평 이상,203.77,94908,1,1537.0093733130489
201607,20평 미만,6344.9264,3182900,132,1655.4281858966872
201607,20~30평,11504.5803,5083658,139,1458.208032152203
201607,30~40평,2765.946,1223150,25,1459.3180777932757
201607,40~50평,132.77,43000,1,1068.765534382767
201608,20평 미만,8121.8522,4029100,163,1637.0686972117023
201608,20~30평,13692.8043,6045300,166,1456.9323830911685
201608,30~40평,2896.1478,1253550,26,1428.3507906606146
201608,40~50평,300.91999999999996,102900,2,1128.4394523461385
201609,20평 미만,7385.936,3686070,146,1646.9180074130077
201609,20~30평,12141.6316,5495125,147,1493.5317671802857
201609,30~40평,3964.3658,1724500,36,1435.5007300284951
201609,40~50평,134.88,44500,1,1088.7455516014236
201610,20평 미만,7442.9774,3734050,150,1655.569315580617
201610,20~30평,14141.7327,6309220,171,1472.2683875929854
201610,30~40평,4623.8128,1939200,41,1384.000667155037
201610,40~50평,134.37,50000,1,1227.9526680062513
201611,20평 미만,4159.521,2080000,88,1650.1900098593085
201611,20~30평,8002.0285,3573580,97,1473.7280678268014
201611,30~40평,2610.8835,1054250,23,1332.5087082591008
201611,40~50평,271.49,97100,2,1180.2644664628529
201611,50평 이상,257.26,135000,1,1731.711109383503
201612,20평 미만,2740.6532,1409450,59,1697.1081930395278
201612,20~30평,4738.746,2127300,57,1481.423566487843
201612,30~40평,2602.42,1115850,23,1414.9541580528892
201701,20평 미만,2771.352,1402780,59,1670.3666658006634
201701,20~30평,5659.1358,2577150,68,1502.8080789296484
201701,30~40평,2313.9598,1058400,21,1509.4125662857236
201701,40~50평,134.37,54500,1,1338.4684081268138
