년월,데이터 건수,평당 거래가
201512,491,1519.2274217449683
201601,502,1532.5713653054754
201602,566,1545.3066854902243
201603,833,1508.351080522009
201604,921,1547.4421444249713
201605,900,1548.1444050139282
201606,1415,1571.2943744347313
201607,1216,1587.5519502983898
201608,1107,1598.5783097858036
201609,1154,1636.7766038990712
201610,1250,1674.4837257989973
201611,651,1665.4722349844424
201612,438,1626.604094573577
201701,346,1629.3818612387088
201702,545,1651.6996317564915
201703,850,1654.8526479607044
201704,911,1665.6844415062376
201705,1464,1716.4967999876417
201706,1510,1739.4890798023687
201707,1886,1781.9063931642513
201708,396,1764.9554356057126
201709,518,1790.2986437335414
201710,456,1807.1171668827142
201711,571,1841.739147718285
201712,571,1890.7596628455024
201801,1049,1885.2553331331324
201802,955,1899.6963264834606
201803,903,1866.8155580420298
201804,405,1857.4928130946837
201805,455,1837.9965567885336
201806,504,1857.799729548443
201807,670,1959.3756806345111
201808,1880,1965.1162285454202
201809,1027,2044.5307835016145
201810,367,2135.589536276426
201811,172,2049.1933588803963
201812,190,2097.266126839128
201901,153,1969.2727411442052
201902,144,2080.9983744274173
201903,219,2021.5682565481816
201904,285,2077.3117095689367
201905,429,2167.6060352278414
201906,673,2258.5570079030267
201907,875,2216.4145024141058
201908,590,2250.403013798537
201909,649,2236.201613752915
201910,1127,2300.243920645736
201911,1119,2388.5269542592864
201912,1039,2399.074863697774
202001,815,2444.85920244604
202002,1165,2444.709068717718
202003,649,2449.2550083731876
202004,392,2385.639153733624
202005,653,2498.4215082480364
202006,1836,2614.3566378446408
202007,972,2822.4198123893975
202008,401,2893.710471133711
202009,325,3048.4812967027324
202010,416,3027.1211174033333
202011,641,3246.1789503753557
202012,803,3351.566051612761
202101,603,3344.268263299019
202102,389,3326.337093528399
202103,344,3445.7216808871804
202104,405,3591.539769470318
202105,526,3592.7398915740323
202106,391,3609.4644929474084
202107,477,3664.0215304666663
202108,318,3763.8722664502757
202109,224,3897.612036848011
202110,155,3816.3469268439853
202111,87,3998.414586993678
202112,59,3758.742897435417
202201,68,3463.68654169856
202202,58,3731.240409251658
202203,156,3854.3075390795807
202204,151,3850.78727397521
202205,104,3673.8376209688636
202206,77,3699.507617935711
202207,46,3493.178457227997
202208,48,3521.2377800548334
202209,33,3239.8789108594237
202210,44,3058.4390459771607
202211,48,3140.29373990316
202212,58,2949.953563675115
202301,134,3117.832091039781
202302,193,3172.2976073110067
202303,194,3092.0469785960113
202304,219,3070.9696006476092
202305,239,3161.8228825487595
202306,284,3133.692099478226
202307,296,3168.7557520333585
202308,314,3181.521302800528
202309,264,3259.0280581797015
202310,203,3130.4725151991142
202311,159,3057.55999731681
202312,154,3007.677439481056
202401,193,3003.7797961049946
202402,217,3074.698673373734
