년월,데이터 건수,평당 거래가
201512,188,1645.4011964139638
201601,184,1646.7320053791036
201602,191,1642.8128094024428
201603,298,1675.278697914756
201604,352,1722.978309821555
201605,308,1718.8849755432414
201606,431,1726.120959081482
201607,439,1741.9299217080559
201608,404,1802.913176511421
201609,381,1814.1280608915924
201610,465,1783.407446572536
201611,239,1850.6810754486125
201612,162,1803.5958999961613
201701,174,1773.9992710341826
201702,234,1841.3947416627507
201703,312,1811.6909801405234
201704,337,1848.6385719904374
201705,456,1905.9222711891377
201706,440,1937.086530936739
201707,536,1942.293290990947
201708,300,1970.7439149767981
201709,261,1936.9976611364227
201710,237,1949.926381163951
201711,284,1985.9128375437106
201712,303,2046.470273198783
201801,497,1994.210217032173
201802,366,1969.3248688552858
201803,374,2003.2931801321286
201804,150,2053.1256075180813
201805,153,2097.8221187431936
201806,185,2234.88460288465
201807,236,2292.2973329409233
201808,535,2492.9542514915906
201809,234,2447.986485500669
201810,147,2387.136830354983
201811,123,2317.634961628032
201812,90,2323.613069493657
201901,106,2437.816257921038
201902,68,2368.8719446606046
201903,91,2438.5499739894844
201904,94,2492.7948600275354
201905,122,2428.4900499947516
201906,196,2670.826527791073
201907,293,2647.5098298027256
201908,288,2777.8143256088197
201909,223,2819.3632091376758
201910,382,2688.370749302743
201911,458,2719.6606093062765
201912,439,2819.747181159635
202001,287,2681.9463438224097
202002,348,2779.2313994589954
202003,183,2719.4862573698674
202004,125,2891.1382981618603
202005,228,2732.490954264949
202006,567,3114.77179720786
202007,415,3202.966088838198
202008,212,3474.5273285758185
202009,167,3490.8856678519737
202010,173,3482.9370428942825
202011,245,3782.177885546881
202012,300,3891.544397407526
202101,320,3768.2613002781686
202102,123,3781.8462817620757
202103,150,3716.3583915629793
202104,123,3551.59590079032
202105,187,3510.4996507352935
202106,141,3985.6682294540756
202107,202,3784.436498285935
202108,149,3994.447176505296
202109,102,4334.945955181079
202110,121,4169.301387342092
202111,59,4071.267203212159
202112,46,3952.533934945021
202201,43,3923.4037565111976
202202,47,3857.036624580188
202203,72,3704.749864709553
202204,82,3881.946128069132
202205,69,3914.9451908994365
202206,43,4021.435342478796
202207,35,4093.820172015854
202208,45,3430.137220713076
202209,26,3679.656703161801
202210,25,3124.8643920424042
202211,33,3525.596948556445
202212,29,3519.0874583516857
202301,85,3432.6256289348
202302,111,3566.3898634622537
202303,126,3475.1300045227317
202304,156,3531.9439519134917
202305,163,3567.8401614598733
202306,190,3693.0890217206793
202307,159,3608.7292111941742
202308,147,3664.7224812060354
202309,131,3757.726580885266
202310,92,3517.4150435085658
202311,93,3544.6892690910963
202312,71,3663.754141225863
202401,104,3666.066273431099
202402,117,3573.774131420995
