년월,데이터 건수,평당 거래가
201512,190,2068.449114172147
201601,200,2109.514493929921
201602,272,2230.6990058065467
201603,340,2064.987640114538
201604,365,2103.1222408953586
201605,421,2132.382248035919
201606,592,2200.705919576889
201607,564,2219.196390934041
201608,440,2242.124978367112
201609,508,2194.2579518133302
201610,528,2243.292540421449
201611,236,2263.6748652689616
201612,150,2199.9400063432536
201701,139,2210.13776349602
201702,229,2207.4608271504617
201703,333,2288.0098919988613
201704,387,2308.62606353516
201705,552,2306.289711594109
201706,504,2335.824466525522
201707,574,2408.2010041064495
201708,188,2396.725335843882
201709,267,2448.5901162270807
201710,269,2518.937193775904
201711,312,2481.723959754451
201712,373,2573.832939671837
201801,541,2601.9327051026025
201802,333,2663.252552555209
201803,297,2618.3903226058837
201804,148,2590.004514244551
201805,172,2655.742921421404
201806,197,2807.3381416096527
201807,265,2877.5407120613722
201808,516,3100.3066215016797
201809,148,3071.638555837884
201810,74,3025.115854898351
201811,44,2934.499558405274
201812,33,2816.591338479856
201901,46,2763.0465051334963
201902,32,2752.2746659835893
201903,45,2710.9921683592697
201904,85,3120.0986062726347
201905,126,3180.793678177954
201906,231,3340.057262547866
201907,348,3473.845085257214
201908,221,3355.955248771262
201909,235,3347.697623149471
201910,425,3515.7502365231794
201911,522,3564.8206117085365
201912,311,3505.2064032478997
202001,207,3361.4293877632513
202002,281,3563.6046148982773
202003,125,3480.575189319925
202004,53,3099.075364690091
202005,155,3626.160665946615
202006,562,3768.8285435338644
202007,513,3978.218007142266
202008,228,4062.441219332365
202009,151,4096.1774277423065
202010,165,4227.58490672101
202011,224,4489.4306712907555
202012,293,4722.297195130195
202101,205,4465.005054446379
202102,118,4631.59821423599
202103,117,4338.790489595124
202104,112,4579.77993030011
202105,262,5465.944233198219
202106,145,4551.641387450583
202107,162,4841.839168597432
202108,148,5048.712127299981
202109,107,4672.268761486206
202110,73,4956.73108335637
202111,52,5299.220305715402
202112,40,4629.748202765272
202201,32,4753.7637134833885
202202,32,4568.077289663014
202203,48,4639.553705804578
202204,74,4875.94203709968
202205,75,4430.1510915023955
202206,165,5095.982533295293
202207,14,4470.628330989497
202208,26,4571.35970223974
202209,22,3785.8018145228375
202210,21,4280.010187203117
202211,16,4169.2141346199205
202212,25,4167.092133880622
202301,44,3975.029877937966
202302,67,4310.472153721613
202303,106,4212.881627597631
202304,112,4478.238962981572
202305,124,4621.767302100645
202306,137,4310.263700865768
202307,151,4494.721020545942
202308,141,4505.709073009443
202309,132,4433.325291988391
202310,97,4347.764475398765
202311,56,4192.6035324088
202312,79,4532.524979474662
202401,140,4221.188548443561
202402,101,4641.537285175295
