년월,데이터 건수,평당 거래가
201512,256,3212.855951272997
201601,218,3124.8130881673264
201602,227,3206.7906797831783
201603,354,3473.1892039803083
201604,545,3500.4006183354218
201605,569,3573.323073809527
201606,603,3669.561859156089
201607,480,3509.911465553352
201608,506,3709.7682003108175
201609,485,3667.923393482962
201610,489,3675.2430499477045
201611,218,3386.6451893028525
201612,177,3339.308481681745
201701,177,3568.955131371091
201702,271,3609.802291954685
201703,423,3708.4558401680574
201704,550,3741.74074068326
201705,792,3929.7394913298776
201706,546,3959.1777638559115
201707,672,4143.919354311647
201708,239,3759.7819854321365
201709,379,3993.1641255107397
201710,349,4017.3890502719096
201711,420,4254.086072629193
201712,475,4069.3831642348555
201801,653,4345.405558881877
201802,276,4164.341963630035
201803,309,4009.921603244717
201804,157,4129.597335907399
201805,164,4430.897471717507
201806,164,4566.4432279518805
201807,290,4927.227193886635
201808,603,5319.3824009631735
201809,269,4942.810369832953
201810,116,4546.402881429315
201811,64,5030.150344045811
201812,57,4405.949066388302
201901,46,4023.8331687345676
201902,42,4528.484527240579
201903,68,5275.650170326248
201904,128,5005.01577273104
201905,267,5540.281861032999
201906,353,5650.897564456172
201907,506,5520.711181713577
201908,246,5440.550005727356
201909,330,5779.227817375267
201910,483,5704.365814997985
201911,443,5491.613789476711
201912,325,5598.345541146413
202001,123,4486.75124716024
202002,190,5075.834378723081
202003,126,5098.309951822414
202004,95,5865.799982475292
202005,219,5837.229832422245
202006,577,5895.19907802144
202007,478,5934.309420626655
202008,296,6023.420941395847
202009,209,6156.003935014869
202010,240,6493.393406278437
202011,338,6612.290462084074
202012,465,6794.779063900575
202101,297,6899.34984120283
202102,211,6670.872319519489
202103,221,6475.450727927661
202104,213,7042.652303225022
202105,274,6601.437806590731
202106,198,6867.056839477836
202107,204,7543.939039735639
202108,175,7633.939540619877
202109,134,7770.9568964657365
202110,124,7970.073555195119
202111,80,7245.972510386547
202112,80,7249.21491314247
202201,56,8954.070409560683
202202,41,7295.76199534982
202203,135,7773.34116927917
202204,140,8440.286121804476
202205,100,8170.855247978686
202206,55,8898.279048395265
202207,39,7556.263521820918
202208,25,6616.189952457597
202209,21,8352.601827618559
202210,17,5703.095770341119
202211,31,7765.9941663552345
202212,32,7167.258954785671
202301,52,7737.8369585491055
202302,88,7940.629261252068
202303,129,7913.251016371878
202304,158,7504.31206362896
202305,155,8083.011627133744
202306,187,8199.884833026344
202307,198,7595.322967090579
202308,202,8314.643512387454
202309,158,8557.91713934867
202310,92,7429.63322240323
202311,76,7139.631011020518
202312,73,8027.628637233322
202401,96,8371.174920204965
202402,99,8283.228668276968
