년월,데이터 건수,평당 거래가
201512,163,1502.1303637531864
201601,170,1478.1931149845918
201602,179,1436.2285569165092
201603,278,1473.7388498556384
201604,266,1503.3320786489624
201605,285,1492.5852524420482
201606,350,1497.8639138254523
201607,297,1516.1749926657574
201608,357,1508.1649128844745
201609,330,1529.4336518525176
201610,363,1507.3193043274302
201611,211,1496.731919355516
201612,139,1522.8977722591967
201701,149,1544.8681665551594
201702,207,1536.5600738656724
201703,261,1561.3249255220562
201704,290,1571.4347780280552
201705,369,1541.138048143533
201706,348,1589.141873814389
201707,429,1623.497441218165
201708,221,1608.3155892530426
201709,227,1620.155804908563
201710,193,1591.9666273372181
201711,239,1663.0456607040928
201712,207,1699.031197817454
201801,362,1655.9706568540412
201802,311,1696.0937918943757
201803,385,1672.846398867294
201804,185,1649.520241078233
201805,214,1729.6569261259679
201806,216,1693.2466918456462
201807,177,1730.8742838183098
201808,459,1795.2666952703569
201809,280,1896.0424207830672
201810,162,1918.5576659642836
201811,70,1859.6564762665357
201812,65,1933.2019763541985
201901,77,1824.9617056809932
201902,62,1968.03154043538
201903,86,1925.0223739705493
201904,113,2049.6974314976105
201905,116,2048.3806639267946
201906,161,1962.6938544039167
201907,240,2053.2512671562354
201908,236,2079.347285212042
201909,239,2105.440570557378
201910,325,2107.2672314653696
201911,267,2183.0836611138666
201912,430,2315.417852284247
202001,237,2130.198704331325
202002,367,2245.013489157205
202003,220,2287.293063893186
202004,145,2270.5718025668857
202005,233,2346.1918778823915
202006,498,2404.2294391141586
202007,362,2504.693116374155
202008,167,2707.521145325292
202009,110,2613.1505784129954
202010,172,2669.492150093369
202011,174,2779.5571354878016
202012,217,2800.4951753152277
202101,180,2956.9631875635146
202102,167,2957.262009270676
202103,173,3090.515164665441
202104,117,3024.082075428179
202105,172,3085.308887019486
202106,186,3131.4731938524983
202107,207,3254.8980403074593
202108,168,3367.947578712623
202109,109,3293.691904695418
202110,80,3370.748620942403
202111,46,3443.5117917628418
202112,46,3168.108617753067
202201,43,3241.398844500116
202202,31,3038.4782186808734
202203,39,3010.142121474853
202204,71,3369.9085772382
202205,180,3378.1052638767396
202206,42,3141.173905130234
202207,33,3232.3670067395346
202208,25,3086.5439100068074
202209,32,3041.71548900646
202210,23,2966.193789311997
202211,17,2807.146752538499
202212,17,2747.4292942546554
202301,43,2775.292214043111
202302,59,2713.836796139514
202303,63,2942.561818372355
202304,114,2907.107244741053
202305,67,2898.4655182550414
202306,149,2895.852686205415
202307,93,2920.5947421531473
202308,73,2998.2814314898314
202309,104,2891.760369512764
202310,73,3154.3486608968087
202311,56,2978.518304922778
202312,57,2698.419911161817
202401,82,2743.8425349481545
202402,65,2978.974011636069
