년월,평수 범위,전용면적,거래금액,데이터 건수,평당 거래금액
201512,20평 미만,5153.536,3844826,101,2461.9845092767373
201512,20~30평,9777.14,5509163,119,1859.4638002524255
201512,30~40평,1997.515,1172650,18,1937.279569865558
201512,40~50평,280.82,145000,2,1703.9384659212308
201512,50평 이상,417.26,182000,2,1439.3903082011216
201601,20평 미만,6308.459,4895390,122,2560.81350453415
201601,20~30평,7245.515,4139700,87,1885.443615809228
201601,30~40평,2978.61,1681550,27,1862.9881051900047
201601,40~50평,566.27,317000,4,1847.3519699083477
201601,50평 이상,595.9000000000001,350000,3,1938.2446719248192
201602,20평 미만,6321.589,4819250,123,2515.748018417521
201602,20~30평,7804.954,4381993,94,1852.743385803427
201602,30~40평,1993.169,1031400,18,1707.6424527975298
201602,40~50평,553.04,250600,4,1495.3348763199767
201603,20평 미만,10646.598,8262175,204,2560.928617761279
201603,20~30평,14373.608,8518237,174,1955.6803065729912
201603,30~40평,4749.658,2838750,43,1972.3262180140125
201603,40~50평,1102.27,620800,8,1858.5645985103467
201603,50평 이상,190.32,80000,1,1387.1374527112232
201604,20평 미만,14633.961,12233940,271,2758.7884100552133
201604,20~30평,16021.832,9814446,194,2021.4711900611615
201604,30~40평,6303.825,3550100,56,1858.4478471404266
201604,40~50평,275.62,144267,2,1727.3097017632972
201604,50평 이상,394.07000000000005,209000,2,1750.1966655670308
201605,20평 미만,12303.027,9883155,226,2650.9257843618484
201605,20~30평,19609.198,12143780,238,2043.6569613912816
201605,30~40평,6772.677,3986350,61,1942.3567667555974
201605,40~50평,839.0699999999999,486800,6,1914.5482498480462
201606,20평 미만,13665.621,10719875,251,2588.655685680146
201606,20~30평,25229.364,15835650,307,2071.3025108361826
201606,30~40평,7485.581,4800050,67,2116.0902540497523
201606,40~50평,1236.4,603950,9,1611.9661921708182
201606,50평 이상,542.74,297000,3,1805.837049047426
201607,20평 미만,12291.792,9733440,227,2613.1545343429175
201607,20~30평,25964.909,16316063,316,2073.6836743775993
201607,30~40평,6956.306,4395150,63,2085.0139427448994
201607,40~50평,680.14,396800,5,1925.2506836827713
201608,20평 미만,13920.169,10856035,252,2573.5977415216726
201608,20~30평,28606.303,18574600,348,2142.750847601663
201608,30~40평,10691.714,6614600,95,2041.5978205178328
201608,40~50평,1735.1100000000001,899050,12,1709.9002368725899
201609,20평 미만,11987.698,9085050,220,2500.9526432848074
201609,20~30평,32671.583,20521035,396,2072.731385559126
201609,30~40평,10980.594000000001,6889619,99,2070.538506386813
201609,40~50평,1932.71,965283,14,1648.169616755747
201609,50평 이상,617.8299999999999,286000,3,1527.6046808992767
201610,20평 미만,12513.501,9965230,232,2627.982288889416
201610,20~30평,30002.151,19614240,363,2157.4117135801357
201610,30~40평,14003.123,8478575,125,1998.0755364356935
201610,40~50평,3818.52,1947491,27,1683.039580779988
201610,50평 이상,572.37,210800,3,1215.367681744326
201611,20평 미만,4432.247,3360750,84,2502.224041214309
201611,20~30평,14060.411,8818031,170,2069.605383512616
201611,30~40평,4592.026,2920081,41,2098.4783840509613
201611,40~50평,1091.58,511488,8,1546.300225361403
201611,50평 이상,180.17,57300,1,1049.5087972470444
201612,20평 미만,3931.103,2963650,75,2487.86282119802
201612,20~30평,7849.245,5156650,94,2167.9722062440396
201612,30~40평,2577.712,1700650,23,2177.1807711645056
201612,40~50평,441.77,258500,3,1930.982185300043
201612,50평 이상,417.26,187000,2,1478.9339979868666
201701,20평 미만,3604.233,2909892,66,2664.2682645655814
201701,20~30평,6764.817,4658410,81,2272.4565941695096
201701,30~40평,2822.026,1903767,26,2226.213046938618
201701,50평 이상,244.59,92000,1,1241.260885563596
201702,20평 미만,5875.408,4746520,114,2665.9452415900305
201702,20~30평,12091.681,7663588,145,2091.507409102175
201702,30~40평,4095.17,2612700,37,2105.385124427069
201702,40~50평,1025.36,540210,7,1738.602051962238
201702,50평 이상,482.75,255000,2,1743.1382703262557
201703,20평 미만,9187.861,7015673,173,2519.8161900794967
201703,20~30평,21340.906,13819263,257,2136.908709499025
201703,30~40평,6267.404,4342000,57,2286.2097289404032
201703,40~50평,279.08000000000004,131700,2,1557.2953991686968
