년월,평수 범위,전용면적,거래금액,데이터 건수,평당 거래금액
201512,20평 미만,1399.5022999999999,708150,25,1669.8043297249317
201512,20~30평,2501.2048,1138150,30,1501.634332382538
201512,30~40평,1784.271,681650,15,1260.7081547590024
201601,20평 미만,2085.69,1005611,36,1591.0879852710611
201601,20~30평,3320.5303,1417050,40,1408.2886098042834
201601,30~40평,1177.2359999999999,429950,10,1205.2256302049886
201601,40~50평,159.28,41000,1,849.4475138121546
201602,20평 미만,2356.6243,1149350,41,1609.4440679407405
201602,20~30평,3596.6277,1584800,43,1454.095457252915
201602,30~40평,1528.22,560300,13,1209.897789585269
201602,40~50평,134.45,35000,1,859.0554109334325
201603,20평 미만,3520.224,1692750,65,1586.8521434999589
201603,20~30평,7374.8973,3235650,90,1447.836432922259
201603,30~40평,1621.8035,619200,14,1259.9306882738877
201604,20평 미만,3664.416,1751150,67,1577.0029931099525
201604,20~30평,6298.5385,2739600,76,1435.3615525252405
201604,30~40평,818.5975,314250,7,1266.8313792798049
201604,40~50평,134.18,41000,1,1008.3469965717692
201605,20평 미만,4752.646,2407170,84,1671.4186160719732
201605,20~30평,6577.7752,2911900,79,1460.8693225028426
201605,30~40평,1717.135,705100,15,1355.0652686014785
201605,40~50평,303.1,79800,2,868.8221709006928
201606,20평 미만,6026.5069,3198380,108,1751.3717606462872
201606,20~30평,8393.7146,3840250,100,1509.7993682082067
201606,30~40평,2202.596,897600,19,1344.813120517789
201607,20평 미만,5279.8601,2861500,93,1788.48488807497
201607,20~30평,9567.2339,4629600,113,1596.8753518192966
201607,30~40평,2900.435,1104470,25,1256.6221963257235
201607,40~50평,149.4,42300,1,934.3373493975903
201608,20평 미만,4116.982,2163550,73,1734.2108855467427
201608,20~30평,8250.1718,3948650,98,1579.4271096269777
201608,30~40평,2769.0295,1169500,24,1393.755465588214
201609,20평 미만,4289.413,2359120,74,1814.9560324454653
201609,20~30평,10589.7839,5168550,126,1610.6291838495401
201609,30~40평,1863.683,768800,16,1361.3044707710485
