년월,평수 범위,전용면적,거래금액,데이터 건수,평당 거래금액
201512,20평 미만,5415.7241,2989227,106,1821.446018640425
201512,20~30평,8655.4078,4365650,104,1664.4675020395916
201512,30~40평,3013.514,1394950,26,1527.5638341152553
201512,40~50평,1825.3686,831877,13,1503.9121961449318
201512,50평 이상,165.8299,85000,1,1691.4923062728735
201601,20평 미만,6824.0575,3887050,138,1879.7123265740358
201601,20~30평,8941.8396,4462050,107,1646.7265863279408
201601,30~40평,2379.255,1160900,21,1610.1552796988972
201601,40~50평,1146.0027,509272,8,1466.486597282886
201601,50평 이상,165.8299,72000,1,1432.7934829605515
201602,20평 미만,7802.6069,4495300,160,1901.222269700656
201602,20~30평,10680.1661,5505400,128,1701.0802856333853
201602,30~40평,2050.6116,1054100,17,1696.337814532991
201602,40~50평,749.279,290700,5,1280.3108054543102
201603,20평 미만,14939.5186,8547700,300,1888.107023743054
201603,20~30평,20342.7977,10429360,244,1691.8463481549543
201603,30~40평,5609.6199,2809320,49,1652.6531503498124
201603,40~50평,1242.623,511500,9,1358.3765953149102
201603,50평 이상,521.5499,230500,3,1458.441464565519
201604,20평 미만,21500.6824,12886250,423,1977.826759582291
201604,20~30평,26137.0523,14134077,313,1784.5338320725632
201604,30~40평,7285.7655,3650400,63,1653.404848124744
201604,40~50평,2411.712,1032450,17,1412.7246536899927
201605,20평 미만,21547.7139,12878925,416,1972.3880081775173
201605,20~30평,29208.3358,16072932,350,1815.9430911500272
201605,30~40평,8825.508,4315850,78,1613.7660291056334
201605,40~50평,2183.9032,969900,16,1465.573199398215
201605,50평 이상,853.2097000000001,364500,5,1409.794098684063
201606,20평 미만,19922.323,12687870,383,2101.661086410455
201606,20~30평,37528.1114,21814190,446,1918.210757602899
201606,30~40평,10934.0824,5871678,96,1772.1228623629177
201606,40~50평,4768.1005000000005,2209016,34,1528.8588820642517
201606,50평 이상,497.4897,244500,3,1621.8426230734021
201607,20평 미만,15478.1265,10125970,301,2158.8983007730294
201607,20~30평,36179.6281,20535480,431,1873.072984959732
201607,30~40평,8301.2927,4509450,73,1792.6346579732094
201607,40~50평,3256.0498,1606100,23,1627.7791574318057
201607,50평 이상,701.7948,290500,4,1365.9975821992412
201608,20평 미만,12681.6282,8302010,247,2160.3403417867116
201608,20~30평,30484.5481,17524159,364,1897.0176139826062
201608,30~40평,9216.4042,4908616,80,1757.5653637239561
201608,40~50평,2672.0249,1279307,19,1579.96772410317
201608,50평 이상,524.8599,254798,3,1602.0149377005175
201609,20평 미만,11237.7877,7621158,230,2237.9690799818186
201609,20~30평,23986.0966,14215270,287,1955.7325971913247
201609,30~40평,7044.4198,3680138,60,1723.9823498309966
201609,40~50평,2698.9325,1352500,19,1653.7093832468947
201609,50평 이상,359.03,162569,2,1494.2419853494139
201610,20평 미만,12422.5654,8473519,237,2250.953148534038
201610,20~30평,28626.9086,16909439,343,1949.2551389219861
201610,30~40평,8407.0587,4521879,72,1774.9609265842284
201610,40~50평,2531.1495,1213769,18,1582.4579701831124
201610,50평 이상,675.3497,319500,4,1561.191187321176
201611,20평 미만,5102.7446,3353806,100,2168.942533396635
201611,20~30평,11770.7673,6439708,141,1805.4079108334765
201611,30~40평,2982.4826,1712058,26,1894.3250163471198
201611,40~50평,871.812,431924,6,1634.9272549586378
201611,50평 이상,177.86,82500,1,1530.6983020353086
201612,20평 미만,3867.4892,2543580,78,2170.352279199642
201612,20~30평,8175.4632,4682923,99,1890.247136088876
201612,30~40평,2270.2446,1199850,19,1744.0873992168067
201612,40~50평,435.8826,205200,3,1553.5375809908446
201701,20평 미만,4084.9503,2531970,100,2045.43516722835
201701,20~30평,6687.9063,3839893,81,1894.7105912653112
201701,30~40평,1599.6812,857200,14,1768.3273392223398
201701,40~50평,608.2719999999999,313000,4,1698.0890128100586
201702,20평 미만,6836.927,4249750,136,2051.239540805394
201702,20~30평,9273.2175,5302900,111,1887.1087624117515
201702,30~40평,2313.8162,1430200,21,2039.77308137094
201702,40~50평,1144.0557,610900,8,1762.1257426539635
201703,20평 미만,11027.4908,7152080,258,2140.275102292536
201703,20~30평,17776.3282,10233850,213,1899.81331465291
201703,30~40평,5080.1873,2847200,44,1849.4908642443163
201703,40~50평,1569.6079,774000,11,1627.2853876436275
201703,50평 이상,343.6899,167000,2,1603.4803466729745
201704,20평 미만,9377.1075,6145580,185,2162.7579720078925
201704,20~30평,17830.0638,10624800,214,1966.4450107015318
201704,30~40평,4848.9129,2726600,43,1855.6282996957937
201704,40~50평,858.2919999999999,401800,6,1544.8588592227354
201704,50평 이상,177.86,85000,1,1577.0830990666816
201705,20평 미만,17805.0145,12675325,351,2349.25798572082
201705,20~30평,29686.9718,18427720,354,2048.4230055421144
