년월,평수 범위,전용면적,거래금액,데이터 건수,평당 거래금액
201512,20평 미만,5569.4979,2804470,108,1661.6849788200834
201512,20~30평,9159.5648,4272450,110,1539.2745515594802
201512,30~40평,2502.6625,971750,22,1281.345367183949
201512,40~50평,298.26599999999996,118000,2,1305.5460562048643
201601,20평 미만,6705.4649,3366400,127,1656.726292012952
201601,20~30평,11550.5639,5520050,139,1577.0801458446545
201601,30~40평,2185.022,941600,19,1422.0817913961507
201601,40~50평,849.856,333500,6,1294.9840914225467
201601,50평 이상,341.52,113000,2,1091.883345045678
201602,20평 미만,8242.9625,4191650,153,1678.0914628690837
201602,20~30평,11635.3781,5400820,141,1531.7685292925719
201602,30~40평,1460.792,551700,13,1246.3170663585233
201602,40~50평,559.13,229300,4,1353.334644894747
201602,50평 이상,338.398,134000,2,1306.7453117335206
201603,20평 미만,10664.7413,5191750,200,1606.4876322879018
201603,20~30평,18074.6721,8332900,219,1521.386935699929
201603,30~40평,4870.2776,2076350,43,1406.8920835231238
201603,40~50평,1116.979,416500,8,1230.506571743963
201604,20평 미만,12447.4635,6241660,232,1654.7530346242831
201604,20~30평,19280.1993,9212250,232,1576.7692297662088
201604,30~40평,4381.2541,1835450,39,1382.4774509198176
201604,40~50평,1758.022,656100,12,1231.5716185576744
201604,50평 이상,169.199,69800,1,1361.3555635671605
201605,20평 미만,12396.302,6476930,260,1724.2133178104243
201605,20~30평,18009.4197,8492830,218,1556.2044456102049
201605,30~40평,4730.144,2051750,41,1431.4099105650905
201605,40~50평,1860.3780000000002,706550,13,1253.3017483543665
201605,50평 이상,340.419,127250,2,1233.5533563050242
201606,20평 미만,14890.4926,8036680,294,1781.0723064997862
201606,20~30평,23585.1427,11404170,285,1595.6554292970209
201606,30~40평,6523.382,2879750,57,1456.7865257622502
201606,40~50평,1760.0059999999999,826900,12,1550.4322144356327
201606,50평 이상,683.04,254900,4,1231.509135628953
201607,20평 미만,13049.0965,6968300,256,1762.2208556738008
201607,20~30평,24868.5523,11966790,300,1587.9656573334184
201607,30~40평,6941.4048999999995,3040200,61,1445.335655322455
201607,40~50평,2891.27,1129300,21,1288.9456882269728
201607,50평 이상,413.72,169900,2,1355.191917238712
201608,20평 미만,10871.0676,5689680,210,1727.1481229681617
201608,20~30평,20704.2422,9986480,251,1591.7213333217285
201608,30~40평,4409.943,1940300,39,1451.943936690338
201608,40~50평,2700.244,1116400,19,1364.3655906651397
201608,50평 이상,169.199,72000,1,1404.263618579306
201609,20평 미만,11905.651,6330100,227,1754.572681493855
201609,20~30평,22129.7804,11151323,267,1662.888887049236
201609,30~40평,5833.2091,2892300,52,1636.250276027307
201609,40~50평,2238.82,950500,16,1401.028220223153
201609,50평 이상,338.398,141500,2,1379.8840418678594
201610,20평 미만,15300.2743,8129610,292,1753.4138587306243
201610,20~30평,24072.7722,12681150,290,1738.3870313033576
201610,30~40평,5516.7741,2534350,48,1515.9864892782177
201610,40~50평,1831.972,833800,13,1501.9552700587126
201610,50평 이상,169.199,69500,1,1355.5044651564133
201611,20평 미만,6239.2336,3380390,124,1787.9258439690411
201611,20~30평,11226.0176,5499950,135,1616.7652364984713
201611,30~40평,3019.977,1425200,26,1557.3496089539753
201611,40~50평,574.12,309600,4,1779.5582804988503
201612,20평 미만,5679.5762,3123550,111,1814.8739689415556
201612,20~30평,7711.7972,3757000,92,1607.6797247728452
201612,30~40평,1944.426,821100,17,1393.537218695903
