년월,평수 범위,전용면적,거래금액,데이터 건수,평당 거래금액
201512,20평 미만,2147.197,997065,43,1532.3766286931286
201512,20~30평,3317.2076,1353550,40,1346.5286284765534
201512,30~40평,345.481,127800,3,1220.7328333540775
201601,20평 미만,1905.853,861600,34,1491.86742104454
201601,20~30평,3449.787,1384700,42,1324.5774304326615
201601,30~40평,574.801,200450,5,1150.8069749356732
201602,20평 미만,2393.817,1116370,48,1538.9735305581003
201602,20~30평,3100.8486,1261870,37,1342.9133560406658
201602,30~40평,1391.63,501500,12,1189.216961404971
201602,40~50평,134.95,44700,1,1093.0715079659133
201603,20평 미만,3933.207,1850441,77,1552.5385010247364
201603,20~30평,5202.4109,2127650,63,1349.6136954503152
201603,30~40평,2071.071,697650,18,1111.6205093886208
201603,40~50평,280.98,77600,2,911.3815929959427
201604,20평 미만,4209.101,1919490,76,1504.9097182509995
201604,20~30평,5016.9892,2126190,60,1398.533407247518
201604,30~40평,1853.41,635550,16,1131.5979734651264
201604,40~50평,134.95,38700,1,946.3505001852537
201605,20평 미만,3230.32,1526718,63,1559.6502513682854
201605,20~30평,4615.4807,1898050,55,1357.0774979082894
201605,30~40평,2212.6910000000003,723200,19,1078.578075293839
201605,40~50평,150.72,68000,1,1488.8535031847134
201606,20평 미만,4600.227,2218100,91,1591.1671315350306
201606,20~30평,6369.4226,2633700,77,1364.5208593946961
201606,30~40평,934.501,320700,8,1132.486749612895
201607,20평 미만,3966.719,1884380,76,1567.6567964607525
201607,20~30평,6756.7326,2882280,81,1407.7105848468827
201607,30~40평,2999.631,1059450,26,1165.5383612184298
201608,20평 미만,3222.827,1545450,60,1582.4569547170852
201608,20~30평,5805.1206,2504150,70,1423.5182297504723
201608,30~40평,2193.9990000000003,784300,19,1179.6678120637246
201608,40~50평,285.66999999999996,111700,2,1290.3350019252987
201609,20평 미만,3698.294,1808270,68,1613.5253173490262
201609,20~30평,6816.9457,2953350,82,1429.6805972798052
201609,30~40평,3371.417,1232050,29,1205.9513848331428
201609,40~50평,706.29,270400,5,1263.3903920485918
201610,20평 미만,4928.994,2479980,92,1660.3659894899445
201610,20~30평,6930.245,3081750,83,1467.4481205209916
201610,30~40평,3913.041,1441950,34,1216.0452701620043
201610,40~50평,539.8,180800,4,1105.2982586143016
201611,20평 미만,2228.92,1068840,41,1582.4578719738706
201611,20~30평,4388.853,1902200,53,1430.2734678058252
201611,30~40평,1354.853,496400,12,1209.0758185574375
201612,20평 미만,1908.36,901100,35,1558.2122869898762
201612,20~30평,3345.2197,1461300,40,1441.5465746539755
201612,30~40평,1038.05,359150,9,1141.7513607244352
201612,40~50평,269.9,88500,2,1082.0674323823637
201701,20평 미만,2055.11,1015050,39,1629.9200529412049
201701,20~30평,2970.6247,1276400,35,1417.9239807707786
201701,30~40평,918.581,397300,8,1427.299280085262
201702,20평 미만,1412.117,701790,30,1640.0248704604505
201702,20~30평,3643.6828,1579650,44,1430.6527999638167
201702,30~40평,1371.99,549900,12,1322.6554129403273
201702,40~50평,431.09999999999997,148800,3,1139.0396659707726
201703,20평 미만,3695.253,1828140,68,1632.5978221247638
201703,20~30평,5559.3267,2418950,67,1435.881614944486
201703,30~40평,1263.6200000000001,485500,11,1267.9049081211122
201704,20평 미만,4094.6191,2067240,77,1666.0626625807515
201704,20~30평,5556.5114,2497550,68,1483.289497075449
201704,30~40평,1621.53,581140,14,1182.6867217997815
201704,40~50평,134.95,48000,1,1173.768062245276
201705,20평 미만,4546.544,2229510,83,1618.2364010993845
201705,20~30평,6733.4472,2983720,82,1462.293489135847
201705,30~40평,2920.316,1141750,25,1290.1942803450038
201705,40~50평,420.62,162000,3,1270.9809329085633
201706,20평 미만,4737.9469,2330033,88,1622.8778123283737
201706,20~30평,6379.444,2832400,77,1465.1621677375017
201706,30~40평,3146.44,1098750,27,1152.3737938749825
201706,40~50평,825.4699999999999,307500,6,1229.299671702182
201707,20평 미만,4787.644,2462770,88,1697.5240849152526
201707,20~30평,7060.2433,3078220,84,1438.7784624929284
201707,30~40평,2773.018,1018500,24,1212.0548802784547
201708,20평 미만,2109.284,1100400,42,1721.588937288672
201708,20~30평,3144.3616,1384400,38,1452.9244982510916
201708,30~40평,1626.2240000000002,552500,14,1121.1555111718924
201708,40~50평,134.95,52000,1,1271.5820674323825
201709,20평 미만,2442.051,1357650,45,1834.623846922116
201709,20~30평,3289.522,1623150,40,1628.3201632334424
201709,30~40평,1498.882,566650,13,1247.5598479399978
201710,20평 미만,2705.3277,1362750,49,1662.303239640802
201710,20~30평,2903.2486,1294000,35,1470.8351189767213
201710,30~40평,1946.23,713500,17,1209.8004860679364
201711,20평 미만,2238.46,1216040,41,1792.71999499656
201711,20~30평,2591.7288,1231600,31,1568.1733366546684
201711,30~40평,1379.642,506800,12,1212.2275198928417
201712,20평 미만,2455.467,1311610,49,1762.7249724797766
201712,20~30평,1999.34,1035450,24,1709.0564886412517
201712,30~40평,819.351,307100,7,1236.8691806075783
201801,20평 미만,3120.44,1710750,58,1809.191972926895
201801,20~30평,4293.4676,2024800,52,1556.2805225314846
201801,30~40평,1239.3110000000001,478550,11,1274.2685250110744
201802,20평 미만,2267.903,1230000,42,1789.7590858162805
201802,20~30평,4612.793,2206350,56,1578.4265628221342
201802,30~40평,1407.85,590300,12,1383.6630322832686
201803,20평 미만,3932.7236,2158390,73,1811.133383490261
201803,20~30평,6593.1657,3206700,79,1605.0119899155575
201803,30~40평,2103.792,895550,18,1404.7562686805538
201803,40~50평,432.23,170000,3,1297.920088841589
201804,20평 미만,2061.207,1158170,39,1854.2344364248715
201804,20~30평,3225.5979,1682700,39,1721.513397562666
201804,30~40평,906.28,331600,8,1207.4414088361211
201804,40~50평,134.95,58000,1,1418.303075213042
201805,20평 미만,2478.484,1392150,44,1853.590743373772
201805,20~30평,2812.346,1280130,34,1502.1014483993079
201805,30~40평,1622.321,624150,14,1269.5976936746797
201805,40~50평,269.9,103000,2,1259.355316783994
201806,20평 미만,2034.2284,1237700,38,2007.8423838739052
201806,20~30평,4170.5597,2111400,51,1670.6678482506795
201806,30~40평,1494.1846,638400,13,1409.9462676833905
201806,40~50평,134.95,48500,1,1185.9948128936642
201807,20평 미만,3149.944,1758550,59,1842.3232286034292
201807,20~30평,4884.938,2586510,58,1747.3063117689517
201807,30~40평,2183.933,851600,19,1286.797717695552
201807,40~50평,269.9,102500,2,1253.2419414598
201808,20평 미만,7353.7698,4147030,134,1860.9773452522268
201808,20~30평,12708.082199999999,6544750,151,1699.5227651265902
201808,30~40평,4244.4148000000005,1646200,36,1279.9078921315604
201809,20평 미만,4310.9062,2321860,75,1777.3845322823306
201809,20~30평,6473.8907,3296150,78,1680.1789687305038
201809,30~40평,4373.311,1672400,38,1261.9546151645743
201809,40~50평,404.84999999999997,176000,3,1434.6054094108931
201810,20평 미만,2479.0679,1443150,46,1921.0425821737274
201810,20~30평,3435.9232,1808650,42,1737.1008176201376
201810,30~40평,2396.209,947900,21,1305.424526825498
201811,20평 미만,1206.7361,663250,23,1813.7561311043896
201811,20~30평,2574.7032,1447100,31,1854.7497047426668
201811,30~40평,1033.66,401100,9,1280.5274461621807
201812,20평 미만,1183.4098,747300,22,2083.885058244405
201812,20~30평,1129.2552,669700,14,1957.050983692614
201812,30~40평,675.97,272000,6,1327.8695800109472
201812,40~50평,269.9,113700,2,1390.1815487217489
201901,20평 미만,1431.8464,869800,26,2004.6423973968158
201901,20~30평,1088.5305,540350,13,1638.1304887644396
201901,30~40평,834.171,341300,7,1350.1907882196815
201902,20평 미만,1359.88,756730,24,1836.345118686943
201902,20~30평,1475.3391,693200,18,1550.5316709900794
201902,30~40평,459.0,174300,4,1253.1372549019607
201903,20평 미만,2092.6235,1164850,38,1836.9310102844586
201903,20~30평,3075.4031,1733500,37,1860.0976242756599
201903,30~40평,689.09,249000,6,1192.442206388135
201903,40~50평,134.95,56000,1,1369.396072619489
201904,20평 미만,1406.103,791600,26,1857.8155369841327
201904,20~30평,3567.4627,1927700,43,1783.1749158862963
201904,30~40평,1493.161,576900,13,1274.9931186255199
201905,20평 미만,2060.7849,1442500,43,2309.92084617856
201905,20~30평,3938.6847,2405450,48,2015.3898076685346
201905,30~40평,764.5228,375600,7,1621.2466129198501
201905,40~50평,293.15,95500,2,1075.046904315197
201906,20평 미만,2641.1254,1784700,51,2229.9244102532957
201906,20~30평,2883.3166,1599050,35,1830.1372107384948
201906,30~40평,935.19,367300,8,1296.0895646873896
201906,40~50평,286.54999999999995,102300,2,1178.119001919386
201907,20평 미만,4006.2943,2663380,80,2193.8363339907405
201907,20~30평,4981.3047,2928900,60,1940.3290065753256
201907,30~40평,1952.559,811350,17,1371.2543385372735
201907,40~50평,134.95,55000,1,1344.9425713227122
201908,20평 미만,3572.6673,2527000,71,2334.1384180945142
201908,20~30평,5168.7379,3248820,62,2074.2212523486633
201908,30~40평,932.99,436900,8,1545.3220291750179
201909,20평 미만,4808.8574,3184256,90,2185.1437724063103
201909,20~30평,6006.3438,3771500,72,2072.1341325816215
201909,30~40평,1483.5520000000001,673400,13,1497.9050279329608
201910,20평 미만,5408.9135,3471400,99,2117.9151783440425
201910,20~30평,9308.2711,6184850,112,2192.6741046465654
201910,30~40평,3612.415,1643000,31,1500.907287783934
201910,40~50평,452.15999999999997,279000,3,2036.2261146496814
201911,20평 미만,4277.0078,2931800,81,2262.0814486239656
201911,20~30평,7141.318,4540050,86,2097.9551673794667
201911,30~40평,2915.7198,1418600,25,1605.5658023106334
201911,40~50평,420.62,222000,3,1741.714611763587
201912,20평 미만,3040.3992,2160150,60,2344.591789130848
201912,20~30평,5006.8781,2994450,60,1973.622046041025
201912,30~40평,1380.9056,672300,12,1606.6195980376933
201912,40~50평,134.95,63000,1,1540.5705816969248
202001,20평 미만,3226.546,2178985,58,2228.5907282896324
202001,20~30평,4500.3727,3043900,54,2232.008473431545
202001,30~40평,1381.6768,688800,12,1645.131480820985
202001,40~50평,134.95,66000,1,1613.9310855872545
202002,20평 미만,4246.857,2985050,84,2319.5188818460333
202002,20~30평,6732.8814,4319400,81,2117.0757589759414
202002,30~40평,2620.4438,1237600,23,1558.545159411547
202003,20평 미만,5865.219,4005780,131,2253.8074025880364
202003,20~30평,3705.7221,2295090,44,2043.8113802435428
202003,30~40평,459.36,207800,4,1492.8160919540228
202003,40~50평,150.72,110000,1,2408.4394904458595
202004,20평 미만,1142.34,774450,24,2237.2367246178896
202004,20~30평,2082.8712,1216540,25,1927.426909546783
202004,30~40평,573.48,244300,5,1405.7857292320568
202005,20평 미만,2726.591,1913200,51,2315.5508105176023
202005,20~30평,3100.0963,1972350,37,2099.533166114872
202005,30~40평,1722.6000000000001,716500,15,1372.605363984674
202005,40~50평,134.95,59000,1,1442.7565765098186
202006,20평 미만,6054.9016,4525550,114,2466.483518080624
202006,20~30평,7276.002,5027100,88,2280.0199889994533
202006,30~40평,4239.148,1871300,37,1456.729040835564
202006,40~50평,404.84999999999997,207500,3,1691.367173027047
202007,20평 미만,3449.3705,2698150,80,2581.3101260070493
202007,20~30평,6501.0658,5004000,80,2540.075813415086
202007,30~40평,3025.6330000000003,1600650,26,1745.7983172446889
202008,20평 미만,1832.3466,1644900,37,2962.41442530578
202008,20~30평,3370.6242,2725300,40,2668.197184367216
202008,30~40평,1739.141,1156900,15,2195.204414133184
202008,40~50평,134.95,77800,1,1902.4824008892183
202009,20평 미만,1639.6332,1430350,35,2878.7871580058268
202009,20~30평,2348.6995,1787150,28,2511.004494189231
202009,30~40평,720.4828,470800,6,2156.387355811964
202010,20평 미만,1429.348,1167400,30,2695.2288735843194
202010,20~30평,2961.8296,1969900,36,2194.8156639396134
202010,30~40평,705.51,423500,6,1980.9074286686227
202011,20평 미만,3038.8167,3161750,59,3433.4992959595093
202011,20~30평,3869.3667,3067700,48,2616.2963567138777
202011,30~40평,1694.6218000000001,1049000,15,2042.7566788058548
202011,40~50평,134.95,55000,1,1344.9425713227122
202012,20평 미만,6755.6494,6428780,201,3140.330817049209
202012,20~30평,4278.1437,3496350,51,2696.9535876038944
202012,30~40평,1050.3020000000001,707500,9,2222.932070966255
202012,40~50평,134.95,81000,1,1980.7336050389033
202101,20평 미만,3237.1143,3318105,65,3382.564063307866
202101,20~30평,3250.2765,2655400,39,2696.0229383561673
202101,30~40평,1373.01,859650,12,2066.150282954967
202102,20평 미만,1910.1484,1788055,39,3089.06967647121
202102,20~30평,2624.3869,2261450,32,2843.6298778964338
202102,30~40평,674.5236,552500,6,2703.0188417425275
202102,40~50평,153.26,62000,1,1334.9862977945972
202103,20평 미만,3218.9894,2920650,72,2994.152450455413
202103,20~30평,4114.2811,3397150,50,2724.8004517727286
202103,30~40평,1036.401,655300,9,2086.537932711373
202104,20평 미만,2007.2044,1886540,49,3101.618350378267
202104,20~30평,2597.9452,2154100,31,2736.2124497468226
202104,30~40평,345.481,247000,3,2359.3193258095234
202105,20평 미만,2694.2236,2533800,60,3103.5063311003587
202105,20~30평,2888.5924,2576250,35,2943.1722523399285
202105,30~40평,1719.971,1061300,15,2036.2494483918624
202106,20평 미만,1730.4006,1737000,37,3312.585536551478
202106,20~30평,2338.1179,2079650,28,2935.200573076319
