년월,평수 범위,전용면적,거래금액,데이터 건수,평당 거래금액
201512,20평 미만,13994.5361,6487590,277,1529.8146967515415
201512,20~30평,13363.3424,6181670,162,1526.5275998615436
201512,30~40평,5061.1829,2312500,45,1507.7996884878432
201512,40~50평,961.904,385900,7,1323.9055040835676
201601,20평 미만,15390.8323,7231487,310,1550.5273941552855
201601,20~30평,12693.7568,5975552,154,1553.4661574735699
201601,30~40평,3203.8292,1357290,28,1398.032391988936
201601,40~50평,1368.28,601950,10,1451.7752214459028
201602,20평 미만,17658.7704,8498575,353,1588.1795201323869
201602,20~30평,13981.0789,6508226,169,1536.1579713279493
201602,30~40평,3965.3196,1717400,35,1429.2467119169914
201602,40~50평,1225.134,522500,9,1407.3970684023134
201603,20평 미만,26620.9948,12516865,544,1551.619494700476
201603,20~30평,19183.0753,8528320,234,1467.0982394569446
201603,30~40평,5212.737,2262600,46,1432.3722835048075
201603,40~50평,1228.51,572300,9,1537.3012836688345
201604,20평 미만,29970.7993,14412710,617,1586.9427613163457
201604,20~30평,20406.7464,9397310,249,1519.650530865616
201604,30~40평,5086.3444,2313857,45,1501.2212110528733
201604,40~50평,1360.88,522500,10,1267.011051672447
201605,20평 미만,30413.3418,14582426,617,1582.266299982858
201605,20~30평,19159.0929,8855591,234,1525.3044834914913
201605,30~40평,5270.9338,2285850,46,1431.1135912957207
201605,40~50평,404.45000000000005,194800,3,1589.4177277784643
201606,20평 미만,47691.5828,23156414,955,1602.2988064887627
201606,20~30평,30778.332,14384500,377,1542.281433574763
201606,30~40평,8295.9635,3854420,73,1533.2258875054115
201606,40~50평,1229.8980000000001,520250,9,1395.9084411878057
201606,50평 이상,178.33,68500,1,1267.593786799753
201607,20평 미만,39468.8227,19361832,788,1618.8485297789234
201607,20~30평,27892.7418,13283300,340,1571.5518508115972
201607,30~40평,8416.4912,3939650,74,1544.6870543867494
201607,40~50평,1905.834,787100,14,1362.88365093707
201608,20평 미만,36181.9218,18057816,719,1646.9769939085988
201608,20~30평,25546.1936,12079600,310,1560.4156385943932
201608,30~40평,8107.8735,3798800,71,1546.156338033641
201608,40~50평,946.97,352300,7,1227.6946471377128
201609,20평 미만,35616.818,18433940,706,1707.9572352589162
201609,20~30평,29913.5101,14487831,365,1598.2692148187582
201609,30~40평,8493.768900000001,3843050,74,1493.1021963642074
201609,40~50평,1245.368,568300,9,1505.8922342632861
201610,20평 미만,36123.6274,18985439,708,1734.3758976984686
201610,20~30평,33950.7464,17031030,413,1655.4098203861577
201610,30~40평,12157.3404,5938200,108,1611.8706357847807
201610,40~50평,2864.316,1224700,21,1410.9860783516904
201611,20평 미만,19124.718,9903060,379,1708.7884903714657
201611,20~30평,17417.1819,8744264,211,1656.7589042633813
201611,30~40평,5981.4224,2917140,52,1609.4101630408177
201611,40~50평,1231.908,518300,9,1388.4072511908357
201612,20평 미만,12072.4603,6302230,241,1722.7109042553654
201612,20~30평,12335.0714,6028650,149,1612.8439272755243
201612,30~40평,4465.3248,1991650,38,1471.8850910912458
201612,40~50평,1365.97,582500,10,1407.2417403017635
201701,20평 미만,10391.9318,5271750,212,1674.0655476588095
201701,20~30평,8398.4303,4078650,102,1602.6262669584814
201701,30~40평,3089.4748,1504950,27,1607.5013785514611
201701,40~50평,704.068,295500,5,1385.0224694205674
201702,20평 미만,16284.5551,8417470,330,1705.7666500204232
201702,20~30평,13757.245,6744800,167,1617.8995140378759
201702,30~40평,3829.724,1854300,34,1597.8148816990465
201702,40~50평,1913.954,894600,14,1542.4508635003767
201703,20평 미만,27468.726,14398970,551,1729.843641092055
201703,20~30평,19795.1753,9639435,243,1606.9640716947831
201703,30~40평,4635.8155,2180400,41,1552.1152642938443
201703,40~50평,1929.634,816500,14,1396.3528835001869
201703,50평 이상,172.44,45000,1,861.1691022964509
201704,20평 미만,30394.278,16175754,615,1756.2512325510743
201704,20~30평,18985.916,9223250,233,1603.121229441866
201704,30~40평,5637.634,2639550,50,1545.0657137373585
201704,40~50평,1555.5900000000001,580800,11,1232.098432106146
201704,50평 이상,350.19,113000,2,1064.850509723293
201705,20평 미만,50405.3157,27333460,1006,1789.5020941213943
201705,20~30평,30990.4601,15679470,379,1669.6186772651367
201705,30~40평,6987.0399,3244200,61,1532.2454362969931
201705,40~50평,2482.474,1006500,18,1337.959632205614
201706,20평 미만,49159.5146,27317090,984,1833.7527889260323
201706,20~30평,34700.0344,17646210,419,1678.1681634298322
201706,30~40평,10096.6479,4795450,89,1567.3503876469733
201706,40~50평,2501.54,1085850,18,1432.4396171958072
201707,20평 미만,56040.2705,32211565,1115,1896.8174769962968
201707,20~30평,50439.1097,26387850,612,1726.4362023424055
201707,30~40평,15061.7646,7353385,131,1611.1107260300694
201707,40~50평,3833.904,1746170,28,1503.000857611458
201708,20평 미만,11321.862,6457300,228,1882.118859954308
201708,20~30평,11151.9887,5768230,134,1706.8847101683307
201708,30~40평,2636.9706,1298881,23,1625.466472777512
201708,40~50평,1508.064,712300,11,1558.680533452161
201709,20평 미만,15179.072,8786940,302,1910.3211316212216
201709,20~30평,12406.9341,6490292,151,1726.2897850001473
201709,30~40평,6243.6862,3171000,56,1675.9810895044661
201709,40~50평,1231.626,573050,9,1535.4214672311236
201710,20평 미만,13778.0404,7886350,274,1888.8720198555957
201710,20~30평,11835.4614,6481386,143,1807.160116292551
201710,30~40평,3744.2604,1774450,32,1563.9096575654833
201710,40~50평,946.83,452950,7,1578.6730458477232
201711,20평 미만,17661.9841,10434685,360,1949.637158828605
201711,20~30평,12440.8231,6702650,151,1777.9165270825208
201711,30~40평,5470.2452,2874050,48,1733.8098482313003
201711,40~50평,1647.664,761600,12,1525.3595393235512
201712,20평 미만,17434.0094,10588460,352,2004.2387954660617
201712,20~30평,13540.0953,7467350,164,1819.9469393690306
201712,30~40평,4955.9248,2666250,43,1775.3750016545855
201712,40~50평,1667.63,819800,12,1622.2663300612244
201801,20평 미만,30726.0614,18441290,610,1980.6071532487404
201801,20~30평,27709.7834,15413880,336,1835.6622737079927
201801,30~40평,9810.6204,5269200,86,1772.4016719676565
201801,40~50평,2328.034,1194100,17,1692.6428050449433
201802,20평 미만,29965.9375,18317730,597,2017.2407087213605
201802,20~30평,21514.231,12025200,260,1844.5074797235375
201802,30~40평,8482.3491,4379300,74,1703.7367632039573
201802,40~50평,3277.9,1683100,24,1694.4476646633514
201803,20평 미만,27784.2248,16571144,552,1968.1951032875318
201803,20~30평,23698.551,13033920,288,1814.9605855649147
201803,30~40평,6358.5752,3238900,56,1680.9378931305237
201803,40~50평,952.294,415700,7,1440.5320205734783
201804,20평 미만,11546.2195,6985700,232,1996.5677943330281
201804,20~30평,11061.7189,6002720,134,1790.7683407142083
201804,30~40평,3735.3094,1885900,33,1666.119010114664
201804,40~50평,840.01,426500,6,1675.5157676694323
201805,20평 미만,14113.2124,8293970,279,1939.3246713979872
201805,20~30평,11733.0387,6323350,142,1778.4868467194267
201805,30~40평,2851.0258,1497600,25,1733.4392414126871
201805,40~50평,1240.53,559500,9,1488.3557834151532
201806,20평 미만,14858.5307,8882643,290,1972.7873833447072
201806,20~30평,13003.0234,7252950,156,1840.7053701064629
201806,30~40평,5023.0466,2601550,44,1709.145003751309
201806,40~50평,1922.5939999999998,858250,14,1473.1269316350722
201807,20평 미만,18179.1768,11271250,362,2046.0291139255546
201807,20~30평,20143.5906,11763927,244,1927.2114823461511
201807,30~40평,5916.6024,3319843,51,1851.650856241413
201807,40~50평,1790.29,975100,13,1797.3791955493243
201808,20평 미만,62307.4574,39078920,1221,2069.7431957799645
201808,20~30평,42807.8303,24441080,520,1884.131090848582
201808,30~40평,13253.4943,7389150,116,1839.8314020476846
201808,40~50평,3147.58,1452600,23,1522.941434371803
201809,20평 미만,32781.4114,21613680,650,2175.7801434992516
201809,20~30평,25349.86,14994550,308,1951.9640345153778
201809,30~40평,6472.9788,3611400,57,1841.1337914469918
201809,40~50평,1669.76,840750,12,1661.601068417018
201810,20평 미만,10549.56,7208550,208,2254.901152275545
201810,20~30평,10125.5502,6482475,123,2112.69186142596
201810,30~40평,3374.8245,2010900,29,1966.3155817435836
201810,40~50평,971.7239999999999,490800,7,1666.7695765464268
201811,20평 미만,5399.449,3570400,111,2182.133769575377
201811,20~30평,3718.3127,2220700,45,1970.8697442256537
201811,30~40평,1264.33,709200,11,1851.067363742061
201811,40~50평,698.034,380100,5,1796.9468535916587
201812,20평 미만,6312.9478,4342040,130,2269.73712660827
201812,20~30평,3807.2107,2218100,46,1922.59650877741
201812,30~40평,1223.5664,749300,11,2020.8874647097207
201812,40~50평,419.18,166300,3,1309.1989121618399
201901,20평 미만,4590.931,2973100,94,2137.0894051772943
201901,20~30평,4286.131,2359600,52,1816.7153547103433
201901,30~40평,835.477,463251,7,1829.767067196344
201902,20평 미만,4208.09,2853350,86,2237.607798312298
201902,20~30평,3751.5422,2208600,47,1942.769029760614
201902,30~40평,1126.468,684500,10,2005.2500381724115
201902,40~50평,139.08,71000,1,1684.6419327006038
201903,20평 미만,7643.4491,5011205,152,2163.5489794783875
201903,20~30평,4526.3115,2574650,55,1877.101255625027
201903,30~40평,1005.5419999999999,521300,9,1710.8086981946055
201903,40~50평,408.93399999999997,214500,3,1730.9639208283
201904,20평 미만,9333.3277,6342530,185,2242.5387463894576
201904,20~30평,6793.2079,3976500,83,1931.7015161570425
201904,30~40평,1412.1284,790700,13,1847.7852297284014
201904,40~50평,550.2,277000,4,1661.3958560523442
201905,20평 미만,15183.1967,10587700,303,2301.189314105375
201905,20~30평,7613.9578,4705380,92,2039.3800974310625
201905,30~40평,2846.899,1728950,25,2004.122731435151
201905,40~50평,1244.31,639600,9,1696.2654001012609
201906,20평 미만,21894.3461,15783264,433,2378.914216579412
201906,20~30평,15989.6333,10658520,195,2199.7450060346287
201906,30~40평,3636.925,2338200,32,2121.5889797012583
201906,40~50평,1490.7839999999999,755800,11,1673.0391525532875
201906,50평 이상,356.66,146000,2,1350.8663713340436
201907,20평 미만,28143.4762,19599680,552,2298.186035739252
201907,20~30평,21192.2732,13885100,258,2162.147947394336
201907,30~40평,6068.9395,3845500,53,2090.9995889726697
201907,40~50평,1516.458,961600,11,2092.5604269950104
201907,50평 이상,172.44,54500,1,1042.9714683368127
201908,20평 미만,17777.6487,12590920,348,2337.2064945799043
201908,20~30평,15574.4626,10426650,190,2209.2540772482253
201908,30~40평,4412.0638,2938000,39,2197.4750229133133
201908,40~50평,1779.1979999999999,1010650,13,1874.5215540934737
201909,20평 미만,18265.5662,13231494,363,2390.5051571847794
201909,20~30평,18194.4896,11812350,221,2142.4483927265537
201909,30~40평,6388.37,4081050,56,2108.122259668742
201909,40~50평,1226.5,741900,9,1996.1434977578472
201910,20평 미만,35615.7951,25778510,694,2388.5212378706656
201910,20~30평,27060.6216,18584580,332,2266.3601341663193
201910,30~40평,10307.7452,6640950,90,2126.0842768988896
201910,40~50평,1513.96,924400,11,2014.9277391740866
201911,20평 미만,34631.9842,26395544,684,2515.169061552067
201911,20~30평,28295.0447,20272550,344,2364.3509211349647
201911,30~40평,8210.3937,5340550,71,2146.524958967558
201911,40~50평,2778.35,1491300,20,1771.299512300466
201912,20평 미만,32529.188,24795410,706,2515.428697451655
201912,20~30평,22590.9931,15941700,276,2328.6984227355633
201912,30~40평,5738.4578,3669200,50,2110.0372995685357
201912,40~50평,961.83,536700,7,1841.396088705904
202001,20평 미만,27302.3031,21291310,547,2573.4577314834655
202001,20~30평,17642.4964,12556100,216,2348.5979002381996
202001,30~40평,4944.915,3296100,43,2199.6596503681053
202001,40~50평,1231.93,730800,9,1957.6112279106765
202002,20평 미만,39819.2113,30764690,800,2549.610443941666
202002,20~30평,24117.9155,17311860,295,2368.7427713228367
202002,30~40평,6288.028,4169600,56,2188.2345307622677
202002,40~50평,1907.054,1190900,14,2060.75444114325
202003,20평 미만,22396.8365,17438010,446,2569.3554087426587
202003,20~30평,13703.755799999999,9792950,167,2358.2392645963523
202003,30~40평,3082.1861,2095250,27,2243.3184680185277
202003,40~50평,1262.75,692400,9,1809.479311027519
202004,20평 미만,12980.2192,9884550,259,2512.978748463662
202004,20~30평,8876.4349,6136500,108,2281.3719954167636
202004,30~40평,2638.8784,1734150,23,2168.608830175729
202004,40~50평,269.554,148000,2,1811.881849276954
202005,20평 미만,21526.411,17197570,433,2636.3884346535983
202005,20~30평,14826.2442,10772650,179,2397.7579567993357
202005,30~40평,3569.8225,2443400,31,2258.7173451901317
202005,40~50평,1365.828,845650,10,2043.1891863397148
202006,20평 미만,61869.643000000004,50672740,1228,2702.7801340311594
202006,20~30평,39800.8491,31254000,486,2591.3567758533068
202006,30~40평,10079.698,7355650,88,2408.1718519741366
202006,40~50평,4671.2699999999995,2950100,34,2084.0863405455048
202007,20평 미만,30999.7515,28017860,617,2982.570295765113
202007,20~30평,20978.5351,17592700,254,2767.3958035325354
202007,30~40평,10153.6346,7900700,89,2567.7809993280634
202007,40~50평,1652.022,1041790,12,2081.029792581455
202008,20평 미만,11761.649,11111590,235,3117.6110594696374
202008,20~30평,10026.4912,8496030,122,2796.2822128642565
202008,30~40평,3333.788,2653500,30,2626.606730841913
202008,40~50평,1929.284,1459600,14,2496.615324648937
202009,20평 미만,9950.701000000001,9720200,201,3223.557817685407
202009,20~30평,7705.6032,6840150,94,2929.361195240367
202009,30~40평,2133.3688,1998000,19,3090.6048686940576
202009,40~50평,1512.48,1120200,11,2444.1050460171373
202010,20평 미만,13808.154,13487050,278,3223.259604433728
202010,20~30평,8393.288199999999,7415600,103,2915.6010632400307
202010,30~40평,3447.7934,2643200,30,2529.8963679204207
202010,40~50평,684.79,610600,5,2942.4787161027466
202011,20평 미만,20856.5058,21331700,425,3375.1871322568327
202011,20~30평,14054.876,13400050,171,3146.2508100391638
202011,30~40평,3876.9864,3703600,34,3152.4175581322647
202011,40~50평,1499.554,1195500,11,2630.882248988699
202012,20평 미만,29050.2432,30770430,587,3495.4068474029154
202012,20~30평,14843.4438,14376700,181,3196.2333431006086
202012,30~40평,2990.2606,2890500,26,3189.905923249632
202012,40~50평,1257.914,856500,9,2246.9342101288325
202101,20평 미만,19928.3045,21401100,408,3543.885532258904
202101,20~30평,12998.5365,12636500,159,3208.0880797619025
202101,30~40평,3281.6284,2897600,29,2913.8216868186537
202101,40~50평,962.2,734100,7,2517.6990230721262
202102,20평 미만,12589.2722,13602200,250,3565.516678557479
202102,20~30평,8858.9337,8486250,108,3161.1733362447444
202102,30~40평,2972.2638,2606000,26,2893.3501797518775
202102,40~50평,682.634,609000,5,2944.0373611627897
202103,20평 미만,12047.0342,13321320,246,3649.060446761245
202103,20~30평,6443.5512,6278850,78,3215.649935395873
202103,30~40평,1317.847,1200550,12,3006.2784223054723
202103,40~50평,1086.124,1016500,8,3088.459512910128
202104,20평 미만,14366.773,16708420,300,3837.8685317851123
202104,20~30평,7329.6429,7056700,90,3177.113853664003
202104,30~40평,1331.657,1325300,12,3284.2466190618156
202104,40~50평,411.104,419500,3,3367.3960846890323
202105,20평 미만,19243.1212,22005845,390,3773.7790946304485
202105,20~30평,9552.4709,9543590,118,3296.932001122348
202105,30~40평,1351.217,1404300,12,3429.6415749653825
202105,40~50평,822.654,763000,6,3060.7035278501044
202106,20평 미만,12799.9483,15156420,250,3907.5303140091587
202106,20~30평,9852.7504,10025950,119,3358.0100638700837
202106,30~40평,2139.5603,2141600,19,3303.145978171309
202106,40~50평,414.86,247000,3,1964.7591958733065
202107,20평 미만,16450.6257,19917100,319,3995.375689570276
202107,20~30평,11205.4036,11306100,135,3329.655167440823
202107,30~40평,2186.104,2084500,19,3146.625229174824
202107,40~50평,547.77,434500,4,2617.613231830878
202108,20평 미만,10905.4425,13355400,217,4041.360082362545
202108,20~30평,6843.1415,7127950,83,3437.3445295556144
202108,30~40평,1694.6374,1847300,15,3597.2828169613153
202108,40~50평,408.96000000000004,312100,3,2518.4125586854457
202109,20평 미만,7511.5741,9619200,147,4225.926493888944
202109,20~30평,5438.6921,5991650,66,3635.5146855987673
202109,30~40평,676.56,747900,6,3647.969137992196
202109,40~50평,677.49,536000,5,2610.813443740867
202110,20평 미만,4858.3537,6157700,99,4182.571145447891
202110,20~30평,3469.1888,3713260,42,3532.1680964725815
202110,30~40평,1266.3600000000001,1309800,11,3413.2000379039127
202110,40~50평,416.45000000000005,395900,3,3137.1593228478805
202111,20평 미만,2892.262,3747450,57,4275.7485317720175
202111,20~30평,1817.584,2033400,22,3691.834875307001
202111,30~40평,576.74,714500,5,4088.2373339806495
202111,40~50평,408.46000000000004,405000,3,3272.0462223963173
202112,20평 미만,1833.016,2287800,37,4118.752918687016
202112,20~30평,1470.3651,1544500,18,3466.3839613712266
202112,30~40평,446.62,439000,4,3243.6971026823694
202201,20평 미만,1862.441,2168100,39,3841.587465052584
202201,20~30평,2142.0152,2158050,26,3324.7032980905087
202201,30~40평,114.67,115000,1,3309.4968169529952
202201,40~50평,273.91999999999996,169800,2,2045.633761682243
202202,20평 미만,1978.336,2356300,42,3930.4698494087957
202202,20~30평,986.07,1084500,12,3629.407648544221
202202,30~40평,344.95,376500,3,3601.8263516451657
202202,40~50평,139.28,82000,1,1942.848937392303
202203,20평 미만,5570.0255,7062650,123,4184.315673240634
202203,20~30평,2065.053,2044800,25,3267.635261661565
202203,30~40평,706.2754,730300,6,3412.2525009366036
202203,40~50평,269.94,220000,2,2689.486552567237
202204,20평 미만,5219.1788,6653610,106,4206.967004081179
202204,20~30평,2817.7741,3000380,34,3513.8565579121478
202204,30~40평,1111.546,1036500,10,3077.2005836915428
202204,40~50평,141.45,150000,1,3499.469777306469
202205,20평 미만,3626.7938,4446250,76,4045.6187500927126
202205,20~30평,1691.0086,1678800,21,3276.174940801602
202205,30~40평,489.524,476000,4,3208.8314362523593
202205,40~50평,404.52,314500,3,2565.633343221596
202206,20평 미만,2386.636,2851600,50,3942.9054116337807
202206,20~30평,1969.9457,2068700,24,3465.4305446084118
202206,30~40평,230.63,233500,2,3341.065776351732
202206,40~50평,134.914,140000,1,3424.4036942051976
202207,20평 미만,1552.3546,1682300,31,3576.23831565288
202207,20~30평,865.7276999999999,920400,11,3508.4010826960953
202207,30~40평,459.28000000000003,443100,4,3183.744121233234
202208,20평 미만,1907.3658,2153050,38,3725.066791068603
202208,20~30평,505.457,460511,6,3006.5590149112586
202208,30~40평,447.01,438000,4,3233.484709514328
202209,20평 미만,1072.53,1147700,24,3531.2858381583733
202209,20~30평,628.77,529800,8,2780.5715921561145
202209,30~40평,112.24,103000,1,3028.3321454027086
202210,20평 미만,1230.9031,1252000,27,3356.5599111741612
202210,20~30평,1077.219,955000,13,2925.5889470943234
202210,30~40평,480.83,377800,4,2592.891458519643
202211,20평 미만,1598.2614,1513000,32,3123.9570698510265
202211,20~30평,1082.8733,1086100,13,3309.833200246049
202211,30~40평,115.35,110000,1,3146.9440832249675
202211,40~50평,280.53,219000,2,2576.195059351941
202212,20평 미만,1751.9053,1669350,39,3144.4935979130837
202212,20~30평,1355.8543,1145900,16,2788.9943631848937
202212,30~40평,344.71,271000,3,2594.354674944156
202301,20평 미만,4719.616,4831020,93,3377.8947270286394
202301,20~30평,2734.5433,2349500,33,2835.3363430010418
202301,30~40평,784.673,651000,7,2737.8283692697464
202301,40~50평,134.94,80000,1,1956.425077812361
202302,20평 미만,6710.701,6928550,139,3407.1276607317177
202302,20~30평,3086.9945,2757400,38,2947.6631720594255
202302,30~40평,1321.107,1118350,12,2793.5322422786344
202302,40~50평,568.78,431000,4,2500.6153521572487
202303,20평 미만,6794.0380000000005,6779060,136,3292.7248861428207
202303,20~30평,3737.3669,3306650,46,2919.68792253177
202303,30~40평,1132.037,881500,10,2569.6598256064067
202303,40~50평,274.02,218000,2,2625.355813444274
202304,20평 미만,7168.1416,7164000,147,3298.093330075957
202304,20~30평,4592.0797,4022420,56,2890.6262232338863
202304,30~40평,1011.0023,833200,9,2719.637729805362
202304,40~50평,961.49,760000,7,2608.4514659538836
202305,20평 미만,8120.1164,8070600,164,3279.8766283695145
202305,20~30평,4798.8428,4555550,58,3132.695865761637
202305,30~40평,1359.3973,1143000,12,2774.6855168831066
202305,40~50평,684.308,567000,5,2734.2950835004117
202306,20평 미만,9214.9176,9143900,184,3274.567533843167
202306,20~30평,5505.1834,5255900,67,3150.570787523627
202306,30~40평,2906.214,2601400,26,2953.8843319865637
202306,40~50평,986.924,674000,7,2253.6689755239513
202307,20평 미만,9757.9434,9876000,196,3339.9250911826357
202307,20~30평,6037.4352,5686142,73,3107.98674907517
202307,30~40평,2508.4223,2135900,22,2809.921598926943
202307,40~50평,680.4639999999999,531200,5,2576.1245267934823
202308,20평 미만,10950.1164,10995900,217,3313.797650589358
202308,20~30평,6188.095,5656800,75,3016.6699121458214
202308,30~40평,2369.91,2156400,21,3002.6963049229716
202308,40~50평,141.45,135000,1,3149.5227995758223
202309,20평 미만,9032.1028,9045800,178,3305.004455883739
202309,20~30평,6178.2925,6118250,75,3267.929610001469
202309,30~40평,970.694,800900,9,2722.7633013081363
202309,40~50평,276.19,288000,2,3441.109381223071
202310,20평 미만,7161.8147,7119125,146,3280.3295650751757
202310,20~30평,3937.0666,3560600,48,2984.450402744012
202310,30~40평,1032.138,828100,9,2647.640141143917
202311,20평 미만,4980.8229,4959850,106,3286.104591271454
202311,20~30평,3166.0196,2638000,38,2749.6355360529037
202311,30~40평,1379.1218,1264700,12,3026.2084175596383
202311,40~50평,427.86,360000,3,2776.6091712242323
202312,20평 미만,4706.7,4491300,97,3148.9769902479443
202312,20~30평,3711.6129,3187600,45,2834.099428849382
202312,30~40평,921.22,842000,8,3016.2176244545276
202312,40~50평,549.35,492000,4,2955.4928551925
202401,20평 미만,6891.1428,6459230,136,3093.1675077172977
202401,20~30평,3981.1522,3567250,49,2956.914081305407
202401,30~40평,793.23,625500,7,2602.2086910479934
202401,40~50평,139.08,93000,1,2206.643658326143
202402,20평 미만,7853.4701,7643100,155,3211.603237656689
