년월,평수 범위,전용면적,거래금액,데이터 건수,평당 거래금액
201512,20평 미만,4365.0606,1876970,88,1418.9954201323114
201512,20~30평,7463.2424,3074650,90,1359.508971596581
201512,30~40평,1707.4873,719700,15,1390.9386031743836
201512,40~50평,537.7891,232800,4,1428.5153789840665
201512,50평 이상,165.1717,78000,1,1558.378342052543
201601,20평 미만,5084.1469,2184110,106,1417.6543561319993
201601,20~30평,10008.0244,3974250,121,1310.450941746305
201601,30~40평,1697.8294,704300,15,1368.9184555291597
201601,40~50평,539.271,205500,4,1257.5310001835812
201602,20평 미만,6999.9972,2915390,141,1374.3986926166199
201602,20~30평,8535.2373,3408690,104,1317.9102823538367
201602,30~40평,1464.704,614000,13,1383.3511753910686
201602,40~50평,702.9691,286500,5,1344.9382056764657
201602,50평 이상,240.97,53500,1,732.6638170726646
201603,20평 미만,9977.1576,4260855,203,1409.3013324756942
201603,20~30평,13854.0155,5673700,168,1351.4644905659302
201603,30~40평,2290.7921,959550,20,1382.2795180758656
201603,40~50평,973.1838,399600,7,1355.0163905317781
201604,20평 미만,8446.9486,3675980,169,1436.1084190804713
201604,20~30평,14271.5617,5868720,173,1357.0186926354386
201604,30~40평,2071.869,909700,18,1448.9381326715152
201604,40~50평,1794.4447,709600,13,1304.960804866263
201605,20평 미만,10941.0422,4713770,218,1421.751302631846
201605,20~30평,16007.283300000001,6650250,195,1370.9899792927383
201605,30~40평,2521.4074,1111800,22,1455.1159007465433
201605,40~50평,1360.894,514100,10,1246.629054136472
201606,20평 미만,13850.2951,6045080,285,1440.3132825668097
201606,20~30평,20253.7184,8355129,247,1361.3266046001704
201606,30~40평,2722.1754,1147200,24,1390.7112671725708
201606,40~50평,1107.2060999999999,413700,8,1233.022469800338
201606,50평 이상,850.6707,253750,4,984.3703327268707
201607,20평 미만,12953.1031,5811510,262,1480.57055146886
201607,20~30평,20141.4536,8495099,247,1391.8472448284465
201607,30~40평,2605.5208000000002,1103850,23,1398.0717405902112
201607,40~50평,1765.879,765700,13,1430.907780204646
201608,20평 미만,10151.6472,4577200,206,1487.912227682617
201608,20~30평,18934.6823,8100680,231,1411.8137065336448
201608,30~40평,2777.3025,1197400,24,1422.7546333177606
201608,40~50평,1374.4871,549300,10,1318.8119408323294
201609,20평 미만,10227.3402,4785090,207,1543.9788538568414
201609,20~30평,18200.7208,7567800,221,1372.1291741368836
201609,30~40평,3038.7586,1406600,27,1527.5250886990495
201609,40~50평,941.872,402540,7,1410.3636162875634
201610,20평 미만,12168.9065,5725520,246,1552.6634213189163
201610,20~30평,21583.2068,9286596,261,1419.8894114288892
201610,30~40평,3862.16,1716650,34,1466.781541935083
201610,40~50평,1496.2267,619400,11,1366.1165116222026
201610,50평 이상,546.2717,158700,3,958.6987574132066
201611,20평 미만,5948.8343,2828130,120,1568.8500518496537
201611,20~30평,10417.709,4492000,126,1422.9232166112529
201611,30~40평,1932.3571,837400,17,1430.0772874744528
201611,40~50평,808.7401,367250,6,1498.534572478847
201612,20평 미만,3871.5647,1766950,80,1506.092614182581
201612,20~30평,7132.61,3055100,86,1413.4839841236237
201612,30~40평,1256.6005,567500,11,1490.3304590440637
201612,40~50평,416.3591,161700,3,1281.6100332621527
201701,20평 미만,3731.4662,1698136,76,1501.7820072978284
201701,20~30평,5650.2591,2383600,70,1392.1273097016028
201701,30~40평,717.7847,283950,6,1305.4541285151383
