년월,평수 범위,전용면적,거래금액,데이터 건수,평당 거래금액
201512,20평 미만,3280.455,1924010,60,1935.4732803833613
201512,20~30평,7072.165,3651522,84,1703.8661569689054
201512,30~40평,4244.662,1840460,37,1430.8602192589185
201512,40~50평,696.045,276500,5,1310.906622416654
201512,50평 이상,365.3,115000,2,1038.872159868601
201601,20평 미만,4112.6343,2478751,77,1988.9632054082706
201601,20~30평,5622.229,2730852,67,1602.889458967253
201601,30~40평,4021.693,1735450,35,1424.0234150145222
201601,40~50평,578.97,237200,4,1351.987149593243
201601,50평 이상,170.31,56300,1,1090.8930773295754
201602,20평 미만,4319.6478,2546850,83,1945.6690427400124
201602,20~30평,6203.7508,3032950,74,1613.3360804885972
201602,30~40평,3050.851,1321800,27,1429.7453399067997
201602,40~50평,564.754,209500,4,1224.1613162545107
201602,50평 이상,511.01,182000,3,1175.3194653724975
201603,20평 미만,5239.6533,3094990,96,1949.2638949985485
201603,20~30평,12610.8234,6368894,150,1666.6120469183638
201603,30~40평,5394.738,2400450,47,1468.3725141054115
201603,40~50평,567.67,252500,4,1467.8422322828403
201603,50평 이상,170.35,58500,1,1133.2550631053712
201604,20평 미만,6589.6699,4089600,130,2048.00546989463
201604,20~30평,14381.0856,7386428,170,1694.949399369405
201604,30~40평,4981.513,2223950,43,1473.2542101164845
201604,40~50평,1284.045,520500,9,1337.6867633143697
201605,20평 미만,5820.5066,3577320,116,2028.200775513252
201605,20~30평,11499.295,5977610,137,1715.4193365767205
201605,30~40평,5986.5380000000005,2626100,53,1447.6029384595902
201605,40~50평,302.104,116000,2,1267.113311972036
201606,20평 미만,7702.817,4928750,148,2111.54893073534
201606,20~30평,18273.8776,9263705,217,1672.892156178172
201606,30~40평,6997.285,3086350,61,1455.5581200422735
201606,40~50평,697.245,333500,5,1578.426521523998
201607,20평 미만,6552.2819,4144000,121,2087.0896900818625
201607,20~30평,20557.365999999998,10923750,245,1753.550284603582
201607,30~40평,7589.702,3387650,67,1472.9491355523576
201607,40~50평,429.55999999999995,167800,3,1289.0865071235685
201607,50평 이상,507.03,187500,3,1220.3419915981303
201608,20평 미만,7016.8228,4660820,134,2191.9758327087866
201608,20~30평,17528.0548,9504380,209,1789.3858935219669
201608,30~40평,6055.731,2638150,53,1437.6290822693413
201608,40~50평,1117.799,525600,8,1551.6922094222664
201609,20평 미만,6956.919,4623430,125,2193.114365712753
201609,20~30평,15362.7158,8343674,182,1792.2693199857279
201609,30~40평,7841.463,3675100,69,1546.6284799150362
201609,40~50평,688.639,317000,5,1519.083293278481
201610,20평 미만,7822.9873,5213680,145,2199.30613974025
201610,20~30평,19242.3768,10433100,228,1789.2399861954684
201610,30~40평,10050.6194,4468550,88,1467.194648719859
201610,40~50평,570.6030000000001,251500,4,1454.5139089699842
201611,20평 미만,4632.1015,3018520,96,2150.4528775977815
201611,20~30평,9117.0146,5043350,108,1825.4939506184403
201611,30~40평,3599.677,1715800,31,1572.9577959355797
201611,40~50평,583.53,279000,4,1577.8109094648091
201612,20평 미만,2704.9052,1790035,57,2183.8530607283387
201612,20~30평,6459.842,3410050,77,1742.0186128391374
201612,30~40평,3204.4900000000002,1560250,28,1606.7533367244084
201701,20평 미만,3572.9085,2285437,74,2110.869086068115
201701,20~30평,5952.262,3095650,71,1716.2626577929534
201701,30~40평,2943.862,1384300,26,1551.767711937584
201701,40~50평,302.134,127500,2,1392.5940145763136
201701,50평 이상,166.34,62000,1,1230.0108212095706
201702,20평 미만,4860.0268,3210690,93,2180.0861262740364
201702,20~30평,9421.3826,5097450,112,1785.4688334172947
201702,30~40평,3071.797,1418200,27,1523.5577090543418
201702,40~50평,283.654,115000,2,1337.8975794453806
201703,20평 미만,5910.9711,3860030,111,2154.992603499618
201703,20~30평,11974.6311,6567300,143,1809.8336240186973
201703,30~40평,5816.307,2671850,51,1515.9284061174899
201703,40~50평,835.729,409000,6,1614.9972060320988
201703,50평 이상,176.82,59990,1,1119.5961995249406
201704,20평 미만,7182.8488,4808570,133,2209.1904537932082
201704,20~30평,12499.2841,6865150,148,1812.5034056950506
201704,30~40평,6207.911,2872350,54,1526.8831979066708
201704,50평 이상,340.65999999999997,148200,2,1435.6249633065227
201705,20평 미만,8764.216,6114130,166,2302.160170402007
201705,20~30평,17261.9991,9799000,206,1873.288245044573
201705,30~40평,9123.785,4470750,80,1617.0344873317376
201705,40~50평,559.9839999999999,240500,4,1417.272636361039
201706,20평 미만,8484.3002,5760400,152,2240.528924235849
201706,20~30평,17332.701,10292370,206,1959.5803908461814
201706,30~40평,9154.301,4479950,80,1614.9605524222986
201706,40~50평,278.03999999999996,158500,2,1881.2041432887354
201707,20평 미만,10208.1148,6968570,183,2252.745139582482
201707,20~30평,20046.3052,11738050,239,1932.3044627695283
201707,30~40평,12478.153,6545100,108,1730.9316531060324
201707,40~50평,725.129,373650,5,1700.449161459547
201707,50평 이상,181.47,59500,1,1081.9970243015373
201708,20평 미만,5886.3297,4457080,149,2498.732614314825
201708,20~30평,8071.6111,4580300,96,1872.6112807887882
201708,30~40평,5827.8115,2813250,51,1593.0036515422642
201708,40~50평,561.249,300500,4,1766.8628362812226
201709,20평 미만,5371.6417,3721880,111,2286.489808134448
201709,20~30평,9430.974,5447600,112,1906.174272137745
201709,30~40평,4328.855,2060100,38,1570.468403307572
201710,20평 미만,4104.1392,3037930,77,2442.697119045085
201710,20~30평,8929.9384,5266200,107,1946.0895721296354
201710,30~40평,4937.168,2424700,44,1620.66796187612
201710,40~50평,1278.855,645800,9,1666.443811065367
201711,20평 미만,5154.503,3794650,97,2429.3991098656847
201711,20~30평,11384.7934,6827400,134,1978.992433889929
201711,30~40평,5810.7970000000005,2826880,51,1605.4086900643747
201711,40~50평,273.895,166000,2,2000.0365103415543
201712,20평 미만,6871.167,5163850,124,2480.030684743945
201712,20~30평,9964.72,6140200,119,2033.4399762361613
201712,30~40평,6575.925,3300800,57,1656.442249569452
201712,40~50평,409.89,168000,3,1352.5580033667568
201801,20평 미만,8852.5799,6457490,163,2407.1759013437427
201801,20~30평,18956.7942,11474290,225,1997.445169289225
201801,30~40평,11222.953,5779550,98,1699.4203753682295
201801,40~50평,1540.04,806800,11,1728.812238643152
201802,20평 미만,5380.4709,3940200,103,2416.6397777562556
201802,20~30평,15346.9202,9268750,183,1993.0301716171039
201802,30~40평,8634.902,4340660,76,1658.869782193243
201802,40~50평,285.445,172800,2,1997.7228537896965
201802,50평 이상,348.0,178000,2,1687.9310344827584
201803,20평 미만,6553.9908,4711850,128,2372.4636598513384
201803,20~30평,15422.9864,9019520,184,1929.8737110991683
201803,30~40평,6757.498,3693950,60,1803.9272819614598
201803,40~50평,266.55,180000,2,2228.4749577940347
201804,20평 미만,2409.9827,1893237,47,2592.4178210905825
201804,20~30평,6591.583,3946500,79,1975.769705092085
201804,30~40평,2521.569,1352100,22,1769.5054150808485
201804,40~50평,277.44,150000,2,1784.1695501730103
201805,20평 미만,3170.7511,2430000,63,2529.053762687333
201805,20~30평,5213.667,3181750,63,2013.8944432009175
201805,30~40평,2369.184,1285890,21,1791.0964281372826
201805,40~50평,679.945,387500,5,1880.6668186397428
201805,50평 이상,170.35,91500,1,1772.5271499853245
201806,20평 미만,4477.7536,3599140,89,2652.4822625344996
201806,20~30평,6049.523,3940800,72,2149.6967612157187
