년월,평수 범위,전용면적,거래금액,데이터 건수,평당 거래금액
201512,20평 미만,2457.7046,1895950,44,2545.722948152516
201512,20~30평,6796.6478,4350500,82,2112.3133671866885
201512,30~40평,3578.6612,2413943,31,2225.9754290235687
201512,40~50평,1157.914,940180,8,2679.4684233889566
201512,50평 이상,387.452,230500,2,1963.2109267728647
201601,20평 미만,4555.34,3317550,85,2403.3145714699667
201601,20~30평,7633.0449,4964020,91,2146.098472445773
201601,30~40평,1936.668,1131150,17,1927.431547379313
201601,40~50평,2498.6409,2007167,17,2650.9015761328487
201601,50평 이상,191.872,139000,1,2390.656270847231
201602,20평 미만,3476.7961999999998,2405250,61,2282.9422673667214
201602,20~30평,7217.0742,4689750,87,2144.383523173421
201602,30~40평,4085.633,2245867,36,1814.00558983149
201602,40~50평,1750.864,1049195,12,1977.5056771970865
201603,20평 미만,5940.8036,4218600,108,2343.34964380913
201603,20~30평,12123.7723,7881229,145,2145.2114949403986
201603,30~40평,4553.164,2769206,40,2007.039456518588
201603,40~50평,2734.671,1748818,19,2110.3450469910276
201604,20평 미만,7961.5462,6153890,145,2550.740332323889
201604,20~30평,15666.9517,10567700,188,2225.9218428560034
201604,30~40평,7873.496,4604100,68,1929.7056860129223
201604,40~50평,2736.401,1946016,19,2346.824460303881
201604,50평 이상,552.034,434000,3,2594.4054170576446
201605,20평 미만,6716.193,5245400,121,2577.326172729104
201605,20~30평,17324.8929,11819281,209,2251.305536209116
201605,30~40평,6633.9443,3947222,57,1963.5125064284905
201605,40~50평,2276.154,1439338,16,2086.7724240099747
201605,50평 이상,383.744,274000,2,2356.258338892595
201606,20평 미만,7746.7556,6230250,140,2653.991691696069
201606,20~30평,19477.18,13738930,232,2327.773784500631
201606,30~40평,8033.5967,5070731,71,2082.929094511304
201606,40~50평,3411.02,1911807,23,1849.58255888268
201606,50평 이상,191.872,137000,1,2356.258338892595
201607,20평 미만,9365.0693,7785520,167,2743.409063721504
201607,20~30평,18119.1907,13146650,217,2394.364390678884
201607,30~40평,6759.857,4180250,59,2040.6977544051597
201607,40~50평,2631.592,1854529,18,2325.567831183557
201607,50평 이상,360.02200000000005,292000,2,2676.5031025881744
201608,20평 미만,7212.7496,6264950,128,2866.359730552687
201608,20~30평,17752.5169,13125819,212,2439.9471322288955
201608,30~40평,8190.5133,5213673,71,2100.6157086638273
201608,40~50평,2479.698,2178475,17,2899.130256990972
201608,50평 이상,1125.577,992000,6,2908.374993447805
201609,20평 미만,7276.7632,6287450,130,2851.3481103796257
201609,20~30평,19689.5443,14467200,235,2424.7265082717017
201609,30~40평,8779.4045,5861250,77,2203.124938599195
201609,40~50평,3307.5108999999998,2953881,23,2947.1731446145805
201609,50평 이상,540.17,391500,3,2391.747042597701
201610,20평 미만,7905.4657,6990670,140,2918.134348492588
201610,20~30평,21102.7047,15905627,253,2487.2910769584905
201610,30~40평,7122.158,4625882,62,2143.3687093153503
201610,40~50평,2357.779,1845925,17,2583.5977417730837
201610,50평 이상,582.992,598000,3,3384.9521091198503
201611,20평 미만,4394.1575,3933140,79,2953.7771461309703
201611,20~30평,9443.7704,7234130,113,2527.870542045368
201611,30~40평,4316.2489,3048938,38,2331.073956369847
201611,40~50평,1282.846,790030,9,2032.2774518531453
201611,50평 이상,191.532,140000,1,2412.1295658166778
201612,20평 미만,3328.8182,2950300,64,2924.7587026530914
201612,20~30평,7012.2402,5159600,83,2428.1370167553587
201612,30~40평,2394.716,1497050,21,2062.98575697494
201612,40~50평,435.245,254000,3,1925.8118990453652
201612,50평 이상,200.17,82500,1,1360.0939201678573
201701,20평 미만,2828.3837,2326900,54,2714.8968508056387
201701,20~30평,5463.4579,4019485,66,2427.8214901225833
201701,30~40평,2538.3732,1871009,22,2432.3963473928893
201701,40~50평,429.095,440639,3,3388.7803400179446
201701,50평 이상,400.99,257000,2,2115.015337040824
201702,20평 미만,5116.5049,4359420,96,2811.7017927609136
201702,20~30평,8511.1926,6414955,102,2487.236806273189
201702,30~40평,3546.4637,2233400,31,2078.1884782861302
201702,40~50평,1672.7669,1308900,12,2582.1708930275936
201703,20평 미만,8710.5994,7397410,154,2802.499791231359
201703,20~30평,14062.5632,10555485,169,2477.009347769544
201703,30~40평,5628.87,3699100,49,2168.6466377798743
201703,40~50평,2635.874,2133010,19,2670.436067884884
201704,20평 미만,9006.552,8188150,164,3000.1375665182413
201704,20~30평,14240.6945,10813820,170,2505.889442400439
201704,30~40평,5355.6511,3632096,46,2237.994330885371
201704,40~50평,2112.832,1666700,15,2603.193249628934
201704,50평 이상,383.404,260000,2,2237.848327091006
201705,20평 미만,11510.5167,10693040,206,3065.634056201838
201705,20~30평,21649.3995,17512260,260,2669.3792592261043
201705,30~40평,9060.8187,6172300,80,2247.9856042147717
201705,40~50평,1275.82,1041000,9,2692.6212161590192
201705,50평 이상,256.17,219700,1,2830.190888862864
201706,20평 미만,8878.282,8280550,164,3077.826881371869
201706,20~30평,16728.7985,13726200,200,2707.6935620929376
201706,30~40평,9104.3827,6520550,79,2363.456777799993
201706,40~50평,2683.931,1824500,19,2243.295375328203
201706,50평 이상,168.15,148500,1,2914.3621766280107
201707,20평 미만,9195.5014,8858580,166,3179.088635667001
201707,20~30평,18317.0314,15190830,220,2736.78293743603
201707,30~40평,7856.3845,5694100,68,2391.752847636212
201707,40~50평,1571.84,1026800,11,2155.715594462541
201707,50평 이상,703.451,556500,4,2610.62959609127
201708,20평 미만,3779.3772,3497000,67,3053.439598460826
201708,20~30평,6910.8812,5622770,82,2684.916794691826
201708,30~40평,3336.621,2461850,29,2434.8300271442276
201708,40~50평,1140.2509,946600,8,2739.5549523354903
201708,50평 이상,168.63,140000,1,2739.72602739726
201709,20평 미만,5423.7069,5374090,97,3269.811095433641
201709,20~30평,10216.2085,8621050,123,2784.7380953511274
201709,30~40평,5392.6474,3721800,47,2277.5344073117035
201709,40~50평,993.9499999999999,760000,7,2523.2657578349013
201709,50평 이상,168.15,151000,1,2963.4255129348794
201710,20평 미만,4556.2332,4559000,84,3302.003944837591
201710,20~30평,8126.1167,6604050,98,2681.891708495892
201710,30~40평,4738.9063,3716850,41,2588.2775947690716
