년월,평수 범위,전용면적,거래금액,데이터 건수,평당 거래금액
201512,20평 미만,4817.5163999999995,2795030,83,1914.5962845087565
201512,20~30평,7869.2914,4040900,94,1694.5579115293656
201512,30~40평,4010.051,1789150,35,1472.3491047869466
201512,40~50평,1064.46,415200,8,1287.1878699058677
201601,20평 미만,4359.9917,2399100,76,1815.8360255594066
201601,20~30평,8436.5584,4276675,101,1672.8417952988982
201601,30~40평,3553.949,1758616,31,1632.9533147493112
201601,40~50평,1248.55,506900,9,1339.7701333546913
201602,20평 미만,5591.6703,3071550,98,1812.7168549261569
201602,20~30평,9510.5587,4782490,115,1659.441626704854
201602,30~40평,5028.769,2244400,44,1472.8296328584588
201602,40~50평,1209.2,470500,9,1284.030764141581
201603,20평 미만,8481.502,4687850,150,1823.9581857081446
201603,20~30평,11130.0935,5618905,133,1665.9686192213926
201603,30~40평,7548.5001,3248094,66,1419.978811419768
201603,40~50평,686.6800000000001,295300,5,1419.1326382011998
201603,50평 이상,362.08000000000004,233000,2,2123.56385329209
201604,20평 미만,10256.9647,5928750,176,1907.4721978910582
201604,20~30평,16922.3584,8636880,202,1684.2631107493855
201604,30~40평,9893.384,4804250,83,1602.4875815999862
201604,40~50평,2061.3,972324,15,1556.6240721874544
201604,50평 이상,2375.22,1170881,13,1626.757647712633
201605,20평 미만,9186.0907,5325260,158,1913.039896285805
201605,20~30평,17245.3786,8974145,205,1717.2530210499408
201605,30~40평,6647.178,2960090,57,1469.5404576197598
201605,40~50평,1899.93,766724,14,1331.7275899638407
201605,50평 이상,724.74,358232,4,1631.1582084609652
201606,20평 미만,13380.0812,7791550,226,1921.6710732667302
201606,20~30평,20565.2436,10621850,245,1704.4342231861524
201606,30~40평,8634.422,3912206,75,1495.2106579919302
201606,40~50평,1742.6100000000001,741100,13,1403.4293387504947
201606,50평 이상,545.9,259697,3,1569.8847774317642
201607,20평 미만,12928.1121,7886500,221,2013.0897534528647
201607,20~30평,18212.4773,9418150,218,1706.5166088086214
201607,30~40평,9907.561,4667850,86,1554.7625697182182
201607,40~50평,1102.47,457800,8,1370.3230019864486
201607,50평 이상,1302.18,616776,7,1563.0410542321338
201608,20평 미만,12108.65,7309692,207,1992.1282389035937
201608,20~30평,18130.2201,9478923,216,1725.3208029173345
201608,30~40평,9085.711,4217374,79,1531.782619984281
201608,40~50평,2248.96,877399,16,1287.4469532583948
201608,50평 이상,1120.79,532315,6,1567.3226028069487
201609,20평 미만,13095.7331,8221165,223,2071.655270677439
201609,20~30평,23841.9436,12915840,283,1787.701234223203
201609,30~40평,11479.272,5233300,100,1504.4412224050443
201609,40~50평,1973.3600000000001,883700,14,1477.7891514979526
201609,50평 이상,1101.52,492553,6,1475.6199615077348
201610,20평 미만,13469.7718,8438625,229,2067.4041782949876
201610,20~30평,22096.9904,12050850,262,1799.6932740668612
201610,30~40평,11136.185,5250769,97,1555.9671197991054
201610,40~50평,3001.9300000000003,1309965,22,1440.0350774335177
201610,50평 이상,377.28999999999996,176909,2,1547.3500490338997
201611,20평 미만,6002.9423,3767950,103,2071.3567411767394
201611,20~30평,12640.4043,6810950,151,1778.118362875466
201611,30~40평,5766.535,2670733,50,1528.3734339599082
201611,40~50평,1260.5900000000001,541846,9,1418.4562784093162
201611,50평 이상,1857.46,873670,10,1552.179320146867
201612,20평 미만,4916.0779,3004820,86,2017.0359790271018
201612,20~30평,8808.2948,4837500,105,1812.3541914151192
201612,30~40평,4271.054,1990809,37,1538.1846495033776
201612,40~50평,1232.0,548599,9,1469.461607142857
201612,50평 이상,1498.94,708576,8,1559.9695785021415
201701,20평 미만,2882.7993,1763480,49,2018.6920400598126
201701,20~30평,5854.6158,3073950,70,1732.6559669380867
201701,30~40평,2965.93,1313850,26,1461.8365908838036
201701,40~50평,1548.99,617199,11,1314.8933821393296
201701,50평 이상,367.91999999999996,192343,2,1725.1899869536858
201702,20평 미만,6019.6583,3655600,102,2004.0140816630735
201702,20~30평,8232.2638,4286500,99,1718.2940614706733
201702,30~40평,4951.251,2377600,43,1584.6661783052402
201702,40~50평,134.99,88500,1,2163.4935921179344
201703,20평 미만,8158.1211,5026430,142,2033.2155893101412
201703,20~30평,13322.0323,7093900,159,1757.229638303759
201703,30~40평,6973.81,3449200,61,1632.1580312626813
201703,40~50평,716.34,313460,5,1444.0321634977802
201703,50평 이상,242.85,137300,1,1865.7195799876465
201704,20평 미만,6993.9034,4411325,121,2081.437455941985
201704,20~30평,11749.111,6348800,140,1783.2021503584397
201704,30~40평,5167.78,2454250,45,1567.215516140393
201704,40~50평,950.01,389100,7,1351.5962989863265
201704,50평 이상,728.55,414000,3,1875.231624459543
201705,20평 미만,12713.8786,7624200,253,1978.9287590019933
201705,20~30평,17249.2388,9282120,205,1775.7882742048885
201705,30~40평,7906.464,3688950,69,1539.6939769788364
201705,40~50평,1524.1,635400,11,1375.7758677252148
201706,20평 미만,15845.2672,10026758,271,2088.213532934301
201706,20~30평,24172.1991,13382815,287,1827.0282036523517
201706,30~40평,10380.062,5190877,90,1650.2689579310797
201706,40~50평,1814.3200000000002,823736,13,1498.2631509325806
201706,50평 이상,1440.1,732136,8,1677.6951600583293
201707,20평 미만,17020.3536,11096650,289,2151.4796848873925
201707,20~30평,25925.5669,14568360,308,1854.3697881491646
201707,30~40평,11968.064,6062950,104,1671.7603615756063
201707,40~50평,1154.47,469157,8,1341.0639514235968
201707,50평 이상,170.45,120000,1,2323.2619536520974
201708,20평 미만,8783.0967,5460200,151,2051.515611800107
201708,20~30평,14105.0873,7902799,168,1848.9241608593236
201708,30~40평,4699.014,2355900,41,1654.4896439976555
201708,40~50평,962.57,383950,7,1316.3042687804523
201709,20평 미만,9958.6426,6587500,170,2182.9029189178855
201709,20~30평,15149.9209,8469352,180,1844.8189785598156
201709,30~40평,5271.088,2623400,46,1642.3971673400256
201709,40~50평,1211.15,539200,9,1469.1491557610534
201710,20평 미만,6357.9663,4249780,109,2205.7798576252285
201710,20~30평,12904.3664,7396750,153,1891.551606904156
201710,30~40평,4236.031,2021800,37,1575.0451306895534
201710,40~50평,573.21,245800,4,1415.083477259643
201711,20평 미만,9462.1071,6317640,162,2203.337140413471
201711,20~30평,13602.9758,7897970,162,1915.999953480767
201711,30~40평,6880.766,3581400,60,1717.6314381276734
201711,40~50평,1686.46,678200,12,1327.0756495855221
201712,20평 미만,9748.2623,6542350,168,2214.7285675724993
201712,20~30평,15664.3131,9050880,186,1906.7484037969084
201712,30~40평,7879.233,3971550,69,1663.3744680478414
201712,40~50평,1791.02,728500,13,1342.2798182041518
201801,20평 미만,13213.8426,9047940,226,2259.615382432359
201801,20~30평,22989.0347,13448550,273,1930.4949328733667
201801,30~40평,10520.97,5339900,92,1674.9092526639654
201801,40~50평,2418.85,1043800,18,1424.0403497529817
201801,50평 이상,526.39,278500,3,1745.9488212162082
