년월,평수 범위,전용면적,거래금액,데이터 건수,평당 거래금액
201512,20평 미만,4170.141,2367900,74,1873.8143386518586
201512,20~30평,11604.0922,7066650,142,2009.6311368501538
201512,30~40평,4133.63,2843400,37,2269.970945633741
201512,40~50평,1778.13,1232000,12,2286.4469976885825
201512,50평 이상,524.5,337000,3,2120.3050524308865
201601,20평 미만,4401.4735,2467650,81,1850.1179207372256
201601,20~30평,10978.9996,6338000,134,1905.0369580120944
201601,30~40평,2123.071,1327700,19,2063.713366156855
201601,40~50평,1776.258,1097700,12,2039.3490134879053
201601,50평 이상,621.55,314500,3,1669.7771699782802
201602,20평 미만,4712.912,2897050,87,2028.5261002115037
201602,20~30평,8934.3125,4814650,109,1778.3511602039887
201602,30~40평,2202.3512,1469484,19,2201.8727984891784
201602,40~50평,1201.43,705500,8,1937.8157695412965
201602,50평 이상,374.5,286500,2,2524.56608811749
201603,20평 미만,8900.2475,5225050,161,1937.324214860317
201603,20~30평,19833.0997,10657190,241,1773.2340144490877
201603,30~40평,4254.658,2669650,38,2070.6352896049457
201603,40~50평,2630.573,1606480,18,2015.2962871587295
201603,50평 이상,417.73,376000,2,2970.3396931032003
201604,20평 미만,9448.994,6296425,167,2198.9856803803664
201604,20~30평,19460.8735,11882450,238,2014.9190631139961
201604,30~40평,5787.129,4340100,50,2474.859295515963
201604,40~50평,4953.366,3456670,33,2302.8807077853726
201604,50평 이상,334.88,350500,2,3453.9237935977067
201605,20평 미만,14356.5012,10267650,260,2360.132495234981
201605,20~30평,24105.9888,15848005,296,2169.51965480047
201605,30~40평,8322.9657,5985300,73,2373.1312505589203
201605,40~50평,5163.71,2971140,33,1898.78246454584
201605,50평 이상,523.63,354000,3,2230.9646124171645
201606,20평 미만,14365.887,10712800,257,2460.8463090375135
201606,20~30평,32746.8141,22043619,403,2221.4051870163453
201606,30~40평,12701.659,9265800,112,2407.3343490011816
201606,40~50평,6246.228,4583629,41,2421.61760665797
201606,50평 이상,937.23,768500,5,2705.899298998111
201607,20평 미만,11627.866,7920980,210,2247.9820458887293
201607,20~30평,23288.735099999998,14398300,281,2040.2306005876637
201607,30~40평,7928.432,5387500,69,2242.4042988575798
