년월,평수 범위,전용면적,거래금액,데이터 건수,평당 거래금액
201512,20평 미만,4796.7357,2920280,90,2009.0587855403412
201512,20~30평,8608.236499999999,4627430,106,1773.9427814279964
201512,30~40평,2786.8912,1669900,24,1977.3538342652198
201512,40~50평,2223.68,1367600,15,2029.5546121744135
201512,50평 이상,1047.68,651400,5,2051.7906230910203
201601,20평 미만,4446.695,2662486,83,1975.8953110118866
201601,20~30평,8233.9873,4545400,99,1821.6957900821633
201601,30~40평,1845.8339,1092300,16,1952.8246826542731
201601,40~50평,1893.98,1174000,13,2045.5337437565338
201601,50평 이상,600.7,442000,3,2428.1671383386047
201602,20평 미만,5145.642,3143700,100,2016.1157733087534
201602,20~30평,8777.0863,4742950,106,1783.2495278074225
201602,30~40평,1705.04,1002400,15,1940.0835171022381
201602,40~50평,2631.7200000000003,1616000,18,2026.3553873512378
201602,50평 이상,549.1,421250,3,2531.642688034966
201603,20평 미만,9051.2661,5615040,172,2047.1867466143767
201603,20~30평,14891.3385,8328200,180,1845.573519129929
201603,30~40평,4047.1338,2308900,35,1882.658290170688
201603,40~50평,4289.581,2552950,29,1963.9995141716636
201603,50평 이상,190.03,158000,1,2743.7772983213176
201604,20평 미만,8558.7984,5266000,161,2030.4018377159114
201604,20~30평,17320.1226,10123950,208,1928.9144639195567
201604,30~40평,5347.3831,3589200,46,2214.982502375788
201604,40~50평,2912.871,1937700,20,2195.2259471840666
201604,50평 이상,754.25,627000,4,2743.2548889625455
201605,20평 미만,7937.3394,5022670,157,2088.2074162029658
201605,20~30평,20391.7444,12048785,244,1949.857242227889
201605,30~40평,4843.1661,2951450,41,2011.036747222029
201605,40~50평,4601.860000000001,3135950,31,2248.7939659181284
201605,50평 이상,965.27,668300,5,2284.7389849472165
201606,20평 미만,10290.4664,6741700,204,2161.963232298198
201606,20~30평,20778.5537,12114620,250,1924.0148557596672
201606,30~40평,7530.2324,4755100,66,2083.8440524093253
201606,40~50평,5218.31,3571340,35,2258.4748702166025
201606,50평 이상,1938.92,1398000,10,2379.365832525323
201607,20평 미만,7547.8228,4769270,146,2085.182895390708
201607,20~30평,19021.5063,11195050,230,1942.2050187476477
