년월,평수 범위,전용면적,거래금액,데이터 건수,평당 거래금액
201512,20평 미만,1226.67,826800,24,2224.2656949301763
201512,20~30평,2821.3496,1881250,34,2200.4096904545254
201512,30~40평,711.4425,453532,6,2103.691584351511
201512,40~50평,2046.7721999999999,1113046,14,1794.5581828793647
201601,20평 미만,996.73,713700,18,2362.936803346944
201601,20~30평,2843.9234,1822400,34,2114.6561120457745
201601,30~40평,2296.669,1367600,20,1965.0546073465528
201601,40~50평,438.0704,260977,3,1965.9490803304673
201601,50평 이상,533.3014000000001,278703,3,1724.5780716120378
201602,20평 미만,1319.06,911500,23,2280.3739026276285
201602,20~30평,2765.7934999999998,1819950,33,2171.469055806227
201602,30~40평,1872.6973,1009118,16,1778.2315380067027
201602,50평 이상,176.26,145000,1,2714.7395892431637
201603,20평 미만,1150.12,789150,21,2264.2811184919838
201603,20~30평,4106.995,2644550,49,2124.9149317201504
201603,30~40평,2781.9904,1651314,24,1958.7904401107924
201603,40~50평,1024.9834,743801,7,2394.715172948166
201603,50평 이상,363.86,311000,2,2820.5903369427797
201604,20평 미만,2265.48,1614750,44,2352.1174320673763
201604,20~30평,5838.7751,3797650,70,2146.382552052741
201604,30~40평,3958.5623,2314800,34,1929.7005885192204
201604,40~50평,720.5903000000001,408357,5,1870.1030252558212
201604,50평 이상,353.32000000000005,275000,2,2568.493150684931
201605,20평 미만,2307.81,1622070,42,2319.441808467768
201605,20~30평,4884.3296,3161050,58,2135.700465423136
201605,30~40평,3590.9715,2067470,31,1899.9457389177273
201605,40~50평,1746.0525,1127798,12,2131.5128840627644
201605,50평 이상,1010.4525,746634,5,2438.404774098733
201606,20평 미만,1920.8700000000001,1409150,35,2420.8796014306013
201606,20~30평,4798.4366,3208700,57,2206.6999905760968
201606,30~40평,2882.12,1778200,25,2036.0220948468489
201606,40~50평,2177.4347,1331656,15,2018.1844259210163
201606,50평 이상,790.4545,740659,4,3092.113081777635
201607,20평 미만,1994.75,1466400,35,2425.9280611605463
201607,20~30평,5552.4439,3744650,66,2225.56863654219
201607,30~40평,3917.707,2441400,34,2056.463130091148
201607,40~50평,1011.0324,647429,7,2113.202010143295
201607,50평 이상,655.847,535977,3,2696.854754233838
201608,20평 미만,1469.86,1107200,26,2485.787762099792
201608,20~30평,5158.9564,3582700,62,2291.725124872154
201608,30~40평,3032.467,1966350,26,2139.827078085268
201608,40~50평,1749.8763,1011606,12,1907.7347353067187
201608,50평 이상,1386.0428000000002,1038068,7,2471.5141552627374
201609,20평 미만,2252.9900000000002,1778150,41,2604.492252517765
201609,20~30평,5239.6712,3708000,62,2335.337377658354
201609,30~40평,2081.31,1263330,18,2003.060091961313
201609,40~50평,2604.6048,1595431,18,2021.390078064818
201609,50평 이상,1263.4952,932509,7,2435.5293949672305
201610,20평 미만,2315.9294,1855050,41,2643.2865354185665
201610,20~30평,6099.7672,4343000,72,2349.581472551936
201610,30~40평,3813.2946,2357850,33,2040.4678411156585
201610,40~50평,2616.3873,1699631,18,2143.7125535657506
201610,50평 이상,1521.8963,1168355,7,2533.399614678083
201611,20평 미만,1135.3871,929250,25,2700.862992013913
201611,20~30평,2638.794,1801900,32,2253.404396099127
201611,30~40평,1039.727,652900,9,2072.2458876224237
201611,40~50평,1586.2848999999999,1109988,11,2309.1440888077545
201611,50평 이상,926.4717,537730,5,1915.3407492101483
201612,20평 미만,1016.8968,806770,22,2618.1034299645744
201612,20~30평,2098.9159,1433350,25,2253.570521810807
201612,30~40평,922.8845,579600,8,2072.5020303190704
201612,40~50평,718.0662,500853,5,2301.75838940755
201701,20평 미만,688.09,527850,16,2531.5075062855144
201701,20~30평,1327.3645999999999,922150,16,2292.5841174308853
201701,30~40평,1471.024,910750,13,2043.1175833976877
201701,40~50평,577.612,434500,4,2482.3757124159474
201701,50평 이상,173.1707,131639,1,2508.55774100353
201702,20평 미만,1097.76,832600,20,2502.8968080454742
201702,20~30평,1237.183,844400,15,2252.3102887770037
201702,30~40평,811.4,500800,7,2036.775942814888
201702,40~50평,559.576,367700,4,2168.4453943700228
201702,50평 이상,594.02,837400,3,4652.065587017272
201703,20평 미만,1866.0297,1515250,37,2679.6599218115334
201703,20~30평,2872.186,2055000,34,2361.0936060547606
201703,30~40평,1750.2939999999999,1141400,15,2151.992750932129
201703,40~50평,698.805,506500,5,2391.868976323867
201704,20평 미만,2152.13,1678880,39,2574.335193505968
201704,20~30평,2659.7342,1799900,32,2233.1817968878245
201704,30~40평,1600.934,1012300,14,2086.650667672746
